String,Authors,Year,Title,Book,Series,Publisher,City,Volume,Issue,Pagination,DOI,Suffix
"Dinet, A.; Vivier, M.-H. (1979). Le méiobenthos abyssal du Golfe de Gascogne 2. Les peuplements de nématodes et leur diversité spécifique. <em>Cahiers de Biologie Marine.</em> 20(1): 109-123.","Dinet, A.; Vivier, M.-H.",1979,Le méiobenthos abyssal du Golfe de Gascogne 2. Les peuplements de nématodes et leur diversité spécifique,,Cahiers de Biologie Marine,,,20,1,109-123,,
"Nichols, J. A. (1979). The occurence of the subfamily Xyalinae (Nematoda, Monhysteroidea) in the Georgia Bay with a description of two new species. <em>Cah. Biol. Mar.</em> 20(2): 151-159.","Nichols, J. A.",1979,"The occurence of the subfamily Xyalinae (Nematoda, Monhysteroidea) in the Georgia Bay with a description of two new species",,Cah. Biol. Mar.,,,20,2,151-159,,
"Lambshead, P. J. D.; Platt, H. M. (1979). <i>Bathyeurystomina</i>, a new genus of freeliving marine nematodes (Enchelidiidae) from the Rockal Trough. <em>Cahiers de Biologie Marine.</em> 20(3): 371-380.","Lambshead, P. J. D.; Platt, H. M.",1979,"<i>Bathyeurystomina</i>, a new genus of freeliving marine nematodes (Enchelidiidae) from the Rockal Trough",,Cahiers de Biologie Marine,,,20,3,371-380,,
"Kerckhof, F. (2000). Waarnemingen van de mosdiertjes <i>Cryptosula pallasiana</i> (Moll, 1803), <i>Bugula stolonifera</i> Ryland, 1960 en <i>Bugula neritina</i> (Linnaeus, 1758), nieuw voor de Belgische fauna. <em>De Strandvlo.</em> 20(3): 114-126.","Kerckhof, F.",2000,"Waarnemingen van de mosdiertjes <i>Cryptosula pallasiana</i> (Moll, 1803), <i>Bugula stolonifera</i> Ryland, 1960 en <i>Bugula neritina</i> (Linnaeus, 1758), nieuw voor de Belgische fauna",,De Strandvlo,,,20,3,114-126,,
"Clark, A. M. (1970). Notes on the family Amphiuridae (Ophiuroidea). <em>Bull. Br. Mus. Nat. Hist. (Zool.).</em> 19(1): 1-81.","Clark, A. M.",1970,Notes on the family Amphiuridae (Ophiuroidea),,Bull. Br. Mus. Nat. Hist. (Zool.),,,19,1,1-81,,
"Lourie, A.; Ben-Tuvia, A. (1970). Two Red Sea fishes, Pelates quadrilineatus (Bloch) and Crenidens crenidens (Forsskal) in the eastern Mediterranean. <em>Israel Journal of Zoology.</em> 19(4): 203-207.","Lourie, A.; Ben-Tuvia, A.",1970,"Two Red Sea fishes, Pelates quadrilineatus (Bloch) and Crenidens crenidens (Forsskal) in the eastern Mediterranean.",,Israel Journal of Zoology,,,19,4,203-207,,
"Rowe, F. W. E. (1969). A review of the family Holothuriidae (Holothurioidea: Aspidochirotida). <em>Bull. Br. Mus. (Nat. Hist.) (Zool.).</em> 18(4): 119-170.","Rowe, F. W. E.",1969,A review of the family Holothuriidae (Holothurioidea: Aspidochirotida),,Bull. Br. Mus. (Nat. Hist.) (Zool.),,,18,4,119-170,,
"Karling, T. G. (1966). Marine Turbellaria from the Pacific Coast of North America. IV. Coelogynoporidae and Monocelididae. <em>Ark Zool (Ser. 2).</em> 18(22): 493-528.","Karling, T. G.",1966,Marine Turbellaria from the Pacific Coast of North America. IV. Coelogynoporidae and Monocelididae.,,Ark Zool (Ser. 2),,,18,22,493-528,,
"Verseveldt, J. (1969). A new species of the genus Anthelia (Octocorallia: Alcyonacea) from the Gulf of 'Aqaba (Red Sea). <em>Israel Journal of Zoology.</em> 18: 325-327.","Verseveldt, J.",1969,A new species of the genus Anthelia (Octocorallia: Alcyonacea) from the Gulf of 'Aqaba (Red Sea),,Israel Journal of Zoology,,,18,,325-327,,
"Huys, R. (1988). Studies on the Cylindropsyllidae (Copepoda, Harpacticoida). 2. A revision of the genus Cylindropsyllus Brady. <em>Zoologica Scripta.</em> 17(3): 253-276.","Huys, R.",1988,"Studies on the Cylindropsyllidae (Copepoda, Harpacticoida). 2. A revision of the genus Cylindropsyllus Brady",,Zoologica Scripta,,,17,3,253-276,10.1111/j.1463-6409.1988.tb00100.x,
"Gubbioli, F.; Nofroni, I. (1985). Malacological notes from the Alboran Sea (west Mediterranean). <em>La Conchiglia.</em> 17(200-201): 20-21.","Gubbioli, F.; Nofroni, I.",1985,Malacological notes from the Alboran Sea (west Mediterranean),,La Conchiglia,,,17,200-201,20-21,,
"Mienis, H.K. (2008). New or little known marine molluscs of Red Sea or Indo- Pacific origin from the Mediterranean coast of Israel. <i>Triton</i>. 17: 5-6.","Mienis, H.K.",2008,New or little known marine molluscs of Red Sea or Indo- Pacific origin from the Mediterranean coast of Israel,,Triton,,,17,,5-6,,
"Dumoulin, E. (1997). Het invasieachtig voorkomen in de zuidelijke Noordzee van de hydromedusen Nemopsis bachei L. Agassiz, 1849 en Eucheilota maculata Hartlaub, 1894 in augustus-september 1996 (met aanvullende data voor 1997) (Hydrozoa: Athecata, Thecata). [The invasion-like occurrence in the southern North Sea of the hydromedusae Nemopsis bachei L. Agassiz, 1849 and Eucheilota maculata Hartlaub, 1894 in August-September 1996 (with supplementary data for 1997) (Hydrozoa: Athecata, Thecata).]. <em>De Strandvlo.</em> 17(4): 102-126.","Dumoulin, E.",1997,"Het invasieachtig voorkomen in de zuidelijke Noordzee van de hydromedusen Nemopsis bachei L. Agassiz, 1849 en Eucheilota maculata Hartlaub, 1894 in augustus-september 1996 (met aanvullende data voor 1997) (Hydrozoa: Athecata, Thecata). [The invasion-like occurrence in the southern North Sea of the hydromedusae Nemopsis bachei L. Agassiz, 1849 and Eucheilota maculata Hartlaub, 1894 in August-September 1996 (with supplementary data for 1997) (Hydrozoa: Athecata, Thecata).]",,De Strandvlo,,,17,4,102-126,,
"Tchesunov, A. V.; Miljutina, M. A. (2008). A new free-living nematode Intasia monohystera gen. n., sp. n. (Nematoda, Araeolaimida, Diplopeltidae) from the Barents Sea and the White Sea, with a key to genera of Diplopeltidae. <em>Rus. J. Nematol.</em> 16(1): 33-48.","Tchesunov, A. V.; Miljutina, M. A.",2008,"A new free-living nematode Intasia monohystera gen. n., sp. n. (Nematoda, Araeolaimida, Diplopeltidae) from the Barents Sea and the White Sea, with a key to genera of Diplopeltidae",,Rus. J. Nematol.,,,16,1,33-48,,
"Soetaert, K.; Vincx, M. (1987). Six new Richtersia species (Nematoda, Selachinematidae) from the Mediterranean Sea. <em>Zoologica Scripta.</em> 16(2): 125-142.","Soetaert, K.; Vincx, M.",1987,"Six new Richtersia species (Nematoda, Selachinematidae) from the Mediterranean Sea",,Zoologica Scripta,,,16,2,125-142,10.1111/j.1463-6409.1987.tb00060.x,
"Lorenzen, S. (1977). Revision der Xyalidae (freilebende Nematoden) auf der Grundlage einer kritischen Analyse von 56 Arten aus Nord- und Ostsee. <em>Veroff. Inst. Meeresforsch. Bremerh.</em> 16: 197-261.","Lorenzen, S.",1977,Revision der Xyalidae (freilebende Nematoden) auf der Grundlage einer kritischen Analyse von 56 Arten aus Nord- und Ostsee,,Veroff. Inst. Meeresforsch. Bremerh.,,,16,,197-261,,
"Picard, J. (1958). Notes sur une collection d'hydroïdes provenant des côtes méditerranéennes d'Israël. <em>Bulletin of the sea Fisheries research Station, Israel.</em> 15: 1-3.","Picard, J.",1958,Notes sur une collection d'hydroïdes provenant des côtes méditerranéennes d'Israël,,"Bulletin of the sea Fisheries research Station, Israel",,,15,,1-3,,
"Mares, J. (1994). Strandexcursie te Oostende (Opex) op 13 april 199. <em>De Strandvlo.</em> 14(3): 103-106.","Mares, J.",1994,Strandexcursie te Oostende (Opex) op 13 april 199,,De Strandvlo,,,14,3,103-106,,
"Watson, R.B. (1879). Mollusca of H.M.S. 'Challenger' Expedition. IV. Trochidae continued, viz. the genera <i>Basilissa</i> and <i>Trochus</i>, and the Turbinidae, viz. the genus <i>Turbo</i>. <em>Journal of the Linnean Society (London).</em> 14: 692-716.","Watson, R.B.",1879,"Mollusca of H.M.S. 'Challenger' Expedition. IV. Trochidae continued, viz. the genera <i>Basilissa</i> and <i>Trochus</i>, and the Turbinidae, viz. the genus <i>Turbo</i>",,Journal of the Linnean Society (London),,,14,,692-716,,
"Devaney, D. M. (1978). A review of the genus Ophiomastix (Ophiuroidea: Ophiocomidae), Part II of a series of studies on Ophiocomid Brittlestars. <em>Micronesica.</em> 14(2): 273-359.","Devaney, D. M.",1978,"A review of the genus Ophiomastix (Ophiuroidea: Ophiocomidae), Part II of a series of studies on Ophiocomid Brittlestars",,Micronesica,,,14,2,273-359,,
"Beneden, P.J. van. (1846). Mémoire sur l'embryogénie, l'anatomie et la physiologie des Ascidies simples. <em>Bull. Acad. R. Sci. Lett. B.-Arts Belg.</em> 13(2): (1-11).","Beneden, P.J. van",1846,"Mémoire sur l'embryogénie, l'anatomie et la physiologie des Ascidies simples",,Bull. Acad. R. Sci. Lett. B.-Arts Belg.,,,13,2,(1-11),,
"Vandepitte, L.; Vanhoorne, B.; Decock, W.; Vranken, S.; Lanssens, T.; Dekeyzer, S.; Verfaille, K.; Horton, T.; Kroh, A.; Hernandez, F.; Mees, J. (2018). A decade of the World Register of Marine Species – General insights and experiences from the Data Management Team: Where are we, what have we learned and how can we continue?. <em>PLOS ONE.</em> 13(4): e0194599.","Vandepitte, L.; Vanhoorne, B.; Decock, W.; Vranken, S.; Lanssens, T.; Dekeyzer, S.; Verfaille, K.; Horton, T.; Kroh, A.; Hernandez, F.; Mees, J.",2018,"A decade of the World Register of Marine Species – General insights and experiences from the Data Management Team: Where are we, what have we learned and how can we continue?",,PLOS ONE,,,13,4,e0194599,10.1371/journal.pone.0194599,
"Van Damme, P.; Maes, J. (1993). De Blauwe Zwemkrab Callinectes sapidus Rathbun, 1896 in de Westerschelde (België). <em>De Strandvlo.</em> 13(4): 120-121.","Van Damme, P.; Maes, J.",1993,"De Blauwe Zwemkrab Callinectes sapidus Rathbun, 1896 in de Westerschelde (België)",,De Strandvlo,,,13,4,120-121,,
"Huys, R., G.A. Boxshall & R.J. Lincoln. (1994). The tantulocarid life cycle: the circle closed?. <em>Journal of Crustacean Biology.</em> 13(3):432-442.","Huys, R., G.A. Boxshall & R.J. Lincoln",1994,The tantulocarid life cycle: the circle closed?,,Journal of Crustacean Biology,,,13,3,432-442,,
"d'Udekem d'Acoz, C. (1993). Existence d'hibernacles chez Anguinella palmata van Beneden, 1845 (Bryozoa, Ctenostomata, Nolellidae). <em>De Strandvlo.</em> 13(4): 146-148.","d'Udekem d'Acoz, C.",1993,"Existence d'hibernacles chez Anguinella palmata van Beneden, 1845 (Bryozoa, Ctenostomata, Nolellidae)",,De Strandvlo,,,13,4,146-148,,
"Uriz, M.-J.; Rosell, D.; Martin, D. (1992). The sponge population of the Cabrera Archipelago (Balearic Islands): characteristics, distribution and abundance of the most representative species. <em>P.S.Z.N.I.: Marine Ecology.</em> 13(2): 101-117.","Uriz, M.-J.; Rosell, D.; Martin, D.",1992,"The sponge population of the Cabrera Archipelago (Balearic Islands): characteristics, distribution and abundance of the most representative species.",,P.S.Z.N.I.: Marine Ecology,,,13,2,101-117,,
"Holthuis, L.B.; Heerebout, G.R. (1972). Vondsten van de zeepok <i>Balanus tintinnabulum</i> (Linnaeus, 1758) in Nederland. <em>Zoologische Bijdragen.</em> 13: 24-31.","Holthuis, L.B.; Heerebout, G.R.",1972,"Vondsten van de zeepok <i>Balanus tintinnabulum</i> (Linnaeus, 1758) in Nederland",,Zoologische Bijdragen,,,13,,24-31,,
"Rachor, E. (1971). Theristus (Penzancia) blandicor (Monhysterida), eine neue Nematodenart aus dem Eulitoral der Wesermündung. <em>Veröff. Inst. Meeresforsch. Bremerh.</em> 13: 139-146.","Rachor, E.",1971,"Theristus (Penzancia) blandicor (Monhysterida), eine neue Nematodenart aus dem Eulitoral der Wesermündung.",,Veröff. Inst. Meeresforsch. Bremerh.,,,13,,139-146,,
"Vincx, M.; Coomans, A. (1983). Daptonema williamsi sp.n. (Nematoda, Xyalidae) from the Solomon Islands. <em>Zoologica Scripta.</em> 12(4): 237-244.","Vincx, M.; Coomans, A.",1983,"Daptonema williamsi sp.n. (Nematoda, Xyalidae) from the Solomon Islands",,Zoologica Scripta,,,12,4,237-244,10.1111/j.1463-6409.1983.tb00507.x,
"Armenteros, M.; Vincx, M.; Decraemer, W. (2010). Guitartia tridentata n. gen., n. sp. (Monhysterida: Xyalidae) and Macrodontium gaspari n. gen., n. sp. (Chromadorida: Microlaimidae), free-living marine nematodes from the Caribbean Sea. <em>Nematology.</em> 12 (3): 417-427.","Armenteros, M.; Vincx, M.; Decraemer, W.",2010,"Guitartia tridentata n. gen., n. sp. (Monhysterida: Xyalidae) and Macrodontium gaspari n. gen., n. sp. (Chromadorida: Microlaimidae), free-living marine nematodes from the Caribbean Sea",,Nematology,,,12,3,417-427,,
"Abd-Elnaby, F. A. (2008). New recorded species of Magelonidae and Maldanidae (Annelida: Polychaeta) from El-Tina Bay, Mediterranean coast of Egypt. <em>Egypt. J. Aquat. Biol. Fish.</em> 12(4): 119-141.","Abd-Elnaby, F. A.",2008,"New recorded species of Magelonidae and Maldanidae (Annelida: Polychaeta) from El-Tina Bay, Mediterranean coast of Egypt",,Egypt. J. Aquat. Biol. Fish.,,,12,4,119-141,,
"Soetaert, K.; Heip, C.; Vincx, M. (1991). The meiobenthos along a Mediterranean deep-sea transect off Calvi (Corsica) and in an adjacent canyon. <em>Marine Ecology.</em> 12(3):227-242.","Soetaert, K.; Heip, C.; Vincx, M.",1991,The meiobenthos along a Mediterranean deep-sea transect off Calvi (Corsica) and in an adjacent canyon.,,Marine Ecology,,,12,3,227-242,10.1111/j.1439-0485.1991.tb00255.x,
"d'Udekem d'Acoz, C. (1991). Quelques données sur Anguinella palmata van Beneden, 1845 et sa faune associée en Belgique (Bryozoa, Ctenostoma: Nolellidae). <em>De Strandvlo.</em> 11(2): 57.","d'Udekem d'Acoz, C.",1991,"Quelques données sur Anguinella palmata van Beneden, 1845 et sa faune associée en Belgique (Bryozoa, Ctenostoma: Nolellidae)",,De Strandvlo,,,11,2,57,,
"Gourbault, N.; Vincx, M. (1988). Calomicrolaimus compridus (Gerlach, 1956) n. comb., a marine nematode with a female producing a copulatory plug. <em>Revue Nématol.</em> 11 (1) : 39-43.","Gourbault, N.; Vincx, M.",1988,"Calomicrolaimus compridus (Gerlach, 1956) n. comb., a marine nematode with a female producing a copulatory plug",,Revue Nématol.,,,11,1,39-43,,
"Fredj, G.; Maurin, C. (1987). Les poissons dans la banque de données Medifaune. Application à l'étude des caractéristiques de la faune ichtyologique méditerranéenne. <em>Cybium.</em> 11(3): 215-342.","Fredj, G.; Maurin, C.",1987,Les poissons dans la banque de données Medifaune. Application à l'étude des caractéristiques de la faune ichtyologique méditerranéenne,,Cybium,,,11,3,215-342,,
"Adam, W. (1934). Notes sur les Céphalopodes: 5. <i>Ozaena cirrhosa</i> (Lamarck, 1798) sur la côte belge [Notes on the cephalopods: 5. <i>Ozaena cirrhosa</i> (Lamarck, 1798) at the Belgian coast]. <em>Bulletin du Musée Royal d'Histoire Naturelle de Belgique - Mededeelingen van het Koninklijk Natuurhistorisch Museum van België.</em> 10 (43): 1-3.","Adam, W.",1934,"Notes sur les Céphalopodes: 5. <i>Ozaena cirrhosa</i> (Lamarck, 1798) sur la côte belge [Notes on the cephalopods: 5. <i>Ozaena cirrhosa</i> (Lamarck, 1798) at the Belgian coast]",,Bulletin du Musée Royal d'Histoire Naturelle de Belgique - Mededeelingen van het Koninklijk Natuurhistorisch Museum van België,,,10,43,1-3,,
"Thomas, P.A. (1968). Studies on Indian sponges-II. Two new species of silicious sponges belonging to the genera <i>Aka</i> de Laubenfels and <i>Damirina</i> Burton. <em>Journal of the Marine Biological Association of India.</em> 10(2): 250-254.","Thomas, P.A.",1968,Studies on Indian sponges-II. Two new species of silicious sponges belonging to the genera <i>Aka</i> de Laubenfels and <i>Damirina</i> Burton.,,Journal of the Marine Biological Association of India,,,10,2,250-254,,
"Adam, W.; Leloup, E. (1934). Sur la présence du gastéropode Crepidula fornicata (Linné, 1758) sur la côte belge [Occurrence of the gastropod Crepidula fornicata (Linneaus, 1758) at the Belgian coast]. <em>Bull. Mus. royal d'Hist. Nat. Belg./Med. Kon. Natuurhist. Mus. Belg.</em> 10(45): 1-6.","Adam, W.; Leloup, E.",1934,"Sur la présence du gastéropode Crepidula fornicata (Linné, 1758) sur la côte belge [Occurrence of the gastropod Crepidula fornicata (Linneaus, 1758) at the Belgian coast]",,Bull. Mus. royal d'Hist. Nat. Belg./Med. Kon. Natuurhist. Mus. Belg.,,,10,45,1-6,,
"Scapolatempo, M.; Solustri, C.; Sabelli, B. (2003). <i>Amathina tricarinata</i> (Linnaeus, 1767) (Orthogastropoda, Heterobranchia, Amathinidae): una nuova specie esotica in Mediterraneo. <em>Biologia Marina Mediterranea.</em> 10(2): 614-617.","Scapolatempo, M.; Solustri, C.; Sabelli, B.",2003,"<i>Amathina tricarinata</i> (Linnaeus, 1767) (Orthogastropoda, Heterobranchia, Amathinidae): una nuova specie esotica in Mediterraneo",,Biologia Marina Mediterranea,,,10,2,614-617,,
"Abé, T.H. (1936). Report of the biological survey of Mutsu Bay. 29. Notes on the protozoan fauna of Mutsu Bay. II. Genus Peridinium: Subgenus Archaeperidinium. <em>Science Reports of the Tohoku Imperial University, Fourth Series, Biology.</em> 10(4): 639-686.","Abé, T.H.",1936,Report of the biological survey of Mutsu Bay. 29. Notes on the protozoan fauna of Mutsu Bay. II. Genus Peridinium: Subgenus Archaeperidinium.,,"Science Reports of the Tohoku Imperial University, Fourth Series, Biology",,,10,4,639-686,,
"Houart, R. (2008). Description of a new species of <i>Chicoreus</i> (<i>Triplex</i>) Perry, 1811 (Gastropoda: Muricidae) from Palawan, Philippine Islands. <em>Novapex.</em> 9 (4): 165-170.","Houart, R.",2008,"Description of a new species of <i>Chicoreus</i> (<i>Triplex</i>) Perry, 1811 (Gastropoda: Muricidae) from Palawan, Philippine Islands",,Novapex,,,9,4,165-170,,
"Volkmer-Ribeiro, C. (1986). Evolutionary study of the freshwater sponge genus <i>Metania</i> Gray, 1867 : 3. Metaniidae, new family. <em>Amazoniana.</em> 9(4): 493-509.","Volkmer-Ribeiro, C.",1986,"Evolutionary study of the freshwater sponge genus <i>Metania</i> Gray, 1867 : 3. Metaniidae, new family.",,Amazoniana,,,9,4,493-509,,
"Rappé, G. (1989). Preliminary report on the jellyfish season 1988 [Voorlopig verslag van het kwallenseizoen 1988]. <em>De Strandvlo.</em> 9(1): 5-12.","Rappé, G.",1989,Preliminary report on the jellyfish season 1988 [Voorlopig verslag van het kwallenseizoen 1988],,De Strandvlo,,,9,1,5-12,,
"Ax, P. (1952). Turbellarien der gattung Promesostoma von den deutschen kusten. <em>Kieler Meeresforschungen.</em> 8: 218-226.","Ax, P.",1952,Turbellarien der gattung Promesostoma von den deutschen kusten,,Kieler Meeresforschungen,,,8,,218-226,,
"Bodganos, C.; Satmatdis, J. (1985). The benthic fauna of different soft substrata in the Pagasitikos Gulf (Greece). <em>Thalassographica.</em> 8: 43-69.","Bodganos, C.; Satmatdis, J.",1985,The benthic fauna of different soft substrata in the Pagasitikos Gulf (Greece),,Thalassographica,,,8,,43-69,,
"López-González, P.J.; Grinyo, J.; Gili, J.-M. (2012). Rediscovery of Cereopsis studeri Koch, 1891, a forgotten Mediterranean soft coral species, and its inclusion in the genus Nidalia Gray, 1835 (Octocorallia, Alcyonacea, Nidaliidae). <em>Marine Biology Research.</em> 8(7): 594-604.","López-González, P.J.; Grinyo, J.; Gili, J.-M.",2012,"Rediscovery of Cereopsis studeri Koch, 1891, a forgotten Mediterranean soft coral species, and its inclusion in the genus Nidalia Gray, 1835 (Octocorallia, Alcyonacea, Nidaliidae)",,Marine Biology Research,,,8,7,594-604,,
"Keppel, E.; Sigovini, M.; Tagliapietra, D. (2012). A new geographical record of <i>Polycera hedgpethi</i> Er. Marcus, 1964 (Nudibranchia: Polyceridae) and evidence of its established presence in the Mediterranean Sea, with a review of its geographical distribution. <em>Marine Biology Research.</em> 8(10): 969-981.","Keppel, E.; Sigovini, M.; Tagliapietra, D.",2012,"A new geographical record of <i>Polycera hedgpethi</i> Er. Marcus, 1964 (Nudibranchia: Polyceridae) and evidence of its established presence in the Mediterranean Sea, with a review of its geographical distribution",,Marine Biology Research,,,8,10,969-981,10.1080/17451000.2012.706306,
"Dumoulin, E. (1987). Nieuwe waarnemingen van de Knotszakpijp, Styela clava Herdman, 1882, langs de Belgische Oostkust. <em>De Strandvlo.</em> 7(2): 61-62.","Dumoulin, E.",1987,"Nieuwe waarnemingen van de Knotszakpijp, Styela clava Herdman, 1882, langs de Belgische Oostkust",,De Strandvlo,,,7,2,61-62,,
"Andrássy, I. (1959). Nematoden aus dem Psammon des Adige-Flusses, I. <em>Mem. Mus. Civ. Stor. Nat. Verona.</em> 7: 163-181.","Andrássy, I.",1959,"Nematoden aus dem Psammon des Adige-Flusses, I",,Mem. Mus. Civ. Stor. Nat. Verona,,,7,,163-181,,
"Jullien, J. (1882). Note sur une nouvelle division des Bryozoaires cheilostomiens. <em>Bull. Soc. Zool. Fr.</em> 6: 271-285.","Jullien, J.",1882,Note sur une nouvelle division des Bryozoaires cheilostomiens,,Bull. Soc. Zool. Fr.,,,6,,271-285,,
"Diapoulis, A.; Bogdanos, C. (1983). Preliminary study of soft substrate macrozoobenthos & marine flora in the Bay of Gera (Lesvos Island, Greece). <em>Thalassographica.</em> 6: 127-139.","Diapoulis, A.; Bogdanos, C.",1983,"Preliminary study of soft substrate macrozoobenthos & marine flora in the Bay of Gera (Lesvos Island, Greece)",,Thalassographica,,,6,,127-139,,
"Gheerardyn, H., F. Fiers, M. Vincx & M. Detroch. (2006). Paralaophonte harpagone sp. n. (Copepoda: Harpacticoida), a laophontid with an extremely specialised maxilliped. <em>Organisms Diversity & Evolution.</em> 6(4): 323-324.","Gheerardyn, H., F. Fiers, M. Vincx & M. Detroch",2006,"Paralaophonte harpagone sp. n. (Copepoda: Harpacticoida), a laophontid with an extremely specialised maxilliped",,Organisms Diversity & Evolution,,,6,4,323-324,10.1016/j.ode.2005.12.004,
"Da Ros, L.; Canzonier, W.J. (1985). <i>Perkinsus</i>, a protistan threat to bivalve culture in the Mediterranean basin. <em>Bull. Eur. Ass. Fish. Pathol.</em> 5(2): 23-27.","Da Ros, L.; Canzonier, W.J.",1985,"<i>Perkinsus</i>, a protistan threat to bivalve culture in the Mediterranean basin",,Bull. Eur. Ass. Fish. Pathol,,,5,2,23-27,,
"Gruvel, A. (1928). Repartition geographique de quelques crustaces comestibles sur les cotes d'Egypte et de Syrie. <em>Comptes rendus de la societe de biogeographie.</em> 5(39): 45-46.","Gruvel, A.",1928,Repartition geographique de quelques crustaces comestibles sur les cotes d'Egypte et de Syrie.,,Comptes rendus de la societe de biogeographie,,,5,39,45-46,,
"Belpaire, C.; De Charleroy, D.; Thomas, K.; Van Damme, P.; Ollevier, F.P. (1989). Effects of eel restocking on the distribution of the swimbladder nematode Anguillicola crassus in Flanders, Belgium. <em>J. Appl. Ichthyol.</em> 5(3): 151-153.","Belpaire, C.; De Charleroy, D.; Thomas, K.; Van Damme, P.; Ollevier, F.P.",1989,"Effects of eel restocking on the distribution of the swimbladder nematode Anguillicola crassus in Flanders, Belgium",,J. Appl. Ichthyol.,,,5,3,151-153,,
"Schockaert, E. R.; Karling, T. G. (1975). Anatomy and taxonomy of some species of Polycystididae (Turbellaria, Kalyptorhynchia) from N. Atlantic and Mediterranean coastal areas. <em>Zoologica Scripta.</em> 4: 133-143.","Schockaert, E. R.; Karling, T. G.",1975,"Anatomy and taxonomy of some species of Polycystididae (Turbellaria, Kalyptorhynchia) from N. Atlantic and Mediterranean coastal areas.",,Zoologica Scripta,,,4,,133-143,,
"Zabala, M.; Maluquer, P. (1988). Illustrated keys for the classification of Mediterranaean Bryozoa. <em>Treb. Mus. Zool. Barcelona.</em> 4: 5-294.","Zabala, M.; Maluquer, P.",1988,Illustrated keys for the classification of Mediterranaean Bryozoa,,Treb. Mus. Zool. Barcelona,,,4,,5-294,,
"Krapp, F.; Sconfietti, R. (1983). <i>Ammothea hilgendorfi</i> (Bohm, 1879), an adventitious pycnogonid new for the Mediterranean Sea. <em>Marine Ecology.</em> 4(2): 123-132.","Krapp, F.; Sconfietti, R.",1983,"<i>Ammothea hilgendorfi</i> (Bohm, 1879), an adventitious pycnogonid new for the Mediterranean Sea",,Marine Ecology,,,4,2,123-132,,
"Ghisotti, F. (1968). Molluschi del genere <i>Quoyula</i> Iredale, nel Mediterraneo. <em>Conchiglie.</em> 4: 182-186.","Ghisotti, F.",1968,"Molluschi del genere <i>Quoyula</i> Iredale, nel Mediterraneo",,Conchiglie,,,4,,182-186,,
"Sinis, A. (2005). First record of <i>Tylosurus crocodilus</i> (Peron & Lesueur 1821) (Pisces: Belonidae) in the Mediterranean (North Aegean Sea, Greece). <em>Journal of Biological Research.</em> 4: 221-224.","Sinis, A.",2005,"First record of <i>Tylosurus crocodilus</i> (Peron & Lesueur 1821) (Pisces: Belonidae) in the Mediterranean (North Aegean Sea, Greece)",,Journal of Biological Research,,,4,,221-224,,
"Connell, A. (2008). New species of mysids (Crustacea: Mysidae) from the east coast of South Africa, with notes on habitat preferences. <em>African Natural History.</em> 4: 1-10.","Connell, A.",2008,"New species of mysids (Crustacea: Mysidae) from the east coast of South Africa, with notes on habitat preferences.",,African Natural History,,,4,,1-10,,
"Chitwood, B. G. (1936). Some marine nematodes from North Carolina. <em>Proc. Helminthol. Soc. Wash.</em> 3(1): 1-16.","Chitwood, B. G.",1936,Some marine nematodes from North Carolina,,Proc. Helminthol. Soc. Wash.,,,3,1,1-16,,
"Houart, R. (2002). Description of a new muricopsine species (Gastropoda: Muricidae) from Martinique, Lesser Antilles. <em>Novapex.</em> 3(4): 139-140.","Houart, R.",2002,"Description of a new muricopsine species (Gastropoda: Muricidae) from Martinique, Lesser Antilles",,Novapex,,,3,4,139-140,,
"Rudolphi, K. A. (1803). Neue Beobachtungen über die Eingeweidewürmer. <em>Archiv für Zoologie und Zootomie.</em> 3(1): 1-32.","Rudolphi, K. A.",1803,Neue Beobachtungen über die Eingeweidewürmer.,,Archiv für Zoologie und Zootomie,,,3,1,1-32,,
"Marques, J.C.; Bellan-Santini, D. (1990). Benthic amphipod fauna (Crustacea) of the Portuguese coast: biogeographical considerations. <em>Marine Nature.</em> 3: 43-51.","Marques, J.C.; Bellan-Santini, D.",1990,Benthic amphipod fauna (Crustacea) of the Portuguese coast: biogeographical considerations,,Marine Nature,,,3,,43-51,,
"Vandepitte, L.; Vanhoorne, B.; Decock, W.; Dekeyzer, S.; Trias Verbeeck, A.; Bovit, L.; Hernandez, F.; Mees, J. (2015). How Aphia—The Platform behind Several Online and Taxonomically Oriented Databases—Can Serve Both the Taxonomic Community and the Field of Biodiversity Informatics. <em>Journal of Marine Science and Engineering.</em> 3(4): 1448-1473.","Vandepitte, L.; Vanhoorne, B.; Decock, W.; Dekeyzer, S.; Trias Verbeeck, A.; Bovit, L.; Hernandez, F.; Mees, J.",2015,How Aphia—The Platform behind Several Online and Taxonomically Oriented Databases—Can Serve Both the Taxonomic Community and the Field of Biodiversity Informatics,,Journal of Marine Science and Engineering,,,3,4,1448-1473,10.3390/jmse3041448,
"Volkmer-Ribeiro, C. (1970). <i>Oncosclera</i>-a new genus of freshwater sponges (Porifera-Spongillidae) with rediscription of two species. <em>Amazoniana.</em> 2 (4): 435-442.","Volkmer-Ribeiro, C.",1970,<i>Oncosclera</i>-a new genus of freshwater sponges (Porifera-Spongillidae) with rediscription of two species.,,Amazoniana,,,2,4,435-442,,
"Lane, C. (1914). Suckered round-worms from India and Ceylon. <em>Indian Journal of Medical Research.</em> 2: 655-669.","Lane, C.",1914,Suckered round-worms from India and Ceylon,,Indian Journal of Medical Research,,,2,,655-669,,
