String,Authors,Year,Title,Book,Series,Publisher,City,Volume,Issue,Pagination,DOI
"Sebastian, S.; Raes, M.; De Mesel, I.; Vanreusel, A. (2007). Comparison of the nematode fauna from the Weddell Sea Abyssal Plain with two North Atlantic abyssal sites. <em>Deep Sea Research Part II: Topical Studies in Oceanography.</em> 54(16-17): 1727-1736.","Sebastian, S.; Raes, M.; De Mesel, I.; Vanreusel, A.",2007,Comparison of the nematode fauna from the Weddell Sea Abyssal Plain with two North Atlantic abyssal sites,,Deep Sea Research Part II: Topical Studies in Oceanography,,,54,16-17,1727-1736,10.1016/j.dsr2.2007.07.004
"Tchesunov, A. V.; Ingels, J.; Popova, E. V. (2012). Marine free-living nematodes associated with symbiotic bacteria in deep-sea canyons of north-east Atlantic Ocean. <em>Journal of the Marine Biological Association of the United Kingdom.</em> 92(06): 1257-1271.","Tchesunov, A. V.; Ingels, J.; Popova, E. V.",2012,Marine free-living nematodes associated with symbiotic bacteria in deep-sea canyons of north-east Atlantic Ocean,,Journal of the Marine Biological Association of the United Kingdom,,,92,06,1257-1271,10.1017/s0025315411002116
"Heiner, I.; Boesgaard, T. M.; Kristensen, R. M. (2009). First time discovery of Loricifera from Australian waters and marine caves. <em>Marine Biology Research.</em> 5(6): 529-546.","Heiner, I.; Boesgaard, T. M.; Kristensen, R. M.",2009,First time discovery of Loricifera from Australian waters and marine caves,,Marine Biology Research,,,5,6,529-546,10.1080/17451000902933009
"Holmes, J.M.C. (1998). A checklist of the Siphonostomatoida (Crustacea: Copepoda) of Ireland. <em>Bulletin of the Irish Biogeographical Society, Dublin.</em> 22(2): 194-228.","Holmes, J.M.C.",1998,A checklist of the Siphonostomatoida (Crustacea: Copepoda) of Ireland.,,"Bulletin of the Irish Biogeographical Society, Dublin",,,22,2,194-228,
"Huys, R. (1990). Campyloxiphos dineti gen. et spec. nov. from off Namibia and a redefinition of the Deoterthridae Boxshall & Lincoln (Crustacea: Tantulocarida). Journal of Natural History, London 24(2):415-432.","Huys, R.",1990,Campyloxiphos dineti gen. et spec. nov. from off Namibia and a redefinition of the Deoterthridae Boxshall & Lincoln (Crustacea: Tantulocarida).,,"Journal of Natural History, London",,,24,2,415-432,
"Kabata, Z. (1992). Copepods Parasitic on Fishes. Synopses of the British Fauna, New Series.  Edited by Kermack, D.M., S.K. Barnes & J.H. Crothers 47:1-264, figs. 1-45. (3 copies.)","Kabata, Z.",1992,Copepods Parasitic on Fishes.,,"Synopses of the British Fauna, New Series. Edited by Kermack, D.M., S.K. Barnes & J.H. Crothers",,,47,,"1-264, figs. 1-45. (3 copies.)",
"Baker, H.R. (1981). Phallodrilus tempestatis n.sp., a new marine tubificid (Annelida: Oligochaeta) from British Columbia. <em>Canadian Journal of Zoology.</em> 59(8): 1475-1478.","Baker, H.R.",1981,"Phallodrilus tempestatis n.sp., a new marine tubificid (Annelida: Oligochaeta) from British Columbia",,Canadian Journal of Zoology,,,59,8,1475-1478,10.1139/z81-200
"Holthuis, L.B. (1952). Crustacés Décapodes, Macrures. <em>Résultats Scientifiques, Expédition océanographique Belge dans les Eaux Côtières Africaines de l'Atlantique Sud (1948–1949).</em> 3(2): 1-88.","Holthuis, L.B.",1952,"Crustacés Décapodes, Macrures",,"Résultats Scientifiques, Expédition océanographique Belge dans les Eaux Côtières Africaines de l’Atlantique Sud (1948–1949)",,,3,2,1-88,
"Schiller, J. (1928). Die planktischen Vegetationen des adriatischen Meeres. C. Dinoflagellata. II Teil. Gymnodiniales. <em>Archiv für Protistenkunde.</em> 62(1): 119-166, pl. 6.","Schiller, J.",1928,Die planktischen Vegetationen des adriatischen Meeres. C. Dinoflagellata. II Teil. Gymnodiniales,,Archiv für Protistenkunde,,,62,1,"119-166, pl. 6",
"Wilson, Douglas P. (1958). The polychaete <i>Magelona alleni</i> n.sp. and a re-assessment of <i>Magelona cincta</i> Ehlers. <em>Journal of the Marine Biological Association of the United Kingdom.</em> 37(3): 617-626.","Wilson, Douglas P.",1958,The polychaete <i>Magelona alleni</i> n.sp. and a re-assessment of <i>Magelona cincta</i> Ehlers.,,Journal of the Marine Biological Association of the United Kingdom,,,37,3,617-626,10.1017/S002531540000566X
"Golani, D.; Sonin, O. (2006). The Japanese threadfin bream <i>Nemipterus japonicus</i>, a new Indo-Pacific fish in the Mediterranean Sea. <em>Journal of Fish Biology.</em> 68(3): 940-943.","Golani, D.; Sonin, O.",2006,"The Japanese threadfin bream <i>Nemipterus japonicus</i>, a new Indo-Pacific fish in the Mediterranean Sea",,Journal of Fish Biology,,,68,3,940-943,10.1111/j.0022-1112.2006.00961.x
"Lock, K.; Beyst, B.; Mees, J. (1999). Circadiel patterns in the tidal plankton of a sandy beach in Zeebrugge (Belgium). <em>Belgian Journal of Zoology.</em> 129: 339-352.","Lock, K.; Beyst, B.; Mees, J.",1999,Circadiel patterns in the tidal plankton of a sandy beach in Zeebrugge (Belgium),,Belgian Journal of Zoology,,,129,,339-352,
"Koeman, R.; Van den Hoek, C. (1981). The taxonomy of Ulva(Chlorophyceae) in the Netherlands. <em>British Phycological Journal.</em> 16(1): 9-53.","Koeman, R.; Van den Hoek, C.",1981,The taxonomy of Ulva(Chlorophyceae) in the Netherlands,,British Phycological Journal,,,16,1,9-53,10.1080/00071618100650031
"Laubier, L. (1966). Le coralligène des Albères. Monographie biocénotique. <em>Annales de l'Institut Océanographique, Monaco, Nouvelle Série.</em> 43:137-316, figs. 1-12, plates I-VI, maps 1-2.","Laubier, L.",1966,Le coralligène des Albères. Monographie biocénotique.,,"Annales de l'Institut Océanographique, Monaco, Nouvelle Série",,,43,,"137-316, figs. 1-12, plates I-VI, maps 1-2.",
"ICZN. (2018). Opinion 2408 (Case 3690). <i>Alabina</i> Dall, 1902 (Gastropoda, Cerithioidea): designation of <i>Alaba cerithidioides</i> Dall, 1889 as type species not approved. <em>Bulletin of Zoological Nomenclature.</em> 75: 73-74.",ICZN,2018,"Opinion 2408 (Case 3690). <i>Alabina</i> Dall, 1902 (Gastropoda, Cerithioidea): designation of <i>Alaba cerithidioides</i> Dall, 1889 as type species not approved",,Bulletin of Zoological Nomenclature,,,75,,73-74,10.21805/bzn.v75.a018
"Sowerby, G. B., III. (1875). Descriptions of ten new species of shells. <em>Proceedings of the Zoological Society of London.</em> 43: 125-129, pl. 24.","Sowerby, G. B., III",1875,Descriptions of ten new species of shells,,Proceedings of the Zoological Society of London,,,43,,"125-129, pl. 24.",
"Biard, T.; Pillet, L.; Decelle, J.; Poirier, C.; Suzuki, N.; Not, F. (2015). Towards an Integrative Morpho-molecular Classification of the Collodaria (Polycystinea, Radiolaria). <em>Protist.</em> 166(3): 374-388.","Biard, T.; Pillet, L.; Decelle, J.; Poirier, C.; Suzuki, N.; Not, F.",2015,"Towards an Integrative Morpho-molecular Classification of the Collodaria (Polycystinea, Radiolaria)",,Protist,,,166,3,374-388,10.1016/j.protis.2015.05.002
"Decraemer, W. (1975). Scientific Report on the Belgian expedition to the Great Barrier reef in 1967. Nematodes III : further study of desmoscolex - species (Nematoda-Desmoscolecida) from Yonge Reef, Lizard Island and Nymphe Island. <em>Cahiers de Biologie Marine.</em> 16: 269-284.","Decraemer, W.",1975,"Scientific Report on the Belgian expedition to the Great Barrier reef in 1967. Nematodes III : further study of desmoscolex - species (Nematoda-Desmoscolecida) from Yonge Reef, Lizard Island and Nymphe Island",,Cahiers de Biologie Marine,,,16,,269-284,
"Bouwman, L.A. (1981). A survey of nematodes from the Ems Estuary Part I: Systematics. <em>Zool. Jb. (Syst.).</em> 108: 335-385.","Bouwman, L.A.",1981,A survey of nematodes from the Ems Estuary Part I: Systematics,,Zool. Jb. (Syst.),,,108,,335-385,
"Giesbrecht, W. (1881). Vorlaufige Mitteilung aus einer Arbeit uber die freilebenden Copepoden des Kieler Hafens. <em>Zoologischer Anzeiger.</em> 4(83):254-258. (16-v-1881).","Giesbrecht, W.",1881,Vorlaufige Mitteilung aus einer Arbeit uber die freilebenden Copepoden des Kieler Hafens.,,Zoologischer Anzeiger,,,4,83,254-258,
"Moodley, L.; Steyaert, M.; Epping, E.; Middelburg, J. J.; Vincx, M.; Van Avesaath, P.; Moens, T.; Soetaert, K. (2008). Biomass-specific respiration rates of benthic meiofauna: Demonstrating a novel oxygen micro-respiration system. <em>Journal of Experimental Marine Biology and Ecology.</em> 357(1): 41-47.","Moodley, L.; Steyaert, M.; Epping, E.; Middelburg, J. J.; Vincx, M.; Van Avesaath, P.; Moens, T.; Soetaert, K.",2008,Biomass-specific respiration rates of benthic meiofauna: Demonstrating a novel oxygen micro-respiration system,,Journal of Experimental Marine Biology and Ecology,,,357,1,41-47,10.1016/j.jembe.2007.12.025
"De Troch, M.; Vandepitte, L.; Raes, M.; Suàrez-Morales, E.; Vincx, M. (2005). A field colonization experiment with meiofauna and seagrass mimics: effect of time, distance and leaf surface area. <em>Marine Biology.</em> 148(1): 73-86.","De Troch, M.; Vandepitte, L.; Raes, M.; Suàrez-Morales, E.; Vincx, M.",2005,"A field colonization experiment with meiofauna and seagrass mimics: effect of time, distance and leaf surface area",,Marine Biology,,,148,1,73-86,10.1007/s00227-005-0062-x
"Jouk, P. E. H.; Hummon, W. D.; Hummon, M. R.; Roidou, E. (1992). Marine Gastrotricha from the Belgian coast: Species list and distribution. <em>Bulletin de l'Institut Royal des Sciences Naturelles de Belgique, Biologie.</em> 62: 87-90.","Jouk, P. E. H.; Hummon, W. D.; Hummon, M. R.; Roidou, E.",1992,Marine Gastrotricha from the Belgian coast: Species list and distribution,,"Bulletin de l'Institut Royal des Sciences Naturelles de Belgique, Biologie",,,62,,87-90,
"Hu, C.-H.; H-Tao, J. (2008). Studies on the ostracod fauna of Taiwan and its adjacent seas. <em>National Taiwan Museum Special Publication Series.</em> 13 (part 1), 1-655 [In Chinese].","Hu, C.-H.; H-Tao, J.",2008,Studies on the ostracod fauna of Taiwan and its adjacent seas,,National Taiwan Museum Special Publication Series,,,13,part1,1-655,
"Benwell, M. P. (1981). A New Species of Gonionchus (Nematoda: Xyalidae) from the Firth of Clyde, with a Redescription of Enoploides spiculohamatus Schulz (Nematoda: Enoplidae). <em>Cahiers de Biologie Marine.</em> 22: 177-183.","Benwell, M. P.",1981,"A New Species of Gonionchus (Nematoda: Xyalidae) from the Firth of Clyde, with a Redescription of Enoploides spiculohamatus Schulz (Nematoda: Enoplidae)",,Cahiers de Biologie Marine,,,22,,177-183,
"Wieser, W.; Hopper, B. (1966). The Neotonchinae, new subfamily (Cyatholaimidae: Nenatoda), with an analysis of its genera, Neotonchus Cobb, 1933 and Gompnionema new genus. <em>Canadian Journal of Zoology.</em> 44(4): 519-532.","Wieser, W.; Hopper, B.",1966,"The Neotonchinae, new subfamily (Cyatholaimidae: Nenatoda), with an analysis of its genera, Neotonchus Cobb, 1933 and Gompnionema new genus",,Canadian Journal of Zoology,,,44,4,519-532,10.1139/z66-056
"Verseveldt, J. (1970). A new species of Sinularia (Octocorallia: Alcyonacea) from Madagascar. <em>Israel Journal of Zoology.</em> 19(3): 165-168.","Verseveldt, J.",1970,A new species of Sinularia (Octocorallia: Alcyonacea) from Madagascar,,Israel Journal of Zoology,,,19,3,165-168,
"Petkovski, T.K. (1959). Fauna Copepoda Pecine 'Dona Duka' kod Rasca-Skopje. Die Copepoden-Fauna der 'Dona Duka'-Höhle bei Rasce-Skopje. Fragmenta Balcanica 2(14):107-123, figs. 1-37. (9-iii-1959)","Petkovski, T.K.",1959,Fauna Copepoda Pecine 'Dona Duka' kod Rasca-Skopje. Die Copepoden-Fauna der 'Dona Duka'-Höhle bei Rasce-Skopje.,,Fragmenta Balcanica,,,2,14,"107-123, figs. 1-37. (9-iii-1959)",
"Lyle, L. (1922). Antithamnionella, a new genus of algae. <em>Journal of Botany : British and foreign. Taylor & Co: London.</em> 60(6): 346-350.","Lyle, L.",1922,"Antithamnionella, a new genus of algae",,Journal of Botany : British and foreign,,London,60,6,346-350,
"Van Colen, C.; Montserrat, F.; Verbist, K.; Vincx, M.; Steyaert, M.; Vanaverbeke, J.; Herman, P.; Degraer, S.; Ysebaert, T. (2009). Tidal flat nematode responses to hypoxia and subsequent macrofauna-mediated alterations of sediment properties. <em>Marine Ecology Progress Series.</em> 381: 189-197.","Van Colen, C.; Montserrat, F.; Verbist, K.; Vincx, M.; Steyaert, M.; Vanaverbeke, J.; Herman, P.; Degraer, S.; Ysebaert, T.",2009,Tidal flat nematode responses to hypoxia and subsequent macrofauna-mediated alterations of sediment properties,,Marine Ecology Progress Series,,,381,,189-197,10.3354/meps07914
"Nordsieck, F. (1972). Marine Gastropoden aus der Shiqmona-Bucht in Israël. <em>Archiv für Molluskenkunde.</em> 102 (4-6): 227-245.","Nordsieck, F.",1972,Marine Gastropoden aus der Shiqmona-Bucht in Israël,,Archiv für Molluskenkunde,,,102,4-6,227-245,
"Dana, J.D. (1852). United States Exploring Expedition, during the years 1838, 1839, 1840, 1841, 1842. Under the command of Charles Wilkes, U.S.N.: XIII. Crustacea, part I. <em>Printed by C. Sherman: Philadelphia.</em> viii, 685 pp.","Dana, J.D.",1852,"United States Exploring Expedition, during the years 1838, 1839, 1840, 1841, 1842. Under the command of Charles Wilkes, U.S.N.: XIII. Crustacea, part I.",,Printed by C. Sherman: Philadelphia,,,,,"viii, 685",
"Markowski, S. (1935). Die paratischen Würmer von Gobius minutus Pall. des polnischen Balticums. <em>Bulletin de l'Académie Polonaise des Sciences.</em> 6-7: 251-260.","Markowski, S",1935,Die paratischen Würmer von Gobius minutus Pall. des polnischen Balticums,,Bulletin de l'Académie Polonaise des Sciences,,,6-7,,251-260,
"Beklemishev, V. N. (1951). The species belonging to the genus Macrostomum (Turbellaria, Rhabdocoela) of Soviet Union. <em>Bulletin of Moscow Society of Naturalists, Biological Series.</em> 56(4): 31–40.","Beklemishev, V. N.",1951,"The species belonging to the genus Macrostomum (Turbellaria, Rhabdocoela) of Soviet Union.",,"Bulletin of Moscow Society of Naturalists, Biological Series",,,56,4,31-40,
"Norman, A. M. (1902-1905). Notes on the natural history of East Finmark. <em>Taylor and Francis: London.</em> 341-361, 472-486, 1-32 (pl. I-IV), 166-173, 567-598 (pl. XIII), 87-128 (pl. VIII, IX), 280-286, 406-417 (pl. XXVII), 348-359 pp.","Norman, A. M.",1902-1905,Notes on the natural history of East Finmark,,,Taylor and Francis,London,,,"341-361, 472-486, 1-32 (pl. I-IV), 166-173, 567-598 (pl. XIII), 87-128 (pl. VIII, IX), 280-286, 406-417 (pl. XXVII), 348-359 pp.",
"Kerckhof, F. (1990). An invasion of the Purple Jellyfish, Pelagia noctiluca (Forskal, 1775), along the Belgian coast [Een invasie van de Parelkwal Pelagia noctiluca (Forskal, 1775) langs de Belgische kust]. <em>De Strandvlo.</em> 10(4): 101-109.","Kerckhof, F.",1990,"An invasion of the Purple Jellyfish, Pelagia noctiluca (Forskal, 1775), along the Belgian coast [Een invasie van de Parelkwal Pelagia noctiluca (Forskal, 1775) langs de Belgische kust].",,De Strandvlo,,,10,4,101-109,
"Mienis, H. K. (1977). <i>Cerithium nesioticum</i> Pilsbry & Vanatta, 1906. Another Indo-Pacific species from the Mediterranean coast of Israel. <em>Conchiglie.</em> 13 (1-2): 45.","Mienis, H. K.",1977,"<i>Cerithium nesioticum</i> Pilsbry & Vanatta, 1906. Another Indo-Pacific species from the Mediterranean coast of Israel.",,Conchiglie,,,13,1-2,45,
"Hooper, J.N.A.; Wiedenmayer, F. (1994). Porifera. <i>In</i>: Wells, A. (ed.) Zoological Catalogue of Australia. Volume 12. Melbourne, CSIRO.","Hooper, J.N.A.; Wiedenmayer, F.",1994,"Porifera. <i>In</i>: Wells, A. (ed.) Zoological Catalogue of Australia. Volume 12. Melbourne, CSIRO",,Zoological Catalogue of Australia (CSIRO: Melbourne),,,12,,1-620,
"Houart, R. (2003). Description of three new species of <i>Trophon</i> s.l. Montfort, 1810 (Gastropoda: Muricidae) from Chile. <em>Novapex.</em> 4 (4): 101-110.","Houart, R.",2003,"Description of three new species of <i>Trophon</i> s.l. Montfort, 1810 (Gastropoda: Muricidae) from Chile",,Novapex,,,4,4,101-110,
"Terenko, L. M.; Terenko, G. V. (2000). Species diversity of the plankton phytocenosis in the Odessa Bay of the Black Sea. <em>Ekologia Morya.</em> 52: 56-59. (in Russian).","Terenko, L. M.; Terenko, G. V.",2000,Species diversity of the plankton phytocenosis in the Odessa Bay of the Black Sea.,,Ekologia Morya,,,52,,56-59,
"Huys, R. & F.H. Mu. (2008). Description of a new species of Onychostenhelia Itô (Copepoda, Harpacticoida, Miraciidae) from the Bohai Sea, China. Zootaxa 1706:51-68.","Huys, R. & F.H. Mu",2008,"Description of a new species of Onychostenhelia Itô (Copepoda, Harpacticoida, Miraciidae) from the Bohai Sea, China.",,Zootaxa,,,1706,,51-68,
"Van Ginderdeuren, K.; Hostens, K.; Hoffman, S.; Vansteenbrugge, L.; Soenen, K.; De_Blauwe, H.; Robbens, J.; Vincx, M. (2012). Distribution of the invasive ctenophore Mnemiopsis leidyi in the Belgian part of the North Sea. <em>Aquatic Invasions.</em> 7(2): 163-169.","Van Ginderdeuren, K.; Hostens, K.; Hoffman, S.; Vansteenbrugge, L.; Soenen, K.; De Blauwe, H.; Robbens, J.; Vincx, M.",2012,Distribution of the invasive ctenophore Mnemiopsis leidyi in the Belgian part of the North Sea.,,Aquatic Invasions,,,7,2,163-169,10.3391/ai.2012.7.2.002
"Itô, Tatsunori. (1981). Descriptions and records of marine harpacticoid copepods from Hokkaido, VIII. Journal of the Faculty of Science, Hokkaido University, Series 6, Zoology 22(4):422-450. (ix-1981)","Itô, Tatsunori",1981,"Descriptions and records of marine harpacticoid copepods from Hokkaido, VIII.",,"Journal of the Faculty of Science, Hokkaido University, Series 6, Zoology",,,22,4,422-450. (ix-1981),
"Beneden, P.J. van. (1853). Note sur un nouveau genre de Crustacé parasite (Pagodina). <em>Bulletin de l'Académie Royale de Belgique.</em> 20(1):482-487, pl. 1.","Beneden, P.J. van",1853,Note sur un nouveau genre de Crustacé parasite (Pagodina).,,Bulletin de l'Académie Royale de Belgique,,,20,1,"482-487, pl. 1.",
"Crandall, K. A.; De Grave, S. (2017). An updated classification of the freshwater crayfishes (Decapoda: Astacidea) of the world, with a complete species list. <em>Journal of Crustacean Biology.</em>","Crandall, K. A.; De Grave, S.",2017,"An updated classification of the freshwater crayfishes (Decapoda: Astacidea) of the world, with a complete species list",,Journal of Crustacean Biology,,,,,,10.1093/jcbiol/rux070
"Acik, S. (2011). Sipuncula from the southern coast of Turkey (eastern Mediterranean), with a new report for the Mediterranean Sea. <em>Cahiers de Biologie Marine.</em> 52: 313-329.","Acik, S.",2011,"Sipuncula from the southern coast of Turkey (eastern Mediterranean), with a new report for the Mediterranean Sea",,Cahiers de Biologie Marine,,,52,,313-329,
"Ben Eliahu, M.N. (1995). A list of Polychaeta along the Levant Coast. <em>Haasiana.</em> 1: 78-93.","Ben Eliahu, M.N.",1995,A list of Polychaeta along the Levant Coast,,Haasiana,,,1,,78-93,
"Bishop, J. D. D.; Hayward, P. J. (1989). SEM Atlas of type and figured material from Robert Lagaaij's 'The Pliocene bryozoa of the Low Countries. <em>Meded. (Rijks Geol. Dienst).</em> 43: 1-64.","Bishop, J. D. D.; Hayward, P. J.",1989,SEM Atlas of type and figured material from Robert Lagaaij's 'The Pliocene bryozoa of the Low Countries,,Meded. (Rijks Geol. Dienst),,,43,,1-64,
"Schockaert, E.R.; Brunet, M. (1971). Turbellaria Polycystididae (Turbellaria, Kalyptorhynchia) from the Marseille-area: 2. <i>Gallorhynchus simplex</i> n.g. n.sp. and <i>G. mediterraneus</i> n.sp. <em>Annales de la Société Royale Zoologique de Belgique.</em> 101(1-2): 65-75.","Schockaert, E.R.; Brunet, M.",1971,"Turbellaria Polycystididae (Turbellaria, Kalyptorhynchia) from the Marseille-area: 2. <i>Gallorhynchus simplex</i> n.g. n.sp. and <i>G. mediterraneus</i> n.sp.",,Annales de la Société Royale Zoologique de Belgique,,,101,1-2,65-75,
"Huys, R., J.M. Gee, C.G. Moore & R. Hamond. (1996). Marine and brackish water harpacticoid copepods. Part 1. Keys and notes for identification of the species. <em>In: Barnes, R.S.K. & J.H. Crothers (eds.). Synopses of the British Fauna, New Series,  Published for the Linnean Society of London and the Estuarine and Coastal Sciences Association.</em> 51(1):1-352.","Huys, R., J.M. Gee, C.G. Moore & R. Hamond",1996,Marine and brackish water harpacticoid copepods. Part 1. Keys and notes for identification of the species.,,"In: Barnes, R.S.K. & J.H. Crothers (eds.). Synopses of the British Fauna, New Series,  Published for the Linnean Society of London and the Estuarine and Coastal Sciences Association",,,51,1,1-352,
"Mienis, H. K.; Singer, B. (1983). <i>Cypraea gracilis</i>: an interesting addition to the mollusc fauna of the Mediterranean coast of Israel. <em>Levantina.</em> 46: 535-537.","Mienis, H. K.; Singer, B.",1983,<i>Cypraea gracilis</i>: an interesting addition to the mollusc fauna of the Mediterranean coast of Israel,,Levantina,,,46,,535-537,
"Scott, T. (1902). Observations on the food of fishes. <em>Annual Report of the Fishery Board for Scotland.</em> 20 (3):486-538.","Scott, T.",1902,Observations on the food of fishes.,,Annual Report of the Fishery Board for Scotland,,,20,3,486-538,
"Dagli, E.; Çinar, M. E. (2010). Presence of the Australian spionid species, <i>Prionospio paucipinnulata</i> (Polychaeta: Spionidae), in the Mediterranean Sea. <em>Cahiers De Biologie Marine.</em> 51: 311-317.","Dagli, E.; Çinar, M. E.",2010,"Presence of the Australian spionid species, <i>Prionospio paucipinnulata</i> (Polychaeta: Spionidae), in the Mediterranean Sea",,Cahiers De Biologie Marine,,,51,,311-317,
"Jacobs, L. J. (1987). A redefinition of the genus Monhystrella Cobb (Nematoda, Monhysteridae) with keys to the species. <em>Zoologica Scri.</em> 16(3): 191-197.","Jacobs, L. J.",1987,"A redefinition of the genus Monhystrella Cobb (Nematoda, Monhysteridae) with keys to the species",,Zoologica Scri.,,,16,3,191-197,
"Mienis, H. K. (1972). On the nomenclature and distribution of <i>Columbella savignyi</i>. <em>Argamon.</em> 3(1-4): 17-19.","Mienis, H. K.",1972,On the nomenclature and distribution of <i>Columbella savignyi</i>,,Argamon,,,3,1-4,17-19,
"Tassia, M. G.; Cannon, J. T.; Konikoff, C. E.; Shenkar, N.; Halanych, K. M.; Swalla, B. J. (2016). The Global Diversity of Hemichordata. <em>PLOS ONE.</em> 11(10): e0162564.","Tassia, M. G.; Cannon, J. T.; Konikoff, C. E.; Shenkar, N.; Halanych, K. M.; Swalla, B. J.",2016,The Global Diversity of Hemichordata,,PLOS ONE,,,11,10,e0162564,10.1371/journal.pone.0162564
"Barnard, T. (1972). Aberrant genera of foraminifera from the Mesozoic (Sub-family Ramulininae Brady 1884). <em>Revista Española de Micropaleontología.</em> 4(3): 387-402.","Barnard, T.",1972,Aberrant genera of foraminifera from the Mesozoic (Sub-family Ramulininae Brady 1884).,,Revista Española de Micropaleontología,,,4,3,387-402,
"Çinar, M. E.; Ergen, Z. (2003). Eusyllinae and Syllinae (Annelida: Polychaeta) from northen Cyprus (Eastern Mediterranean Sea) with a checklist of species reported from the Levant Sea. <em>Bulletin of Marine Science.</em> 72(3): 769-793.","Çinar, M. E.; Ergen, Z.",2003,Eusyllinae and Syllinae (Annelida: Polychaeta) from northen Cyprus (Eastern Mediterranean Sea) with a checklist of species reported from the Levant Sea,,Bulletin of Marine Science,,,72,3,769-793,
"Carballo, J.L.; Garcia-Gómez, J.C. (1995). <i>Axinella estacioi</i> n.sp. (Porifera, Axinellida) from caves of the Strait of Gibraltar (southern Iberian Peninsula). <em>Cahiers de Biologie Marine.</em> 36 (4): 245-250.","Carballo, J.L.; Garcia-Gómez, J.C.",1995,"<i>Axinella estacioi</i> n.sp. (Porifera, Axinellida) from caves of the Strait of Gibraltar (southern Iberian Peninsula)",,Cahiers de Biologie Marine,,,36,4,245-250,
"Dautzenberg, Ph. (1893). Description d'une nouvelle espèce du genre Littorina provenant des côtes de la Tunisie. <em>J. conchyliol.</em> XLI: 35-36, plate I.","Dautzenberg, Ph.",1893,Description d'une nouvelle espèce du genre Littorina provenant des côtes de la Tunisie,,J. conchyliol.,,,XLI,,"35-36, plate I",
"Dupuis, M.P. (1927). Faune malacologique de la Belgique: notes concernant la découverte par le Dr. Giltay de deux espèces de mollusques nouveaux pour la faune belge. <em>Ann. Soc. R. Zool. Bel.</em> 58: 31-38.","Dupuis, M.P.",1927,Faune malacologique de la Belgique: notes concernant la découverte par le Dr. Giltay de deux espèces de mollusques nouveaux pour la faune belge.,,Ann. Soc. R. Zool. Bel.,,,58,,31-38,
"Fritsch, K. (1899). Beitrag zur flora von Constantinopel. I. Kryptogamen. <em>Denkschriften der kaiserlichen Akademie der Wissenschaften zu Wien Math.</em> 68: 219-250.","Fritsch, K.",1899,Beitrag zur flora von Constantinopel. I. Kryptogamen,,Denkschriften der kaiserlichen Akademie der Wissenschaften zu Wien Math,,,68,,219-250,
"Edwards, M.; John, A.W.G.; Johns, D.G.; Reid, P.C. (2001). Case history and persistence of the non-indigenous diatom Coscinodiscus wailesii in the north-east Atlantic. <em>J. Mar. Biol. Ass. U.K.</em> 81(2): 207-211.","Edwards, M.; John, A.W.G.; Johns, D.G.; Reid, P.C.",2001,Case history and persistence of the non-indigenous diatom Coscinodiscus wailesii in the north-east Atlantic.,,J. Mar. Biol. Ass. U.K.,,,81,2,207-211,
"Wagner, N. (1872). Nouveau groupe d'Annelides. <em>Trudy Obsch.estest St.Petersburg.</em> 3: 344-347, Plate 33, fig.8-11.","Wagner, N.",1872,Nouveau groupe d'Annelides,,Trudy Obsch.estest St.Petersburg,,,3,,"344-347, Plate 33, fig.8-11.",
"Dumont H.J. (1998). The Caspian Lake: History, biota, structure, and function. Limnology and Oceanography, 43, 1, 44-52.","Dumont, H. J.",1998,"The Caspian Lake: History, biota, structure, and function",,Limnology and Oceanography,,,43,1,44-52,
"Böttger-Schnack, R. & R. Huys. (1998). Species groups within the genus Oncaea Philippi, 1843 (Copepoda, Poecilostomatoida). <em>In: Dahms, H.U., T. Glatzel, H.J. Hirche, S. Schiel & H.K. Schminke, (eds.). Proceedings of the 6th International Conference on Copepoda, Journal of Marine Systems, Spec. Vol.</em> 15(1-4): 369-371.","Böttger-Schnack, R. & R. Huys",1998,"Species groups within the genus Oncaea Philippi, 1843 (Copepoda, Poecilostomatoida).",,"In: Dahms, H.U., T. Glatzel, H.J. Hirche, S. Schiel & H.K. Schminke, (eds.). Proceedings of the 6th International Conference on Copepoda, Journal of Marine Systems, Spec. Vol.",,,15,1-4,369-371,10.1016/s0924-7963(97)00072-9
"Manconi, R.; Pronzato, R. (1996). Geographical distribution and systematic position of <i>Sanidastra yokotonensis</i> (Porifera: Spongillidae). <i>In</i>: Willenz, Ph. (Ed.), Recent Advances in Sponge Biodiversity Inventory and Documentation. <em>Bulletin de l'Institut royal des Sciences naturelles de Belgique.</em> 66 (Supplement): 219-225.","Manconi, R.; Pronzato, R.",1996,"Geographical distribution and systematic position of <i>Sanidastra yokotonensis</i> (Porifera: Spongillidae). <i>In</i>: Willenz, Ph. (Ed.), Recent Advances in Sponge Biodiversity Inventory and Documentation",,Bulletin de l’Institut royal des Sciences naturelles de Belgique,,,66,Supplement,219-225,
"Spanier, E.; Goren, M. (1988). An Indo-Pacific trunkfish <i>Tetrosomus gibbosus</i> (Linnaeus): first record of the family Ostracionidae in the Mediterranean. <em>Journal of Fish Biology.</em> 32(5): 797-798.","Spanier, E.; Goren, M.",1988,An Indo-Pacific trunkfish <i>Tetrosomus gibbosus</i> (Linnaeus): first record of the family Ostracionidae in the Mediterranean,,Journal of Fish Biology,,,32,5,797-798,10.1111/j.1095-8649.1988.tb05420.x
