String,Authors,Year,Title,Series,Suffix,DOI
"De Blauwe, H.; Faasse, M. (2001). Extension of the range of the bryozoans Tricellaria inopinata and Bugula simplex in the north-east Atlantic Ocean (Bryozoa: Cheilostomatida). <em>Nederlandse Faunistiche Mededelingen.</em> 14: 103-112.","De Blauwe, H.; Faasse, M.",2001,Extension of the range of the bryozoans Tricellaria inopinata and Bugula simplex in the north-east Atlantic Ocean (Bryozoa: Cheilostomatida),Nederlandse Faunistiche Mededelingen,14: 103-112,
"Sars, G.O. (1877). Nye Bidrag til Kundskaben om Middelhavets Invertebratfauna I. Middelhavets Mysider. <em>Arch. Math. Naturvidenskaberne.</em> 2: 10-119, 36pls.","Sars, G.O.",1877,Nye Bidrag til Kundskaben om Middelhavets Invertebratfauna I. Middelhavets Mysider,Arch. Math. Naturvidenskaberne,"2: 10-119, 36pls",
"Vacelet, J.; Boury-Esnault, N. (2002). A new species of carnivorous deep-sea sponge (Demospongiae: Cladorhizidae) associated with methanotrophic bacteria. <em>Cahiers de Biologie Marine.</em> 43: 141-148.","Vacelet, J.; Boury-Esnault, N.",2002,A new species of carnivorous deep-sea sponge (Demospongiae: Cladorhizidae) associated with methanotrophic bacteria.,Cahiers de Biologie Marine,43: 141-148.,
"Forest, J.; de Saint Laurent, M. (1989). Nouvelle contribution à la connaissance de Neoglyphea inopinata Forest & de Saint Laurent, à propos de la description de la femelle adulte. <em>in: Forest, J. Résultats des Campagnes MUSORSTOM 5. Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie.</em> 144: 75-92.","Forest, J.; de Saint Laurent, M.",1989,"Nouvelle contribution à la connaissance de Neoglyphea inopinata Forest & de Saint Laurent, à propos de la description de la femelle adulte","in: Forest, J. Résultats des Campagnes MUSORSTOM 5. Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie",144: 75-92,
"Sartoni, G.; Boddi, S.; Hass, J. (1995). <i>Chrysonephos lewisii</i> (Sarcinochrysidales, Chrysophyceae), a New Record for the Mediterranean Algal Flora. <em>Botanica Marina.</em> 38(1-6), 121-126.","Sartoni, G.; Boddi, S.; Hass, J.",1995,"<i>Chrysonephos lewisii</i> (Sarcinochrysidales, Chrysophyceae), a New Record for the Mediterranean Algal Flora",Botanica Marina,"38(1-6), 121-126.",10.1515/botm.1995.38.1-6.121
"Daunys, D.; Zemlys, P.; Olenin, S.; Zaiko, A.; Ferrarin, C. (2006). Impact of the zebra mussel Dreissena polymorpha invasion on the budget of suspended material in a shallow lagoon ecosystem. <em>Helgol. Mar. Res.</em> 60(2): 113-120.","Daunys, D.; Zemlys, P.; Olenin, S.; Zaiko, A.; Ferrarin, C.",2006,Impact of the zebra mussel Dreissena polymorpha invasion on the budget of suspended material in a shallow lagoon ecosystem.,Helgol. Mar. Res.,60(2): 113-120,
"Ben Eliahu, M.N. (1995). A list of Polychaeta along the Levant Coast. <em>Haasiana.</em> 1: 78-93.","Ben Eliahu, M.N.",1995,A list of Polychaeta along the Levant Coast,Haasiana,1: 78-93,
"Costello, Mark J.; Claus, S.; Dekeyzer, S.; Vandepitte, L.; Tuama, É. Ó.; Lear, D.; Tyler-Walters, H. (2015). Biological and ecological traits of marine species. <em>PeerJ.</em> 3: e1201.","Costello, Mark J.; Claus, S.; Dekeyzer, S.; Vandepitte, L.; Tuama, É. Ó.; Lear, D.; Tyler-Walters, H.",2015,Biological and ecological traits of marine species,PeerJ,3: e1201,10.7717/peerj.1201
"Dautzenberg, Ph. (1893). Description d'un Mollusque nouveau provenant du Congo français. <em>J. conchyliol.</em> XLI: 166-167, plate VIII.","Dautzenberg, Ph.",1893,Description d'un Mollusque nouveau provenant du Congo français,J. conchyliol.,"XLI: 166-167, plate VIII",
"Renault, T.; Stokes, N. A.; Chollet, B.; Cochennec, N.; Berthe, F.; Gérard, A.; Burreson, E. M. (2000). Haplosporidiosis in the Pacific oyster <i>Crassostrea gigas</i> from the French Atlantic coast. <em>Diseases of Aquatic Organisms.</em> 42: 207-214.","Renault, T.; Stokes, N. A.; Chollet, B.; Cochennec, N.; Berthe, F.; Gérard, A.; Burreson, E. M.",2000,Haplosporidiosis in the Pacific oyster <i>Crassostrea gigas</i> from the French Atlantic coast,Diseases of Aquatic Organisms,42: 207-214,
"Rosso, A.; Di Martino, E.; Sanfilippo, R.; Di Martino, V. (2012). Bryozoan Communities and Thanatocoenoses from Submarine Caves in the Plemmirio Marine Protected Area (SE Sicily). <em>Lecture Notes in Earth System Sciences.</em> 251-269.","Rosso, A.; Di Martino, E.; Sanfilippo, R.; Di Martino, V.",2012,Bryozoan Communities and Thanatocoenoses from Submarine Caves in the Plemmirio Marine Protected Area (SE Sicily),Lecture Notes in Earth System Sciences,251-269,10.1007/978-3-642-16411-8_17
"Sars, G.O. (1886). Crustacea. II. <em>Den Norske Nordhavs-Expedition, 1876-1878 (Norwegian North Atlantic Expedition 1876-1878), Zoology 6.</em> 15: 1-96, figs., map 1.  Grøndahl & Søn: Christiania.","Sars, G. O.",1886,Crustacea. II.,"Den Norske Nordhavs-Expedition, 1876-1878 (Norwegian North Atlantic Expedition 1876-1878), Zoology 6","15: 1-96, figs., map 1.  Grøndahl & Søn: Christiania",
"De Troch, M., F. Fiers & M. Vincx. (2003). Niche segregation and habitat specialisation of harpacticoid copepods in a tropical seagrass bed. <em>Marine Biology.</em> 142:345-355.","De Troch, M., F. Fiers & M. Vincx",2003,Niche segregation and habitat specialisation of harpacticoid copepods in a tropical seagrass bed,Marine Biology,142:345-355,10.1007/s00227-002-0958-7
"Chen, H.-L. (1993). Crustacea Decapoda: Dorippidae of New Caledonia, Indonesia and the Philippines. In: Crosnier, A. (ed.), Résultats des Campagnes MUSORSTOM, vol. 10. <em>Mémoires du Muséum National d'Histoire Naturelle, Paris.</em> 156: 315-345.","Chen, H.-L.",1993,"Crustacea Decapoda: Dorippidae of New Caledonia, Indonesia and the Philippines. In: Crosnier, A. (ed.), Résultats des Campagnes MUSORSTOM, vol. 10","Mémoires du Muséum National d’Histoire Naturelle, Paris",156: 315-345,
"Kato, Tetsuya; Pleijel, Fredrik. (2003). A revision of <i>Paranaitis</i> Southern, 1914 (Polychaeta: Phyllodocidae). <em>Zoological Journal of the Linnean Society.</em> 138(4): 379-429.","Kato, Tetsuya; Pleijel, Fredrik",2003,"A revision of <i>Paranaitis</i> Southern, 1914 (Polychaeta: Phyllodocidae)",Zoological Journal of the Linnean Society,138(4): 379-429,10.1046/j.1096-3642.2003.00069.x
"Breine, J.; Van Thuyne, G. (2014). Opvolging van het visbestand in de Zeeschelde: Viscampagnes 2013. <em>Rapporten van het Instituut voor Natuur- en Bosonderzoek, INBO.R.2014.1413950. Instituut voor Natuur- en Bosonderzoek (INBO): Brussel.</em> 52 pp.","Breine, J.; Van Thuyne, G.",2014,Opvolging van het visbestand in de Zeeschelde: Viscampagnes 2013,"Rapporten van het Instituut voor Natuur- en Bosonderzoek, INBO.R.2014.1413950. Instituut voor Natuur- en Bosonderzoek (INBO): Brussel",52 pp,
"Pillai, N.K. (1961). Additions to the Mysidacea of Kerala. <i>Bull. Centr. Res. Inst. Univ. Kerala, Trivandrum, 8: 15-35</i>.","Pillai, N.K.",1961,Additions to the Mysidacea of Kerala.,"Bull. Centr. Res. Inst. Univ. Kerala, Trivandrum, 8: 15-35",,
"Wiedenmayer, F. (1989). Demospongiae (Porifera) from northern Bass Strait, southern Australia. <em>Memoirs Museum Victoria.</em> 50(1): 1-242, pls 1-38.","Wiedenmayer, F.",1989,"Demospongiae (Porifera) from northern Bass Strait, southern Australia",Memoirs Museum Victoria,"50(1): 1-242, pls 1-38",
"Michaelsen, W. (1896). Die Regenwürmer Ost-Afrikas. in: Mobius, K. Die Thierwelt Ost-Afrikas. <em>Deutsch Ost Afrika.</em> 4(12):1-48.","Michaelsen, W.",1896,"Die Regenwürmer Ost-Afrikas. in: Mobius, K. Die Thierwelt Ost-Afrikas",Deutsch Ost Afrika,4(12):1-48,
"Cottarelli, V., P.E. Saporito & A.C. Puccetti. (1983). Novolaophonte viatorum n. gen., n. sp. (Crustacea, Copepoda, Harpacticoida) di acque interstiziali litorali del Massachusetts. Cahiers de Biologie Marine 24(3):269-279, figs. 1-4. (English and French summaries).","Cottarelli, V., P.E. Saporito & A.C. Puccetti",1983,"Novolaophonte viatorum n. gen., n. sp. (Crustacea, Copepoda, Harpacticoida) di acque interstiziali litorali del Massachusetts.",Cahiers de Biologie Marine,"24(3):269-279, figs. 1-4. (English and French summaries).",
"Hoppenrath, M., Elbrachter, M. and Drebes, G.  2009. Marine Phytoplankton: Selected Microphytoplankton Species from the North Sea around Helgoland and Sylt. Schweizerbart Science Publishers , Stuttgart, Germany, 264 pp","Hoppenrath, M., Elbrächter, M. & Drebes, G.,",2009,Marine Phytoplankton,Schweizerbart'Sche Verlagsbuchhandlung,pp 264.,
"Cristobo, F.J; Urgorri, V. (2001). Revision of the genus <i>Trachytedania</i> (Porifera: Poecilosclerida) with a description of<i>Trachytedania ferrolensis</i> sp.nov. from the north-east Atlantic. <em>Journal of the Marine Biological Association of the United Kingdom.</em> 81: 569-579.","Cristobo, F.J; Urgorri, V.",2001,Revision of the genus <i>Trachytedania</i> (Porifera: Poecilosclerida) with a description of<i>Trachytedania ferrolensis</i> sp.nov. from the north-east Atlantic.,Journal of the Marine Biological Association of the United Kingdom,81: 569-579,
"Bernhauer, M. (1900). Neunte Folge neuer Staphyliniden aus Europa, nebst Bemerkungen. <em>Verh. Zool.-Bot. Ges. Wien.</em> 50:  532-541.","Bernhauer, M.",1900,"Neunte Folge neuer Staphyliniden aus Europa, nebst Bemerkungen",Verh. Zool.-Bot. Ges. Wien,50:  532-541,
"Greville, R.K. (1830). Algae britannicae, or, descriptions of the marine and other inarticulated plants of the British Islands, belonging to the order Algae. <em>Maclachlan & Stewart: Edingburgh, UK.</em> pp. [i*-iii*], [i]-lxxxviii, [1]-218, pl. 1-19.","Greville, R.K.",1830,"Algae britannicae, or, descriptions of the marine and other inarticulated plants of the British Islands, belonging to the order Algae","Maclachlan & Stewart: Edingburgh, UK","pp. [i*-iii*], [i]-lxxxviii, [1]-218, pl. 1-19.",
"Richer de Forges, B. (1990). Les campagnes d'exploration de la faune bathyale dans la zone économique de la Nouvelle-Calédonie = Explorations for bathyal fauna in the New Caledonian economic zone. <em>in: Crosnier, A. (Ed.) Résultats des Campagnes MUSORSTOM 6. Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie.</em> 145, 9-54.","Richer de Forges, B.",1990,Les campagnes d'exploration de la faune bathyale dans la zone économique de la Nouvelle-Calédonie = Explorations for bathyal fauna in the New Caledonian economic zone,"in: Crosnier, A. (Ed.) Résultats des Campagnes MUSORSTOM 6. Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie","145, 9-54",
"Macpherson, E. (1993). Crustacea Decapoda: Species of the genus Munida Leach, 1820 (Galatheidae) collected during the MUSORSTOM and CORINDON cruises in the Philippines and Indonesia. <em>in: Crosnier, A. (Ed.) Résultats des Campagnes MUSORSTOM 10. Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie.</em> 156: 421-442.","Macpherson, E.",1993,"Crustacea Decapoda: Species of the genus Munida Leach, 1820 (Galatheidae) collected during the MUSORSTOM and CORINDON cruises in the Philippines and Indonesia","in: Crosnier, A. (Ed.) Résultats des Campagnes MUSORSTOM 10. Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie",156: 421-442,
"Boxshall, G.A. & R. Huys. (1994). Asterocheres reginae, a new species of parasitic copepod (Siphonostomatoida: Asterocheridae) from a sponge in Belize. <em>Systematic Parasitology.</em> 27(1): 19-33.","Boxshall, G.A. & R. Huys",1994,"Asterocheres reginae, a new species of parasitic copepod (Siphonostomatoida: Asterocheridae) from a sponge in Belize",Systematic Parasitology,27(1): 19-33,10.1007/bf02185665
"Roux, M. (1994). The CALSUB cruise on the bathyal slopes off New Caledonia. <em>in: Crosnier, A. Résultats des Campagnes MUSORSTOM 12. Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie.</em> 161: 9-47.","Roux, M.",1994,The CALSUB cruise on the bathyal slopes off New Caledonia,"in: Crosnier, A. Résultats des Campagnes MUSORSTOM 12. Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie",161: 9-47,
"Thompson, I. C. (1888). Copepoda of Madeira and the Canary Islands, with descriptions of new genera and species. <em>Journal of the Linnean Society, Zoology.</em> 20: 145-156, pls. 10-13.","Thompson, I. C.",1888,"Copepoda of Madeira and the Canary Islands, with descriptions of new genera and species.","Journal of the Linnean Society, Zoology","20: 145-156, pls. 10-13.",
"Schiller, J. (1928). Die planktischen Vegetationen des adriatischen Meeres. C. Dinoflagellata. II Teil. Gymnodiniales. <em>Archiv für Protistenkunde.</em> 62(1): 119-166, pl. 6.","Schiller, J.",1928,Die planktischen Vegetationen des adriatischen Meeres. C. Dinoflagellata. II Teil. Gymnodiniales,Archiv für Protistenkunde,"62(1): 119-166, pl. 6.",
"Llewellyn, J. (1960). Amphibdellid (Monogenean) parasites of electric rays (Torpedinidae). <em>J. Mar. Biol. Ass. U.K.</em> 39: 561-589.","Llewellyn, J.",1960,Amphibdellid (Monogenean) parasites of electric rays (Torpedinidae),J. Mar. Biol. Ass. U.K.,39: 561-589,
"Soetaert, K.; Vincx, M.; Wittoeck, J.; Tulkens, M.; Van Gansbeke, D. (1994). Spatial patterns of Westerschelde meiobenthos. <em>Estuarine, Coastal and Shelf Science.</em> 39:367-388.","Soetaert, K.; Vincx, M.; Wittoeck, J.; Tulkens, M.; Van Gansbeke, D.",1994,Spatial patterns of Westerschelde meiobenthos.,"Estuarine, Coastal and Shelf Science",39:367-388.,10.1006/ecss.1994.1070
"Monterosato, T. A. di. (1878). Enumerazione e sinonimia delle Conchiglie mediterranee. <em>Giornale di Scienze Naturali ed Economiche.</em> 13: 61-115 [December 31st, 1878].","Monterosato, T. A. di",1878,Enumerazione e sinonimia delle Conchiglie mediterranee,Giornale di Scienze Naturali ed Economiche,"13: 61-115 [December 31st, 1878]",
"Beneden, P.J. (1853). Note sur un nouveau genre de Crustacé parasite, Eudactylina. <em>Mémoires de l'Académie Royal des Sciences, des Lettres et des Beaux-Arts de Belgique.</em> 20: 235-239.","Beneden, P.J.",1853,"Note sur un nouveau genre de Crustacé parasite, Eudactylina.","Mémoires de l'Académie Royal des Sciences, des Lettres et des Beaux-Arts de Belgique",20: 235-239,
"Simonini, R. (2002). Distribution and ecology of the genus <i>Ophryotrocha</i> (Polychaeta: Dorvilleidae) in Italian harbours and lagoons. <em>Vie Milieu.</em> 52: 59-65.","Simonini, R.",2002,Distribution and ecology of the genus <i>Ophryotrocha</i> (Polychaeta: Dorvilleidae) in Italian harbours and lagoons,Vie Milieu,52: 59-65,
"Sinis, A. (2005). First record of <i>Tylosurus crocodilus</i> (Peron & Lesueur 1821) (Pisces: Belonidae) in the Mediterranean (North Aegean Sea, Greece). <em>Journal of Biological Research.</em> 4: 221-224.","Sinis, A.",2005,"First record of <i>Tylosurus crocodilus</i> (Peron & Lesueur 1821) (Pisces: Belonidae) in the Mediterranean (North Aegean Sea, Greece)",Journal of Biological Research,4: 221-224,
"Uriz, M.-J.; Rosell, D.; Martin, D. (1992). The sponge population of the Cabrera Archipelago (Balearic Islands): characteristics, distribution and abundance of the most representative species. <em>P.S.Z.N.I.: Marine Ecology.</em> 13(2): 101-117.","Uriz, M.-J.; Rosell, D.; Martin, D.",1992,"The sponge population of the Cabrera Archipelago (Balearic Islands): characteristics, distribution and abundance of the most representative species.",P.S.Z.N.I.: Marine Ecology,13(2): 101-117,
"Leloup, Eugène. (1937). Contributions à l'étude de la faune belge. VIII. Les dégâts causés par le ver polychète <i>Polydora ciliata</i> (Johnston) dans les coquilles des bigorneaux et des huîtres [Contributions to the study of the Belgian fauna: VIII. The damage caused by the worm <i>Polydora ciliata</i> (Johnston) in the shells of periwinkles and oysters]. <em>Bulletin du Musée Royal d'Histoire Naturelle de Belgique / Mededeelingen van het Koninklijk Natuurhistorisch Museum van België.</em> 13(33): 1-4, plate I.","Leloup, Eugène",1937,Contributions à l'étude de la faune belge. VIII. Les dégâts causés par le ver polychète <i>Polydora ciliata</i> (Johnston) dans les coquilles des bigorneaux et des huîtres [Contributions to the study of the Belgian fauna: VIII. The damage caused by the worm <i>Polydora ciliata</i> (Johnston) in the shells of periwinkles and oysters].,Bulletin du Musée Royal d'Histoire Naturelle de Belgique / Mededeelingen van het Koninklijk Natuurhistorisch Museum van België,"13(33): 1-4, plate I",
"Lowry, J. K.; Stoddart, H. E. (1993). Crustacea Amphipoda: Lysianassoids from Philippine and Indonesian waters. <em>in: Crosnier, A. (Ed.) Résultats des Campagnes MUSORSTOM 10. Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie.</em> 156, 55-109.","Lowry, J. K.; Stoddart, H. E.",1993,Crustacea Amphipoda: Lysianassoids from Philippine and Indonesian waters,"in: Crosnier, A. (Ed.) Résultats des Campagnes MUSORSTOM 10. Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie","156, 55-109",
"Anker, A.; Hultgren, K. M.; De Grave, S. (2017). Synalpheus pinkfloydi sp. nov., a new pistol shrimp from the tropical eastern Pacific (Decapoda: Alpheidae). <em>Zootaxa.</em> 4254(1): 111-119.","Anker, A.; Hultgren, K. M.; De Grave, S.",2017,"Synalpheus pinkfloydi sp. nov., a new pistol shrimp from the tropical eastern Pacific (Decapoda: Alpheidae)",Zootaxa,4254(1): 111-119,10.11646/zootaxa.4254.1.7
"Belpaire, C.; De Charleroy, D.; Thomas, K.; Van Damme, P.; Ollevier, F.P. (1989). Effects of eel restocking on the distribution of the swimbladder nematode Anguillicola crassus in Flanders, Belgium. <em>J. Appl. Ichthyol.</em> 5(3): 151-153.","Belpaire, C.; De Charleroy, D.; Thomas, K.; Van Damme, P.; Ollevier, F.P.",1989,"Effects of eel restocking on the distribution of the swimbladder nematode Anguillicola crassus in Flanders, Belgium",J. Appl. Ichthyol.,5(3): 151-153,
"Bourdon, R. (1981). Crustaces Isopodes. I. Bopyridae parasites des Peneides. Resultats des Campagnes MUSORSTOM. I. Philippines (18- 28 mars 1976). <em>Memoires d'ORSTOM.</em> 91: 237-260.","Bourdon, R.",1981,Crustaces Isopodes. I. Bopyridae parasites des Peneides. Resultats des Campagnes MUSORSTOM. I. Philippines (18- 28 mars 1976),Memoires d'ORSTOM,91: 237-260,
"Ax, P. (1960). Turbellarien aus salzdurchtränkten wiesenböden der deutschen Meeresküsten. <em>Zeitschrift für wissenschaftliche Zoologie.</em> 163: 210-235.","Ax, P.",1960,Turbellarien aus salzdurchtränkten wiesenböden der deutschen Meeresküsten,Zeitschrift für wissenschaftliche Zoologie,163: 210-235,
"Gilson, G. (1900). Exploration de la mer sur les côtes de la Belgique en 1899. Mémoires du Musée Royal d'Histoire Naturelle de Belgique = Verhandelingen van het Koninklijk Natuurhistorisch Museum van België, I(2). Polleunis & Ceuterick: Bruxelles. 81, 10 fig., 3 cartes pp.","Gilson, G.",1900,Exploration de la mer sur les côtes de la Belgique en 1899.,Bulletin du Musée Royal d'Histoire Naturelle de la Belgique,"1(2):1-81, pls. 1-3.",
"Heip, C.; Vincx, M.; Vranken, G. (1985). The ecology of marine nematodes. <em>Oceanogr. Mar. Biol. Ann. Rev. 23: 399-489 In: Oceanography and Marine Biology: An Annual Review. Aberdeen University Press/Allen & Unwin: Aberdeen. ISSN 0078-3218.</em>","Heip, C.; Vincx, M.; Vranken, G.",1985,The ecology of marine nematodes,Oceanogr. Mar. Biol. Ann. Rev. 23: 399-489 In: Oceanography and Marine Biology: An Annual Review. Aberdeen University Press/Allen & Unwin: Aberdeen. ISSN 0078-3218,23:399-489,
"Baba, K. (1991). Crustacea Decapoda: Alainius gen. nov., Leiogalathea Baba, 1969, and Phylladiorhynchus Baba, 1969 (Galatheidae) from New Caledonia. <em>in: Crosnier, A. (Ed.) Résultats des Campagnes MUSORSTOM 9. Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie.</em> 152, 479-491.","Baba, K.",1991,"Crustacea Decapoda: Alainius gen. nov., Leiogalathea Baba, 1969, and Phylladiorhynchus Baba, 1969 (Galatheidae) from New Caledonia","in: Crosnier, A. (Ed.) Résultats des Campagnes MUSORSTOM 9. Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie","152, 479-491",
"Van Waerebeek, K.; Reyes, J.C. (1994). Interactions between small Cetaceans and Peruvian fisheries in 1988/89 and analysis of trends. <em>Int. Whal. Commn.</em> Special Issue 15: 495-502.","Van Waerebeek, K.; Reyes, J.C.",1994,Interactions between small Cetaceans and Peruvian fisheries in 1988/89 and analysis of trends.,Int. Whal. Commn.,Special Issue 15: 495-502,
"Hyams, O.; Almogi-Labin, A.; Benjaminia, C. (2002). Larger foraminifera of the southeastern Mediterranean shallow continental shelf off Israel. <em>Israel Journal of Earth Sciences.</em> 51(3-4): 169-179.","Hyams, O.; Almogi-Labin, A.; Benjaminia, C.",2002,Larger foraminifera of the southeastern Mediterranean shallow continental shelf off Israel,Israel Journal of Earth Sciences,51(3-4): 169-179,10.1560/qae1-ktee-2k2l-qpch
"Casanova, J.-P. (1996). Crustacea Mysidacea: Les Lophogastridés d'Indonesie de Nouvelle-Calédonie et des îles Wallis et Futuna. <em>in: Crosnier, A. (Ed.) Résultats des Campagnes MUSORSTOM 15. Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie.</em> 168: 125-146.","Casanova, J.-P.",1996,Crustacea Mysidacea: Les Lophogastridés d'Indonesie de Nouvelle-Calédonie et des îles Wallis et Futuna,"in: Crosnier, A. (Ed.) Résultats des Campagnes MUSORSTOM 15. Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie",168: 125-146,
"Heip, C., O. Hamerlynck, P. Herman, R. Huys, M. Vincx & G. Vranken. (1985). Meiobenthos in the Southern Bight of the North Sea. In: Van Grieken, R. & R. Wollast (eds.). Progress in Belgian Oceanographic Research: Proceedings of a symposium held at the Palace of Academies, Brussels, 3-5 March 1985. University of Antwerp (UIA), Antwerp, Belgium. Pp. 264-266.","Heip, C., O. Hamerlynck, P. Herman, R. Huys, M. Vincx & G. Vranken",1985,Meiobenthos in the Southern Bight of the North Sea.,"In: Van Grieken R. & R. Wollast (eds.). Progress in Belgian Oceanographic Research. Royal Academy of Science, Brussels.",Pp. 264-266.,
"Gaino, E. (1980). Indagine ultrastrutturale sugli ovociti maturi di <i>Chondrilla nucula</i> Schmidt (Porifera, Demospongiae). <em>Cahiers de Biologie Marine.</em> 21 (1): 11-22, pls I-IV.","Gaino, E.",1980,"Indagine ultrastrutturale sugli ovociti maturi di <i>Chondrilla nucula</i> Schmidt (Porifera, Demospongiae).",Cahiers de Biologie Marine,"21 (1): 11-22, pls I-IV.",
"McLay, C.L. (2006). Retroplumidae (Crustacea, Decapoda) from the Indo-Malayan archipelago (Indonesia, Philippine) and the Melanesian arc islands (Solomon Islands, Fiji and New Caledonia), and paleogeographical comments. <em>in: Richer de Forges, B. et al. (Ed.) Tropical Deep-Sea Benthos 24. Mémoires du Muséum national d'Histoire naturelle (1993).</em> 193: 375-391.","McLay, C.L.",2006,"Retroplumidae (Crustacea, Decapoda) from the Indo-Malayan archipelago (Indonesia, Philippine) and the Melanesian arc islands (Solomon Islands, Fiji and New Caledonia), and paleogeographical comments","in: Richer de Forges, B. et al. (Ed.) Tropical Deep-Sea Benthos 24. Mémoires du Muséum national d'Histoire naturelle (1993)",193: 375-391,
"Rosenvinge, L. K. (1924). The marine algae of Denmark. Contributions to their natural history. Part III. Rhodophyceae III. (Ceramiales). <em>Kongelige Danske Videnskabernes Selskabs Skrifter Naturvidenskabelig og Mathematisk Afdeling.</em> 7(3): [Figs. 202-453, Plates V-VII, 2 maps]; 285-487.","Rosenvinge, L. K.",1924,The marine algae of Denmark. Contributions to their natural history. Part III. Rhodophyceae III. (Ceramiales).,Kongelige Danske Videnskabernes Selskabs Skrifter Naturvidenskabelig og Mathematisk Afdeling,"7(3): [Figs. 202-453, Plates V-VII, 2 maps]; 285-487",
"Kuwahara, A.; Niimi, A.; Itakaki, H. (1974). Studies on a nematode parasitic in the air bladder of the eel. 1. Description of Anguillicola crassa n. sp. (Philometridea, Anguillicolidae). <em>Japanese Journal of Parasitology.</em> 23 (5): 275-279, fig., tab. [Japanese summary].","Kuwahara, A.; Niimi, A.; Itakaki, H.",1974,"Studies on a nematode parasitic in the air bladder of the eel. 1. Description of Anguillicola crassa n. sp. (Philometridea, Anguillicolidae)",Japanese Journal of Parasitology,"23 (5): 275-279, fig., tab. [Japanese summary]",
"Huys, R. (1991). The meiobenthos of the North Sea. Final report. <em>Delta Institute for Hydrobiological Research: Yerseke.</em>","Huys, R.",1991,The meiobenthos of the North Sea. Final report.,Delta Institute for Hydrobiological Research: Yerseke.,,
"Cooke, M.C.; Quélet, L. (1878). Clavis synoptica mymenomycetum Europaeorum. <em>London.</em> 240pp.","Cooke, M.C.; Quélet, L.",1878,Clavis synoptica mymenomycetum Europaeorum,London.,240pp.,
"Obura, D. O.; Church, J. E.; Gabrié, C. (2012). Assessing Marine World Heritage from an Ecosystem Perspective: The Western Indian Ocean. <em>World Heritage Centre, United Nations Education, Science and Cultural Organization. Science and Cultural Organization (UNESCO).</em> 124.","Obura, D. O.; Church, J. E.; Gabrié, C.",2012,Assessing Marine World Heritage from an Ecosystem Perspective: The Western Indian Ocean,"World Heritage Centre, United Nations Education, Science and Cultural Organization. Science and Cultural Organization (UNESCO)",124,
"Lowry, J.K.; Stoddart, H.E. (1993). The <i>Onisimus</i> problem (Amphipoda, Lysianassoidea, Uristidae). <em>Zoologica Scripta.</em> 22(2): 167-181.","Lowry, J.K.; Stoddart, H.E.",1993,"The <i>Onisimus</i> problem (Amphipoda, Lysianassoidea, Uristidae).",Zoologica Scripta,22(2): 167-181,
"Heiner, I.; Boesgaard, T. M.; Kristensen, R. M. (2009). First time discovery of Loricifera from Australian waters and marine caves. <em>Marine Biology Research.</em> 5(6): 529-546.","Heiner, I.; Boesgaard, T. M.; Kristensen, R. M.",2009,First time discovery of Loricifera from Australian waters and marine caves,Marine Biology Research,5(6): 529-546,10.1080/17451000902933009
"Vadon, C. (1991). Echinodermata: Ophiuridae profonds de Nouvelle-Calédonie. Formes paedomorphes. <em>Résultats des Campagnes MUSORSTOM, Vol. 8. Mém. Mus. natn. Hist. nat. (A).</em> 151, 335-356.","Vadon, C.",1991,Echinodermata: Ophiuridae profonds de Nouvelle-Calédonie. Formes paedomorphes,"Résultats des Campagnes MUSORSTOM, Vol. 8. Mém. Mus. natn. Hist. nat. (A)","151, 335-356",
"Brian, A. (1906). Copepodi parassiti dei Pesci d'Italia. Stab. Tipo-Litografico R. Istituto Sordomuti, Genova 1-187, figs. 1-4, pls. 1-21.","Brian, A.",1906,Copepodi parassiti dei Pesci d'Italia.,"Stab. Tipo-Litografico R. Istituto Sordomuti, Genova","1-191, figs. 1-4, pls. 1-21. SIL q QL444 .C7B7Z",
"Poore, G. C. B. (1991). Crustacea Isopoda: Deep-sea Chaetiliidae (Valvifera) from New Caledonia and the Philippines. <em>in: Crosnier, A. (Ed.) Résultats des Campagnes MUSORSTOM 9. Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie.</em> 152: 139-153.","Poore, G. C. B.",1991,Crustacea Isopoda: Deep-sea Chaetiliidae (Valvifera) from New Caledonia and the Philippines,"in: Crosnier, A. (Ed.) Résultats des Campagnes MUSORSTOM 9. Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie",152: 139-153,
