String,Author,Year,Title,Book,Journal,Volume,Issue,Pagination
"Ben-Tuvia, A. (1953). Mediterranean fishes of Israel. <em>Bulletin of the Sea Fisheries Research Station, Haifa.</em> 8: 1-40.","Ben-Tuvia, A.",1953,Mediterranean fishes of Israel,,"Bulletin of the Sea Fisheries Research Station, Haifa",8,,Jan-40
"Ben-Tuvia, A. (1955). Two Indo-Pacific fishes, <i>Dasayatis uarnak</i> and <i>Upeneus moluccensis</i> in the eastern Mediterranean. <em>Nature, London.</em> 176: 1177-1178.","Ben-Tuvia, A.",1955,"Two Indo-Pacific fishes, <i>Dasayatis uarnak</i> and <i>Upeneus moluccensis</i> in the eastern Mediterranean",,"Nature, London",176,,1177-1178
"Ben-Tuvia, A. (1983). An Indo-Pacific goby <i>Oxyurichthys papuensis</i> in the Eastern Mediterranean. <em>Israel Journal of Zoology.</em> 32: 37-43.","Ben-Tuvia, A.",1983,An Indo-Pacific goby <i>Oxyurichthys papuensis</i> in the Eastern Mediterranean,,Israel Journal of Zoology,32,,37-43
"Ben-Tuvia, T. (1993). A review of the Indo-west Pacific congrid fishes of genera <i>Rhynchoconger</i> and <i>Bathycongrus</i> with the description of three new species. <em>Israel Journal of Zoology.</em> 39 (4): 349-370.","Ben-Tuvia, T.",1993,A review of the Indo-west Pacific congrid fishes of genera <i>Rhynchoconger</i> and <i>Bathycongrus</i> with the description of three new species.,,Israel Journal of Zoology,39,4,349-370
"Beneden, E. van & E. Bessels. (1889). Mémoire sur la formation du blastoderme chez les Amphipodes, les Lernéens et les Copépodes. <em>Mémoires Couronnés et Mémoires des Savants Etrangers, publiés par l'Académie Royale des Sciences, des Lettres, et des Beaux-Arts de Belgique.</em> 34(4):1-59 pp., 5 pls.","Beneden, E. van & E. Bessels",1889,"Mémoire sur la formation du blastoderme chez les Amphipodes, les Lernéens et les Copépodes.",,"Mémoires Couronnés et Mémoires des Savants Etrangers, publiés par l'Académie Royale des Sciences, des Lettres, et des Beaux-Arts de Belgique",34,,"1-59 pp., 5 pls."
"Beneden, E. van. (1880). 1. De l'existance d'un appareil vasculaire à sang rouge dans quelques Crustacés. <em>Zoologischer Anzeiger.</em> 3(47/48):35-39, 55-60. (26-i-1880; 9-ii-1880).","Beneden, E. van",1880,1. De l'existance d'un appareil vasculaire à sang rouge dans quelques Crustacés.,,Zoologischer Anzeiger,3,47/48,"35-39, 55-60. (26-i-1880; 9-ii-1880)"
"Beneden, P.J. van. (1846). Mémoire sur l'embryogénie, l'anatomie et la physiologie des Ascidies simples. <em>Bull. Acad. R. Sci. Lett. B.-Arts Belg.</em> 13(2): (1-11).","Beneden, P.J. van",1846,"Mémoire sur l'embryogénie, l'anatomie et la physiologie des Ascidies simples",,Bull. Acad. R. Sci. Lett. B.-Arts Belg.,13,2,(1-11)
"Benwell, M. P. (1981). A New Species of Gonionchus (Nematoda: Xyalidae) from the Firth of Clyde, with a Redescription of Enoploides spiculohamatus Schulz (Nematoda: Enoplidae). <em>Cahiers de Biologie Marine.</em> 22: 177-183.","Benwell, M. P.",1981,"A New Species of Gonionchus (Nematoda: Xyalidae) from the Firth of Clyde, with a Redescription of Enoploides spiculohamatus Schulz (Nematoda: Enoplidae)",,Cahiers de Biologie Marine,22,,177-183
"Berg, M. (1977). Pink salmon, <i>Onchorhynchus gorbuscha</i> (Walbaum) in Norway. <em>Inst. Freshw. Res. Drottningholm.</em> 56: 12-17.","Berg, M.",1977,"Pink salmon, <i>Onchorhynchus gorbuscha</i> (Walbaum) in Norway",,Inst. Freshw. Res. Drottningholm,56,,Dec-17
"Berge, J.; De Broyer, C.; Vader, W. (2000). Revision of the Antarctic and sub-Antarctic species of the family Stegocephalidae (Crustacea: Amphipoda) with description of two new species. <em>Bulletin de l'Institut Royal des Sciences Naturelles de Belgique: Biologie.</em> 70: 217-233; figs. 1-5.","Berge, J.; De Broyer, C.; Vader, W.",2000,Revision of the Antarctic and sub-Antarctic species of the family Stegocephalidae (Crustacea: Amphipoda) with description of two new species.,,Bulletin de l'Institut Royal des Sciences Naturelles de Belgique: Biologie.,70,,217-233; figs. 1-5
"Berge, J.; Vader, W.; Galan, A. (2001). Type material of Stegocephalidae Dana, 1855 (Crustacea, Amphipoda) in the collections of the Natural History Museaum, London, including the description of seven new species. <em>Bull. nat. Hist. Mus. Lond. (Zool.).</em> 67(2): 109-136.","Berge, J.; Vader, W.; Galan, A.",2001,"Type material of Stegocephalidae Dana, 1855 (Crustacea, Amphipoda) in the collections of the Natural History Museaum, London, including the description of seven new species",,Bull. nat. Hist. Mus. Lond. (Zool.),67,2,109-136
"Bergmans, W. (1991). Mollusca Bivalvia : Archibenthal Nuculidae off New Caledonia. <em>in: Crosnier, A. et al. (Ed.) Résultats des Campagnes MUSORSTOM 7. Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie.</em> 150: 29-40.","Bergmans, W.",1991,Mollusca Bivalvia : Archibenthal Nuculidae off New Caledonia.,Résultats des Campagnes MUSORSTOM 7,"Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie",150,,29-40
"Bergquist, P.R.; Hogg, J.J. (1969). Free amino acid patterns in demospongiae: a biochemical approach to sponge classification. <em>Cahiers de Biologie Marine.</em> 10 (2): 205-220, 1 plate.","Bergquist, P.R.; Hogg, J.J.",1969,Free amino acid patterns in demospongiae: a biochemical approach to sponge classification,,Cahiers de Biologie Marine,10,2,"205-220, 1 plate"
"Bernhauer, M. (1900). Neunte Folge neuer Staphyliniden aus Europa, nebst Bemerkungen. <em>Verh. Zool.-Bot. Ges. Wien.</em> 50:  532-541.","Bernhauer, M.",1900,"Neunte Folge neuer Staphyliniden aus Europa, nebst Bemerkungen",,Verh. Zool.-Bot. Ges. Wien,50,,532-541
"Berry, P.F. (1979). A new species of deep-water palinurid lobster (Crustacea, Decapoda, Palinuridae) from the East coast of southern Africa. <em>Annals of the South African Museum.</em> 78: 93-100.","Berry, P.F.",1979,"A new species of deep-water palinurid lobster (Crustacea, Decapoda, Palinuridae) from the East coast of southern Africa",,Annals of the South African Museum,78,,93-100
"Beu A.G. (1998). Résultats des Campagnes MUSORSTOM: 19. Indo-West Pacific Ranellidae, Bursidae and Personidae (Mollusca: Gastropoda), a monograph of the New Caledonian fauna and revisions of related taxa. <em>Mémoires du Muséum National d'Histoire Naturelle.</em> 178: 1-255.",Beu A.G.,1998,"Résultats des Campagnes MUSORSTOM: 19. Indo-West Pacific Ranellidae, Bursidae and Personidae (Mollusca: Gastropoda), a monograph of the New Caledonian fauna and revisions of related taxa",,Mémoires du Muséum National d'Histoire Naturelle,178,,1-255
"Beu, A. G. (2008). Recent deep-water Cassidae of the world. A revision of Galeodea, Oocorys, Sconsia, Echinophoria and related taxa, with new genera and species (Mollusca, Gastropoda). <em>in: Héros, V. et al. (Ed.) Tropical Deep-Sea Benthos 25. Mémoires du Muséum national d'Histoire naturelle (1993).</em> 196: 269-387.","Beu, A. G.",2008,"Recent deep-water Cassidae of the world. A revision of Galeodea, Oocorys, Sconsia, Echinophoria and related taxa, with new genera and species (Mollusca, Gastropoda)",Tropical Deep-Sea Benthos 25,Mémoires du Muséum national d'Histoire naturelle (1993),196,,269-387
"Beyrem, H.; Aissa, P. (2000). Les nématodes libres, organismes-sentinelles de l'évolution des concentrations d'hydrocarbures dans la baie de Bizerte (Tunisie). <em>Cah. Biol. Mar.</em> 41(3), 329-342.","Beyrem, H.; Aissa, P.",2000,"Les nématodes libres, organismes-sentinelles de l'évolution des concentrations d'hydrocarbures dans la baie de Bizerte (Tunisie)",,Cah. Biol. Mar.,41,3,329-342
"Bezerra, T. N.; Pape, E.; Hauquier, F; Vanreusel, A.; Ingels, J. (2013). New genus and two new species of the family Ethmolaimidae (Nematoda: Chromadorida), found in two different cold-seep environments. <em>Zootaxa.</em> 3692(1): 7.","Bezerra, T. N.; Pape, E.; Hauquier, F; Vanreusel, A.; Ingels, J.",2013,"New genus and two new species of the family Ethmolaimidae (Nematoda: Chromadorida), found in two different cold-seep environments",,Zootaxa,3692,1,7
"Bezerra, T. N.; Smol, N.; Vincx, M. (2014). Two new species of Rhynchonema Cobb, 1920 from a Brazilian sandy beach. <em>Marine Biodiversity.</em> 44(3): 343-365.","Bezerra, T. N.; Smol, N.; Vincx, M.",2014,"Two new species of Rhynchonema Cobb, 1920 from a Brazilian sandy beach",,Marine Biodiversity,44,3,343-365
"Bick, A. (2005). Redescription of <i>Fabriciola tonerella</i> Banse, 1959, and a new record of <i>Novafabricia infratorquata</i> (Fitzhugh, 1983) from the Mediterranean Sea, with a key for the Fabriciinae (Annelida: Polychaeta) of the Mediterranean Sea and the north-east Atlantic. <em>Zoologischer Anzeiger - A Journal of Comparative Zoology.</em> 244(2): 137-152.","Bick, A.",2005,"Redescription of <i>Fabriciola tonerella</i> Banse, 1959, and a new record of <i>Novafabricia infratorquata</i> (Fitzhugh, 1983) from the Mediterranean Sea, with a key for the Fabriciinae (Annelida: Polychaeta) of the Mediterranean Sea and the north-east Atlantic",,Zoologischer Anzeiger - A Journal of Comparative Zoology,244,2,137-152
"Bieler, R. (1995). Mathildidae from New Caledonia and the Loyalty Islands (Gastropoda: Heterobranchia). <em>in: Bouchet, P. (Ed.) Résultats des Campagnes MUSORSTOM 14. Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie.</em> 167: 595-641.","Bieler, R.",1995,Mathildidae from New Caledonia and the Loyalty Islands (Gastropoda: Heterobranchia),Résultats des Campagnes MUSORSTOM 14,"Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie",167,,595-641
"Billard, C. (1992). <i>Fibrocapsa japonica</i> (Raphidophyceae), algue planctonique nouvelle pour les côtes de France. <em>Cryptogamie Algologie.</em> 13: 225-231.","Billard, C.",1992,"<i>Fibrocapsa japonica</i> (Raphidophyceae), algue planctonique nouvelle pour les côtes de France",,Cryptogamie Algologie,13,,225-231
"Bird, G.J. (2001). Tanaidacea. In: Costello, M.J., C.S. Emblow, & R. White (eds.), European Register of Marine Species. A Check-List of the Marine Species in Europe and a Bibliography of Guides to Their Identification. <em>Patrimoines Naturels.</em> 50: 310-315.","Bird, G.J.",2001,Tanaidacea,European Register of Marine Species. A Check-List of the Marine Species in Europe and a Bibliography of Guides to Their Identification,Patrimoines Naturels,50,,310-315
"Bishop, J. D. D.; Hayward, P. J. (1989). SEM Atlas of type and figured material from Robert Lagaaij's 'The Pliocene bryozoa of the Low Countries. <em>Meded. (Rijks Geol. Dienst).</em> 43: 1-64.","Bishop, J. D. D.; Hayward, P. J.",1989,SEM Atlas of type and figured material from Robert Lagaaij's 'The Pliocene bryozoa of the Low Countries,,Meded. (Rijks Geol. Dienst),43,,Jan-64
"Bishop, J. D. D.; Househam, B. C. (1987). Puellina (Bryozoa; Cheilostomatida; Cribrilinidae) from British and adjacent waters. <em>Bulletin of the British Museum (Natural History), Zoology.</em> 53: 1-63.","Bishop, J. D. D.; Househam, B. C.",1987,Puellina (Bryozoa; Cheilostomatida; Cribrilinidae) from British and adjacent waters,,"Bulletin of the British Museum (Natural History), Zoology",53,,Jan-63
"Bishop, M. W. H. (1947). Establishment of an Immigrant Barnacle in British Coastal Waters. <em>Nature.</em> 159(4041): 501-502.","Bishop, M. W. H.",1947,Establishment of an Immigrant Barnacle in British Coastal Waters,,Nature,159,4041,501-502
"Bitar, G.; Dupuy de la Grandrive, R.; Foulquie, M.; Verlaque, M. (2005). <i>Neomeris annulata</i> Dickie (Dasycladales, Chlorophyceae): a potential new invader from the Red Sea to the Mediterranean Sea. <em>Cryptogamie. Algologie.</em> 26(3): 309-317.","Bitar, G.; Dupuy de la Grandrive, R.; Foulquie, M.; Verlaque, M.",2005,"<i>Neomeris annulata</i> Dickie (Dasycladales, Chlorophyceae): a potential new invader from the Red Sea to the Mediterranean Sea",,Cryptogamie. Algologie,26,3,309-317
"Bitar, G.; Kouli-Bitar, S. (2001). Nouvelles données sur la faune et la flore benthique de la côte Libanaise. Migration Lessepsienne. <em>Thalassia Salentina.</em> 25: 71-74.","Bitar, G.; Kouli-Bitar, S.",2001,Nouvelles données sur la faune et la flore benthique de la côte Libanaise. Migration Lessepsienne.,,Thalassia Salentina,25,,71-74
Bitlis B. & Öztürk B. (2017). The genus <i>Alvania</i> (Gastropoda: Rissoidae) along the Turkish Aegean coast with the description of a new species. <em>Scientia Marina.</em> 81(3): 395-411.,Bitlis B. & Öztürk B.,2017,The genus <i>Alvania</i> (Gastropoda: Rissoidae) along the Turkish Aegean coast with the description of a new species,,Scientia Marina,81,3,395-411
"Bitner, M. A. (2006). Recent Brachiopoda from the Fiji and Wallis and Futuna Islands, South-West Pacific. <em>in: Richer de Forges, B. et al. (Ed.) Tropical Deep-Sea Benthos 24. Mémoires du Muséum national d'Histoire naturelle (1993).</em> 193: 15-32.","Bitner, M. A.",2006,"Recent Brachiopoda from the Fiji and Wallis and Futuna Islands, South-West Pacific",Tropical Deep-Sea Benthos 24,Mémoires du Muséum national d'Histoire naturelle (1993),193,,15-32
"Blanco, S. (2011). Neodetonia nom. nov., a replacement name for Detonia Frenguelli (Bacillariophyceae). Phycologia 50(3): 327.","Blanco, S.",2011,"Neodetonia nom. nov., a replacement name for Detonia Frenguelli (Bacillariophyceae)",,Phycologia,50,3,327
"Bliding, C. (1948). <i>Enteromorpha kylini</i>, eine neue Art aus der schwedischen Westküste. Kungl. <em>Fysiografiska Sällskapets i Lund Förhandlingar.</em> 18: 199-204 (6 as separate paper).","Bliding, C.",1948,"<i>Enteromorpha kylini</i>, eine neue Art aus der schwedischen Westküste. Kungl",,Fysiografiska Sällskapets i Lund Förhandlingar,18,14,199-204
"Bliding, C. (1963). A critical survey of European taxa in Ulvales. <em>Part I. Capsosiphon, Percursaria, Blidingia, Enteromorpha. Opera Botanica.</em> 8(3): 1-160.","Bliding, C.",1963,A critical survey of European taxa in Ulvales,,"Part I. Capsosiphon, Percursaria, Blidingia, Enteromorpha. Opera Botanica",8,3,1-160
"Blome, D. (1974). Zur systematik von Nematoden aus dem Sandstrand der Nordseeinsel Sylt. <em>Mikrofauna Meeresbodens.</em> 33: 77-99.","Blome, D.",1974,Zur systematik von Nematoden aus dem Sandstrand der Nordseeinsel Sylt,,Mikrofauna Meeresbodens,33,,77-99
"Blome, D. (1982). Systematik der Nematoda eines Sandstrandes der Nordseeinsel Sylt. <em>Mikrofauna des Meeresbodens.</em> 86: 1-194.","Blome, D.",1982,Systematik der Nematoda eines Sandstrandes der Nordseeinsel Sylt,,Mikrofauna des Meeresbodens,86,,1-194
"Bodganos, C.; Satmatdis, J. (1985). The benthic fauna of different soft substrata in the Pagasitikos Gulf (Greece). <em>Thalassographica.</em> 8: 43-69.","Bodganos, C.; Satmatdis, J.",1985,The benthic fauna of different soft substrata in the Pagasitikos Gulf (Greece),,Thalassographica,8,,43-69
"Bodin, P. (1970). Copépodes Harpacticoides marins des environs de La Rochelle. 1. Espèces de la vase intertidale de Chatelaillon. <em>Téthys.</em> 2 (2): 385-436. Pls. 1-33. Tabs. A, B.","Bodin, P.",1970,Copépodes Harpacticoides marins des environs de La Rochelle. 1. Espèces de la vase intertidale de Chatelaillon,,Téthys,2,2,"385-436. Pls. 1-33. Tabs. A, B"
"Bodin, P. (1997). Catalogue of the new marine Harpacticoid Copepods. <em>Studiedocumenten van het K.B.I.N. = Documents de Travail de l'I.R.Sc.N.B., 89. Koninklijk Belgisch Instituut voor Natuurwetenschappen: Brussels, Belgium.</em> 89: 1-304.","Bodin, P.",1997,Catalogue of the new marine Harpacticoid Copepods.,,"Studiedocumenten van het K.B.I.N. = Documents de Travail de l'I.R.Sc.N.B., 89. Koninklijk Belgisch Instituut voor Natuurwetenschappen: Brussels, Belgium",89,,1-304
"Boets, P.; Lock, K.; Goethals, P. L. M. (2010). Using long-term monitoring to investigate the changes in species composition in the harbour of Ghent (Belgium). <em>Hydrobiologia.</em> 663(1): 155-166.","Boets, P.; Lock, K.; Goethals, P. L. M.",2010,Using long-term monitoring to investigate the changes in species composition in the harbour of Ghent (Belgium),,Hydrobiologia,663,1,155-166
"Boets, P.; Lock, K.; Goethals, P. L. M. (2011). Assessing the importance of alien macro-Crustacea (Malacostraca) within macroinvertebrate assemblages in Belgian coastal harbours. <em>Helgoland Marine Research.</em> 66(2): 175-187.","Boets, P.; Lock, K.; Goethals, P. L. M.",2011,Assessing the importance of alien macro-Crustacea (Malacostraca) within macroinvertebrate assemblages in Belgian coastal harbours,,Helgoland Marine Research,66,2,175-187
"Bogdanos, C.; Satsmadjis, J. (1983). The macrozoobenthos of an Aegean embayment. <em>Thalassographica.</em> 6: 77-105.","Bogdanos, C.; Satsmadjis, J.",1983,The macrozoobenthos of an Aegean embayment,,Thalassographica,6,,77-105
"Bogdanos, C.; Satsmadjis, J. (1985). The benthic fauna of different soft substrata in the Pagassitikos Gulf (Greece). <em>Thalassographica.</em> 8: 43-69.","Bogdanos, C.; Satsmadjis, J.",1985,The benthic fauna of different soft substrata in the Pagassitikos Gulf (Greece).,,Thalassographica,8,,43-69
"Bogi, C.; Buzzurro, G.; Greppi, E. (1995). Presenza di <i>Murchisonella columna</i> (Hedley, 1970) nel Mediterraneo orientale. <em>Bollettino Malacologico.</em> 31(1-4):  69-76.","Bogi, C.; Buzzurro, G.; Greppi, E.",1995,"Presenza di <i>Murchisonella columna</i> (Hedley, 1970) nel Mediterraneo orientale",,Bollettino Malacologico,31,01-Apr,69-76
"Bogi, C.; Coppini, M.; Margelli, A. (1984). Ritrovamento nel Mediterraneo di Rissoina cfr spirata (Sowerby, 1820). <em>Bollettino Malacologico.</em> 20(1-4): 101-104.","Bogi, C.; Coppini, M.; Margelli, A.",1984,"Ritrovamento nel Mediterraneo di Rissoina cfr spirata (Sowerby, 1820)",,Bollettino Malacologico,20,01-Apr,101-104
"Bogi, C.; Galil, B. S. (1999). New findings along the Israeli coast. <em>La Conchiglia.</em> 31(292): 22-29.","Bogi, C.; Galil, B. S.",1999,New findings along the Israeli coast,,La Conchiglia,31,292,22-29
"Bogi, C.; Giannini, F. (1990). Notes on a few molluscs, found in the Mediterranean Sea. <em>La Conchiglia.</em> 22: 256-48.","Bogi, C.; Giannini, F.",1990,"Notes on a few molluscs, found in the Mediterranean Sea",,La Conchiglia,22,256,48
"Boie, S. (1822). Ornithologische Beyträge. <em>Isis von Oken.</em> 3: 768-781; 871-886.","Boie, S.",1822,Ornithologische Beyträge.,,Isis von Oken,3,,768-781; 871-886
"Bokn, T.; Lein, T. E. (1978). Long-term changes in fucoid association of the inner Oslofjord, Norway. <em>Norwegian Journal of Botany.</em> 25: 9-14.","Bokn, T.; Lein, T. E.",1978,"Long-term changes in fucoid association of the inner Oslofjord, Norway",,Norwegian Journal of Botany,25,,Sep-14
"Boltachev, A. R.; Astakhov, D. A. (2004). An Unusual Finding of Pennant Coralfish <i>Heniochus acuminatus</i> (Chaetodontidae) in Balaklava Bay Sevastopol Southwestern Crimea. <em>Voprosy Ichtiologii.</em> 44(6): 853-854.","Boltachev, A. R.; Astakhov, D. A.",2004,An Unusual Finding of Pennant Coralfish <i>Heniochus acuminatus</i> (Chaetodontidae) in Balaklava Bay Sevastopol Southwestern Crimea,,Voprosy Ichtiologii,44,6,798-799
"Bon, M. (1970). Flore héliophile des macromycètes de la zone maritime picarde. <em>Bulletin de la Société Mycologique de France.</em> 86(1):79-213.","Bon, M.",1970,Flore héliophile des macromycètes de la zone maritime picarde,,Bulletin de la Société Mycologique de France,86,1,79-213
"Bon, M. (1979). Novitates - Taxons nouveaux. <em>Documents Mycologiques.</em> 10(37-38): 89-92.","Bon, M.",1979,Novitates - Taxons nouveaux,,Documents Mycologiques,10,37-38,89-92
"Bon, M. (1980). Agaricales rares ou nouvelles de la Zone Maritime Picarde. <em>Bulletin de la Société Mycologique de France.</em> 96: 155-174.","Bon, M.",1980,Agaricales rares ou nouvelles de la Zone Maritime Picarde.,,Bulletin de la Société Mycologique de France,96,2,155-174
"Bonne, W.; Vincx, M. (2003). Diversity of benthic copepods in a dynamic but intensively exploited marine environment. <em>In: Heip, C.H.R. et al. (eds.) Biodiversity of coastal marine ecosystems pattern and process: a Euroconference, Corinth, Greece, 5-10 May 2001.</em> 31-33.","Bonne, W.; Vincx, M.",2003,Diversity of benthic copepods in a dynamic but intensively exploited marine environment,"Biodiversity of coastal marine ecosystems pattern and process: a Euroconference, Corinth, Greece, 5-10 May 2001",,,,31-33
"Boone, M.; Claeys, M.; Borgonie, G.; Artois, T. J. (2009). Morphological studies on Nemertodermatida sampled in the Belgian part of the North Sea. <em>In: Mees, J.; Seys, J. (Ed.) (2009). VLIZ Young Scientists' Day, Brugge, Belgium 6 March 2009: book of abstracts. VLIZ Special Publication.</em> 41: pp. 26.","Boone, M.; Claeys, M.; Borgonie, G.; Artois, T. J.",2009,Morphological studies on Nemertodermatida sampled in the Belgian part of the North Sea,"VLIZ Young Scientists' Day, Brugge, Belgium 6 March 2009: book of abstracts",VLIZ Special Publication,41,,26
"Borojevic, R.; Boury-Esnault, N.; Vacelet, J. (2000). A revision of the supraspecific classification of the subclass Calcaronea (Porifera, class Calcarea). <em>Zoosystema.</em> 22(2): 203-263.","Borojevic, R.; Boury-Esnault, N.; Vacelet, J.",2000,"A revision of the supraspecific classification of the subclass Calcaronea (Porifera, class Calcarea).",,Zoosystema,22,2,203-263
"Botosaneanu, L. and Iliffe, T. M. (1999) On four new stygobitic cirolanids (Isopoda: Cirolanidae) and several already described species from Mexico and the Bahamas. Bulletin de l'Institut Royal des Sciences Naturelles de Belgique, Biologie, 69: 93-123.","Botosaneanu, L.; Iliffe, T. M.",1999,On four new stygobitic cirolanids (Isopoda: Cirolanidae) and several already described species from Mexico and the Bahamas. Bulletin de l'Institut,,"Royal des Sciences Naturelles de Belgique, Biologie",69,,93-123
"Böttger-Schnack, R. & R. Huys. (1997). Archioncaea arabica gen. et sp. nov., a remarkable oncaeid (Copepoda: Poecilostomatoida) from the northern Arabian Sea. Cahiers de Biologie Marine 38:79-89.","Böttger-Schnack, R. & R. Huys",1997,"Archioncaea arabica gen. et sp. nov., a remarkable oncaeid (Copepoda: Poecilostomatoida) from the northern Arabian Sea.",,Cahiers de Biologie Marine,38,,79-89
"Böttger-Schnack, R. & R. Huys. (1997). Morphological observations on Oncaea mediterranea (Claus, 1863) (Copepoda, Poecilostomatoida) with a comparison of Red Sea and eastern Mediterranean populations. Bulletin of the Natural History Museum, London, Zoology 63(2):137-147.","Böttger-Schnack, R. & R. Huys",1997,"Morphological observations on Oncaea mediterranea (Claus, 1863) (Copepoda, Poecilostomatoida) with a comparison of Red Sea and eastern Mediterranean populations.",,"Bulletin of the Natural History Museum, London, Zoology",63,2,137-147
"Böttger-Schnack, R. & R. Huys. (1998). Species groups within the genus Oncaea Philippi, 1843 (Copepoda, Poecilostomatoida). <em>In: Dahms, H.U., T. Glatzel, H.J. Hirche, S. Schiel & H.K. Schminke, (eds.). Proceedings of the 6th International Conference on Copepoda, Journal of Marine Systems, Spec. Vol.</em> 15(1-4): 369-371.","Böttger-Schnack, R. & R. Huys",1998,"Species groups within the genus Oncaea Philippi, 1843 (Copepoda, Poecilostomatoida).",,"In: Dahms, H.U., T. Glatzel, H.J. Hirche, S. Schiel & H.K. Schminke, (eds.). Proceedings of the 6th International Conference on Copepoda, Journal of Marine Systems, Spec. Vol.",15,01-Apr,369-371
"Böttger-Schnack, R. & R. Huys. (2004). Size polymorphism in Oncaea venusta Philippi, 1843 and the validity of O. frosti Heron, 2002: a commentary. <em>Hydrobiologia.</em> 513(1): 1-5.","Böttger-Schnack, R. & R. Huys",2004,"Size polymorphism in Oncaea venusta Philippi, 1843 and the validity of O. frosti Heron, 2002: a commentary.",,Hydrobiologia,513,1,01-May
"Bouchet, P.; Bary, S.; Héros, V.; Marani, G. (2016). How many species of molluscs are there in the world's oceans, and who is going to describe them?. <em>in: Héros, V. et al. (Ed.) Tropical Deep-Sea Benthos 29. Mémoires du Muséum national d'Histoire naturelle (1993).</em> 208: 9-24.","Bouchet, P.; Bary, S.; Héros, V.; Marani, G.",2016,"How many species of molluscs are there in the world's oceans, and who is going to describe them?",Tropical Deep-Sea Benthos 29,Mémoires du Muséum national d'Histoire naturelle (1993),208,,Sep-24
"Bouchet, P.; Héros, V.; Lozouet, P.; Maestrati, P. (2008). A quarter-century of deep-sea malacological exploration in the South and West Pacific: Where do we stand? How far to go?. <em>in: Héros, V. et al. (Ed.) Tropical Deep-Sea Benthos 25. Mémoires du Muséum national d'Histoire naturelle (1993).</em> 196: 9-40.","Bouchet, P.; Héros, V.; Lozouet, P.; Maestrati, P.",2008,A quarter-century of deep-sea malacological exploration in the South and West Pacific: Where do we stand? How far to go?,Tropical Deep-Sea Benthos 25,Mémoires du Muséum national d'Histoire naturelle (1993),196,,Sep-40
"Bouchet, P.; Poppe, G. T. (1995). A review of the deep-water volute genus Calliotectum (Gastropoda: Volutidae). <em>in: Bouchet, P. (Ed.) Résultats des Campagnes MUSORSTOM 14. Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie.</em> 167: pp. 499-525.","Bouchet, P.; Poppe, G. T.",1995,A review of the deep-water volute genus Calliotectum (Gastropoda: Volutidae),Résultats des Campagnes MUSORSTOM 14,"Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie",167,,499-525
"Bouck, L., D. Thistle & R. Huys. (1999). Systematics and phylogeny of Zausodes C.B. Wilson, 1932 (Copepoda, harpacticoida, Harpacticidae), including three new species from the northern Gulf of Mexico. Bulletin of the Natural History Museum, London, Zoology 65(2):73-122.","Bouck, L., D. Thistle & R. Huys",1999,"Systematics and phylogeny of Zausodes C.B. Wilson, 1932 (Copepoda, harpacticoida, Harpacticidae), including three new species from the northern Gulf of Mexico.",,"Bulletin of the Natural History Museum, London, Zoology",65,2,73-122
"Bouillon, J.; Medel, D.; Peña Cantero, A.L. (1997). The taxonomic status of the genus <i>Stylactaria</i> Stechow, 1921 (Hydroidomedusae, Anthomedusae, Hydractiniidae), with the description of a new species. <em>Sci. Mar. (Barc.).</em> 61(4): 471-486.","Bouillon, J.; Medel, D.; Peña Cantero, A.L.",1997,"The taxonomic status of the genus <i>Stylactaria</i> Stechow, 1921 (Hydroidomedusae, Anthomedusae, Hydractiniidae), with the description of a new species.",,Sci. Mar. (Barc.),61,4,471-486
"Bouillon, Jean; Medel, Maria Dolores; Pagès, Francesc; Gili, Josep-Maria; Boero, Ferdinando ; Gravili, Cinzia. (2004). Fauna of the Mediterranean Hydrozoa. <em>Scientia Marina.</em> 68: 5-438.","Bouillon, Jean; Medel, Maria Dolores; Pagès, Francesc; Gili, Josep-Maria; Boero, Ferdinando ; Gravili, Cinzia",2004,Fauna of the Mediterranean Hydrozoa,,Scientia Marina,68,,5-438
"Bourdon, R. (1981). Crustaces Isopodes. I. Bopyridae parasites des Peneides. Resultats des Campagnes MUSORSTOM. I. Philippines (18- 28 mars 1976). <em>Memoires d'ORSTOM.</em> 91: 237-260.","Bourdon, R.",1981,Crustaces Isopodes. I. Bopyridae parasites des Peneides,Resultats des Campagnes MUSORSTOM. I. Philippines (18- 28 mars 1976),Memoires d'ORSTOM,91,,237-260
"Bourret, P. (1985). Poissons Téléostéens: Gonostomatidae, Sternoptychidae, et Myctophidae (MUSORSTOM II). <em>in: Forest, J. (Ed.) Résultats des Campagnes MUSORSTOM I et II Philippines (1976, 1980). Tome 2. Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie.</em> 133: 55-82.","Bourret, P.",1985,"Poissons Téléostéens: Gonostomatidae, Sternoptychidae, et Myctophidae (MUSORSTOM II)","Résultats des Campagnes MUSORSTOM I et II Philippines (1976, 1980). Tome 2","Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie",133,,55-82
