String,Authors,Year,Title,bookTitle,SeriesTitle,publishers,City,Volume,Issue,Pagination
"<b>Hawkins, L.E.; Hutchinson, S.; Devall, C.A.</b> (2000). Flat oyster culture: an evaluation of traditional methods. <i>Shellfish News 10</i>: 5-7","Hawkins, L.E.; Hutchinson, S.; Devall, C.A.",2000,Flat oyster culture: an evaluation of traditional methods,,Shellfish News,,,10,,5-7
(1977). Officiële lijst der Belgische vissersvaartuigen 1977 (toestand op 31 december 1976). <i>Officiële lijst der Belgische vissersvaartuigen</i>. Bestuur van het Zeewezen en van de Binnenvaart: Brussel.  61 pp.,,1977,Officiële lijst der Belgische vissersvaartuigen 1977 (toestand op 31 december 1976),,Officiële lijst der Belgische vissersvaartuigen,Bestuur van het Zeewezen en van de Binnenvaart,Brussel,,,61
Chemistry-A European Journal. WILEY-V C H VERLAG GMBH: Weinheim.  ISSN 0947-6539; e-ISSN 1521-3765,,0,Chemistry-A European Journal,,,WILEY-V C H VERLAG GMBH,Weinheim,,,
"<b>Améziane, N.; Roux, M.</b> (2003). Environmental control of ontogeny in the stalked crinoid <i>Guillecrinus</i>, <b><i>in</i></b>: Féral, J.-P. <i>et al.</i> <i>Echinoderm Research 2001: proceedings of the 6th European Conference on Echinoderm Research, Banyuls-sur-mer, 3-7 September 2001.</i> pp. 143-147","Améziane, N.; Roux, M.",2003,Environmental control of ontogeny in the stalked crinoid <i>Guillecrinus</i>,"Echinoderm Research 2001: Proceedings of the 6th European Conference on Echinoderm Research, Banyuls-sur-mer, 3-7 September 2001",,,,,,143-147
"<b>Merckx, J.-P.</b> (2016). De Vlaamse havens: Feiten, statistieken en indicatoren voor 2015. Vlaamse Havencommissie: Brussel.  154 pp.","Merckx, J.-P.",2016,"De Vlaamse havens: Feiten, statistieken en indicatoren voor 2015",,,Vlaamse Havencommissie,Brussel,,,154
"<b>Brown-Peterson, N.J.</b> (2003). The reproductive biology of spotted seatrout, <b><i>in</i></b>: Bortone, S.A. (Ed.) <i>Biology of the spotted seatrout. CRC Marine Biology Series,</i> : pp. 99-133","Brown-Peterson, N.J.",2003,The reproductive biology of spotted seatrout,Biology of the spotted seatrout,CRC Marine Biology Series,,,,,99-133
"<b>Knaeps, E.; Raymaekers, D.; Sterckx, S.; Bertels, L.; Odermatt, D.</b> (2010). Monitoring inland waters with the APEX sensor, a wavelet approach, <b><i>in</i></b>: <i>Proceedings of the 2010 IEEE 2nd Workshop on Hyperspectral Image and Signal Processing: Evolution in Remote Sensing (WHISPERS), 14–16 June 2010, Reykjavik, Iceland.</i> pp. 4","Knaeps, E.; Raymaekers, D.; Sterckx, S.; Bertels, L.; Odermatt, D.",2010,"Monitoring inland waters with the APEX sensor, a wavelet approach","Proceedings of the 2010 IEEE 2nd Workshop on Hyperspectral Image and Signal Processing: Evolution in Remote Sensing (WHISPERS), 14–16 June 2010, Reykjavik, Iceland",,,,,,4
Journal of Southeast Asian Studies. CAMBRIDGE UNIV PRESS: New York.  ISSN 0022-4634; e-ISSN 1474-0680,,0,Journal of Southeast Asian Studies,,,CAMBRIDGE UNIV PRESS,New York,,,
Fluid Dynamics Research. IOP PUBLISHING LTD: Bristol.  ISSN 0169-5983; e-ISSN 1873-7005,,0,Fluid Dynamics Research,,,IOP PUBLISHING LTD,Bristol,,,
"<b>Van de Vyver, E.; Heirman, K.; Verleyen, E.; De Batist, M.; Sabbe, K.; Vyverman, W.</b> (2012). Planktonic diatom evidence for Holocene changes in wind-driven mixing regime and human impacts in Lake Villarrica, South Central Chile, <b><i>in</i></b>: Sabbe, K. <i>et al.</i> (Ed.) <i>Twenty-second International Diatom Symposium, Aula Academica, Ghent, 26-31 August 2012. Abstracts. VLIZ Special Publication,</i> 58: pp. 237","Van de Vyver, E.; Heirman, K.; Verleyen, E.; De Batist, M.; Sabbe, K.; Vyverman, W.",2012,"Planktonic diatom evidence for Holocene changes in wind-driven mixing regime and human impacts in Lake Villarrica, South Central Chile","Twenty-second International Diatom Symposium, Aula Academica, Ghent, 26-31 August 2012. Abstracts",VLIZ Special Publication,,,,,237
Fåglar i Jämtland-Härjedalen = Birds in county Jämtland. The Ornithological society of Jämtland-Härjedalen: Frösön.  ISSN 0282-4760,,,Fåglar i Jämtland-Härjedalen = Birds in county Jämtland,,,The Ornithological society of Jämtland-Härjedalen,Frösön,,,
(2007). Dossier grondwater: goud in Vlaamse bodem. <i>Verrekijker (Erembodegem) juni</i>: 15-26,,2007,Dossier grondwater: goud in Vlaamse bodem,,Verrekijker,,,juni,,15-26
"<b>Schubert, K.</b> (1971). Haringachtigen, <b><i>in</i></b>: Grzimek, B. <i>et al.</i> (Ed.) <i>Het leven der dieren: encyclopedie van het dierenrijk: 4. Vissen, 1.</i> pp. 198-225","Schubert, K.",1971,Haringachtigen,"Het leven der dieren: encyclopedie van het dierenrijk: 4. Vissen, 1",Het leven der dieren: encyclopedie van het dierenrijk,,,,,198-225
"<b>Paulmier, G.</b> (2015). Les Olivellidae (Neogastropoda) des Antilles françaises. Description de quatre nouvelles espèces. <i>Xenophora taxonomy 8</i>: 3-23","Paulmier, G.",2015,Les Olivellidae (Neogastropoda) des Antilles françaises. Description de quatre nouvelles espèces,,Xenophora taxonomy,,,8,,3-23
"<b>Guille, A.</b> (1981). Recherches de biologie marine dans les Terres australes et antarctiques françaises, <b><i>in</i></b>: Jangoux, M. <i>et al.</i> <i>BIOMAR: comptes rendus des séminaires de biologie marine.</i> pp. 42-52","Guille, A.",1981,Recherches de biologie marine dans les Terres australes et antarctiques françaises,BIOMAR: comptes rendus des séminaires de biologie marine,,,,,,42-52
"<b>Acerra, M.; Buti, G.; Llinares, S.; Pfister, C.</b> (2016). Inspecter le littoral français à l'époque moderne, <b><i>in</i></b>: GIS d'histoire maritime (Ed.) <i>La maritimisation du monde de la préhistoire à nos jours. Collection Histoire Maritime,</i> : pp. 497-513","Acerra, M.; Buti, G.; Llinares, S.; Pfister, C.",2016,Inspecter le littoral français à l'époque moderne,La maritimisation du monde de la préhistoire à nos jours,Collection Histoire Maritime,,,,,497-513
Technical report. Hydraulic Engineering Laboratory. University of California: Berkeley,,,Technical report. Hydraulic Engineering Laboratory,,,University of California,Berkeley,,,
Archaeological Prospection. Wiley-Blackwell: Hoboken.  ISSN 1075-2196; e-ISSN 1099-0763,,0,Archaeological Prospection,,,Wiley-Blackwell,Hoboken,,,
"<b>Crisp, D.J.</b> (1987). Foreword, <b><i>in</i></b>: Southward, A.J. <i>Barnacle biology. Crustacean Issues,</i> 5: pp. VII-XX","Crisp, D.J.",1987,Foreword,Barnacle biology,Crustacean Issues,,,,,VII-XX
"<b>Messiaen, J.</b> (1977). Pilotes de ""Dune Libre"". [S.n.]: [s.l.].  58 pp.","Messiaen, J.",1977,"Pilotes de ""Dune Libre""",,,,,,,58
"<b>Williams, A.</b> (2001). Introduction, <b><i>in</i></b>: Brunton, C.H.C. <i>et al.</i> (Ed.) <i>Brachiopods past and present. The Systematics Association Special Volume Series,</i> 63: pp. 1-3","Williams, A.",2001,Introduction,Brachiopods past and present,Systematics Association Special Volume Series,,,,,1-3
"<b>Meadows, A.; Meadows, P.S.; McLaughlin, P.</b> (1998). Spatial heterogeneity in an intertidal sedimentary environment and its macrobenthic community, <b><i>in</i></b>: Black, K.S. <i>et al.</i> (Ed.) <i>Sedimentary processes in the intertidal zone. Geological Society Special Publication,</i> 139: pp. 367-388","Meadows, A.; Meadows, P.S.; McLaughlin, P.",1998,Spatial heterogeneity in an intertidal sedimentary environment and its macrobenthic community,Sedimentary processes in the intertidal zone,Geological Society Special Publication,,,,,367-388
"<b>Van Daele, M.; Haeussler, P.J.; Witter, R.C.; Praet, N.; De Batist, M.</b> (2020). The sedimentary record of the 2018 Anchorage earthquake in Eklutna Lake, Alaska: calibrating the lacustrine seismograph. <i>Seismological Research Letters 91(1)</i>: 126-141. <a href=""https://hdl.handle.net/10.1785/0220190204"" target=""_blank"">https://hdl.handle.net/10.1785/0220190204</a>","Van Daele, M.; Haeussler, P.J.; Witter, R.C.; Praet, N.; De Batist, M.",2020,"The sedimentary record of the 2018 Anchorage earthquake in Eklutna Lake, Alaska: calibrating the lacustrine seismograph",,Seismological Research Letters,,,91,1,126-141
"<b>Went, A.E.J.</b> (1972). The history of the International Council for the Exploration of the Sea, <b><i>in</i></b>: Rutherford, W.H. (Ed.) <i>Second International Congress on the History of Oceanography. <i>Challenger</i> Expedition Centenary, Edinburgh, September 12 to 20, 1972. Proceedings 2. Proceedings of the Royal Society of Edinburgh. Section B, Biological Sciences,</i> 73: pp. 351-360","Went, A.E.J.",1972,The history of the International Council for the Exploration of the Sea,"Second International Congress on the History of Oceanography. <i>Challenger</i> Expedition Centenary, Edinburgh, September 12 to 20, 1972. Proceedings 2","Proceedings of the Royal Society of Edinburgh. Section B, Biological Sciences",,,,,351-360
"<b>Stevens, M.; Van den Neucker, T.; Buysse, D.; Coeck, J.</b> (2009). Trends in the distribution of the Chinese mitten crab in the Schelde estuary, <b><i>in</i></b>: Branquart, E. <i>et al.</i> (Ed.) <i>Abstract volume of the Science facing aliens meeting, Brussels 11th May 2009.</i> pp. 44","Stevens, M.; Van den Neucker, T.; Buysse, D.; Coeck, J.",2009,Trends in the distribution of the Chinese mitten crab in the Schelde estuary,"Abstract volume of the Science facing aliens meeting, Brussels 11th May 2009",,,,,,44
"(1938). Het Visscherijblad 24 september 1938. <i>Het Visscherijblad: Wetenschap, nijverheid, handel</i>, 6(39). P. Vandenberghe: Oostende.",,1938,Het Visscherijblad 24 september 1938,,"Het Visscherijblad: Wetenschap, nijverheid, handel",P. Vandenberghe,Oostende,6,39,
"<b>Lavi, A.</b> (1983). Innovative ocean energy systems: prospects and problems, <b><i>in</i></b>: Brewer, P.G. (Ed.) <i>Oceanography, the present and future: from the Proceedings of 'Will we use the oceans wisely-the next fifty years in oceanography', September 29-October 2, 1980, Woods Hole, Massachusetts, USA.</i> pp. 327-345","Lavi, A.",1983,Innovative ocean energy systems: prospects and problems,"Oceanography, the present and future: from the Proceedings of 'Will we use the oceans wisely-the next fifty years in oceanography', September 29-October 2, 1980, Woods Hole, Massachusetts, USA",,,,,,327-345
"<b>Coornaert, M.</b> (1976). De Vlaamse vissers in de Middeleeuwen, <b><i>in</i></b>: Coornaert, M. <i>Heist en de Eiesluis: de geschiedenis, de topografie en de toponimie van Heist met een studie over de Eiesluis. Studies in opdracht van het gemeentebestuur van Knokke-Heist,</i> II: pp. 75-138","Coornaert, M.",1976,De Vlaamse vissers in de Middeleeuwen,"Heist en de Eiesluis: de geschiedenis, de topografie en de toponimie van Heist met een studie over de Eiesluis",Studies in opdracht van het gemeentebestuur van Knokke-Heist,,,,,75-138
"<b>Arntz, W.E.; Brey, T.; Gerdes, D.; Gorny, M.; Gutt, J.; Hain, S.; Klages, M.</b> (1992). Patterns of life history and population dynamics of benthic invertebrates under the high Antarctic conditions of the Weddell Sea, <b><i>in</i></b>: Colombo, G. <i>et al.</i> (Ed.) <i>Marine Eutrophication and Population Dynamics: 25th European Marine Biology Symposium, Ferrara (Italy), 10-15 September 1990. International Symposium Series,</i> : pp. 221-230","Arntz, W.E.; Brey, T.; Gerdes, D.; Gorny, M.; Gutt, J.; Hain, S.; Klages, M.",1992,Patterns of life history and population dynamics of benthic invertebrates under the high Antarctic conditions of the Weddell Sea,"Marine Eutrophication and Population Dynamics: 25th European Marine Biology Symposium, Ferrara (Italy), 10-15 September 1990",International Symposium Series,,,,,221-230
"<b>Harman, W.J.; Loden, M.S.</b> (1984). <i>Capilloventer atlanticus</i> gen. et sp.n., a member of a new family of marine Oligochaeta from Brazil. <i>Hydrobiologia 115</i>: 51-54. <a href=""https://hdl.handle.net/10.1007/BF00027892"" target=""_blank"">https://hdl.handle.net/10.1007/BF00027892</a>","Harman, W.J.; Loden, M.S.",1984,"<i>Capilloventer atlanticus</i> gen. et sp.n., a member of a new family of marine Oligochaeta from Brazil",,Hydrobiologia,,,115,,51-54
"<b>Leggette, D.J.; Holliday, E.M.</b> (2002). Reducing the impact of construction in the coastal and marine environment, <b><i>in</i></b>: Gomes, F.V. <i>et al.</i> (Ed.) <i>Littoral 2002: 6th International Symposium Proceedings: a multi-disciplinary Symposium on Coastal Zone Research, Management and Planning, Porto, 22-26 September 2002: volume 2.</i> pp. 551-558","Leggette, D.J.; Holliday, E.M.",2002,Reducing the impact of construction in the coastal and marine environment,"Littoral 2002: 6th International Symposium Proceedings: a multi-disciplinary Symposium on Coastal Zone Research, Management and Planning, Porto, 22-26 September 2002: volume 2",,,,,,551-558
"<b>Maes, F.; Cliquet, A.</b> (2007). Ruimtelijke ordening op zee. Symposium presentation. Maritiem Instituut: Oostende.  42 pp.","Maes, F.; Cliquet, A.",2007,Ruimtelijke ordening op zee,,,Maritiem Instituut,Oostende,,,42
"<b>Seki, O.; Schmidt, D.N.; Schouten, S.; Hopmans, E.C.; Sinninghe Damsté, J.S.; Pancost, R.D.</b> (2012). Paleoceanographic changes in the Eastern Equatorial Pacific over the last 10 Myr. <i>Paleoceanography 27</i>. <a href=""http://dx.doi.org/10.1029/2011PA002158"" target=""_blank"">dx.doi.org/10.1029/2011PA002158</a>","Seki, O.; Schmidt, D.N.; Schouten, S.; Hopmans, E.C.; Sinninghe Damsté, J.S.; Pancost, R.D.",2012,Paleoceanographic changes in the Eastern Equatorial Pacific over the last 10 Myr,,Paleoceanography,,,27,,
"<b>Collier, J.S.; Singh, S.C.</b> (1998). A seismic inversion study of the axial magma chamber reflector beneath the East Pacific Rise near 10°N, <b><i>in</i></b>: Mills, R.A. <i>et al.</i> <i>Modern ocean floor processes and the geological record. Geological Society Special Publication,</i> 148: pp. 17-28","Collier, J.S.; Singh, S.C.",1998,A seismic inversion study of the axial magma chamber reflector beneath the East Pacific Rise near 10°N,Modern ocean floor processes and the geological record,Geological Society Special Publication,,,,,17-28
"<b>Marques, R.; Tinôco, M.S.; Browne-Ribeiro, H.C.; Fazolato, C.P.</b> (2012). <i>Phimophis guerini</i> (Duméril, Bibron and Duméril, 1854) (Squamata, Colubridae): distribution extension in the northeast coast of the state of Bahia, Brazil. <i>Check List: the journal of biodiversity data 8(5)</i>: 963-965. <a href=""https://hdl.handle.net/10.15560/8.5.963"" target=""_blank"">https://hdl.handle.net/10.15560/8.5.963</a>","Marques, R.; Tinôco, M.S.; Browne-Ribeiro, H.C.; Fazolato, C.P.",2012,"<i>Phimophis guerini</i> (Duméril, Bibron and Duméril, 1854) (Squamata, Colubridae): distribution extension in the northeast coast of the state of Bahia, Brazil",,Check List: the journal of biodiversity data,,,8,5,963-965
"<b>De Maere-Limnander, A.</b> (1880). Réponse au rapport du Lieutenant de Vaisseau Petit sur la reconnaissance hydrographique de la rade de Heyst faite en septembre 1879. Imprimerie Houdmont, Frères: Bruges.  21, 2 folded maps pp.","De Maere-Limnander, A.",1880,Réponse au rapport du Lieutenant de Vaisseau Petit sur la reconnaissance hydrographique de la rade de Heyst faite en septembre 1879,,,"Imprimerie Houdmont, Frères",Bruges,,,"21, 2 folded maps"
Mémoires in 8. Académie royale des sciences d'outre-mer. Classe des sciences techniques (1983). Académie royale des Sciences d'Outre-Mer: Bruxelles.  ISSN 1373-9727,,1983,Mémoires in 8. Académie royale des sciences d'outre-mer. Classe des sciences techniques (1983),,,Académie royale des Sciences d'Outre-Mer,Bruxelles,,,
"<b>Tonini, D.</b> (1936). Contributi della tecnica americana all'idraulica sperimentale. [S.n.]: Milano.","Tonini, D.",1936,Contributi della tecnica americana all'idraulica sperimentale,,,,Milano,,,
"<b>Van Avesaath, P.H.; Engelberts, A.; Van Hoesel, O.J.A.; Hummel, H.</b> (2009). VERSPREIDING VAN ABUNDANTE MACRO-ALGEN IN HET VEERSE MEER 2009. <i>Monitor Taskforce Publication Series</i>, 2009-07. NIOO-CEME: Yerseke.  18 pp.","Van Avesaath, P.H.; Engelberts, A.; Van Hoesel, O.J.A.; Hummel, H.",2009,VERSPREIDING VAN ABUNDANTE MACRO-ALGEN IN HET VEERSE MEER 2009,,Monitor Taskforce Publication Series,NIOO-CEME,Yerseke,2009-07,,18
"<b>Woo, P.T.K. (Ed.)</b> (2006). Fish diseases and disorders: 1. Protozoan and metazoan infections. 2nd. Edition. CAB International: Oxfordshire. ISBN 978-0-85199-015-6. x, 791 pp.","Woo, P.T.K. (Ed.)",2006,Fish diseases and disorders: 1. Protozoan and metazoan infections,,,CAB International,Oxfordshire,,,"x, 791"
"<b>Petersen, C.G.Joh.</b> (1904). On the larval and postlarval stages of the long rough dab and the genus <i>Pleuronectes</i>. <i>Meddelelser fra Kommissionen for Havundersøgelser: serie Fiskeri</i>, 1(1). C.A. Reitzel: Copenhagen.  12 + 2 plates pp.","Petersen, C.G.Joh.",1904,On the larval and postlarval stages of the long rough dab and the genus <i>Pleuronectes</i>,,Meddelelser fra Kommissionen for Havundersøgelser: serie Fiskeri,C.A. Reitzel,Copenhagen,1,1,12 + 2 plates
"<b>Parenti, L.R.</b> (2008). Ichthyology at the Smithsonian, <b><i>in</i></b>: Comer, S. <i>et al.</i> (Ed.) <i>Ichthyo, the architecture of fish: X-rays from the Smithsonian Institution.</i> pp. 161-169","Parenti, L.R.",2008,Ichthyology at the Smithsonian,"Ichthyo, the architecture of fish: X-rays from the Smithsonian Institution",,,,,,161-169
"<b>Yazdani, M.; Braeckman, U.; Derycke, S.; Sapp, M.; Willems, A.; Vincx, M.; Vanaverbeke, J.</b> (2014). Direct and indirect effects of macrofaunal functional diversity and bacterial and archaeal community characteristics determine benthic nitrogen cycling in coastal marine sediments, <b><i>in</i></b>: Mees, J. <i>et al.</i> (Ed.) <i>Book of abstracts – VLIZ Young Scientists’ Day. Brugge, Belgium, 7 March 2014. VLIZ Special Publication,</i> 67: pp. 132","Yazdani, M.; Braeckman, U.; Derycke, S.; Sapp, M.; Willems, A.; Vincx, M.; Vanaverbeke, J.",2014,Direct and indirect effects of macrofaunal functional diversity and bacterial and archaeal community characteristics determine benthic nitrogen cycling in coastal marine sediments,"Book of abstracts – VLIZ Young Scientists’ Day. Brugge, Belgium, 7 March 2014",VLIZ Special Publication,,,,,132
"<b>Maandag, H. (Ed.)</b> (1999). Densiteit van demersale vissoorten in de Oosterschelde periode 1983-1990. Graduate Thesis. Hogeschool Zeeland: Yerseke.  34 pp.","Maandag, H. (Ed.)",1999,Densiteit van demersale vissoorten in de Oosterschelde periode 1983-1990,,,Hogeschool Zeeland,Yerseke,,,34
"<b>Stinglhamber, G.</b> (1923). Zee-Brugge: sa création, son role durant la guerre, son avenir. 23 avril 1918: La bataille du St. George's Day. Deuxième édition. Imp. Pierre Dykmans (succ. De A. Berqueman): Bruxelles.  68 + 1 loose map pp.","Stinglhamber, G.",1923,"Zee-Brugge: sa création, son role durant la guerre, son avenir. 23 avril 1918: La bataille du St. George's Day",,,Imp. Pierre Dykmans (succ. De A. Berqueman),Bruxelles,,,68 + 1 loose map
"<b>Le Bohec, C.; Gauthier-Clerc, M.; Durant, J.M.; Beaune, D.; Stenseth, N.C.; Pradel, R.; Grémillet, D.; Béchet, A.; Chatelain, N.; Le Maho, Y.</b> (2009). How climate changes affect juvenile survival and recruitment in the King penguin, <b><i>in</i></b>: Stienen, E. <i>et al.</i> <i>Seabird Group 10th International Conference Book of Abstracts, Brugge, Belgium 27-30 March 2009. VLIZ Special Publication,</i> 42: pp. 38","Le Bohec, C.; Gauthier-Clerc, M.; Durant, J.M.; Beaune, D.; Stenseth, N.C.; Pradel, R.; Grémillet, D.; Béchet, A.; Chatelain, N.; Le Maho, Y.",2009,How climate changes affect juvenile survival and recruitment in the King penguin,"Seabird Group 10th International Conference Book of Abstracts, Brugge, Belgium 27-30 March 2009",VLIZ Special Publication,,,,,38
"<b>Sörlin, S.</b> (2018). The Arctic Ocean, <b><i>in</i></b>: Armitage, D. <i>et al.</i> (Ed.) <i>Oceanic Histories. Cambridge Oceanic Histories,</i> 1: pp. 269-295. <a href=""https://hdl.handle.net/10.1017/9781108399722.011"" target=""_blank"">https://hdl.handle.net/10.1017/9781108399722.011</a>","Sörlin, S.",2018,The Arctic Ocean,Oceanic Histories,Cambridge Oceanic Histories,,,,,269-295
"<b>Pettman, I.</b> (1998). EURASLIC: review of current activities, <b><i>in</i></b>: Charou, E. <i>et al.</i> (Ed.) <i>People and Technology: Sharing Knowledge and Shaping the Future of Aquatic Information in Europe: Proceedings of the 7th biennial meeting of EURASLIC 6-8 May 1998, Athina, Greece. IAMSLIC Conference Series,</i> 7: pp. 13-17","Pettman, I.",1998,EURASLIC: review of current activities,"People and Technology: Sharing Knowledge and Shaping the Future of Aquatic Information in Europe: Proceedings of the 7th biennial meeting of EURASLIC 6-8 May 1998, Athina, Greece",IAMSLIC Conference Series,,,,,13-17
"<b>Coppejans, E.</b> (1982). Zeewierengids voor de Belgische en Noordfranse kust: 2. Beschrijvingen groen- en bruinwieren. <i>Stentor</i>, 17. Belgische Jeugdbond voor Natuurstudie (BJN): Gent. 157-254 pp.","Coppejans, E.",1982,Zeewierengids voor de Belgische en Noordfranse kust: 2. Beschrijvingen groen- en bruinwieren,,Stentor,Belgische Jeugdbond voor Natuurstudie (BJN),Gent,17,,157-254
"<b>Walling, S.A.; Hill, J.C.</b> (2014). Nautical mathematics. Facsimile (1943). Cambridge University Press: [s.l.]. ISBN 978-1107642522. 144 pp.","Walling, S.A.; Hill, J.C.",2014,Nautical mathematics,,,Cambridge University Press,,,,144
"<b>de Boer, J.; Duinker, J.C.; Calder, J.; van de Meer, J.</b> (1990). Intercomparison exercise on the analysis of individual chlorobiphenyl congeners in marine media - first step: optimization of gas chromatographic conditions. <i>CM Documents - ICES</i>, C.M. 1990(E:10). International Council for the Exploration of the Sea: Copenhagen.  10 + tables + figures pp.","de Boer, J.; Duinker, J.C.; Calder, J.; van de Meer, J.",1990,Intercomparison exercise on the analysis of individual chlorobiphenyl congeners in marine media - first step: optimization of gas chromatographic conditions,,CM Documents - ICES,International Council for the Exploration of the Sea,Copenhagen,C.M. 1990,E:10,10 + tables + figures
"<b>van Burm, P.; Maertens, J.</b> [s.d.]. Grondmechanische kaart 15-3-5. <i>Grondmechanische kaart</i>, 15-3-5. [S.n.]: [s.l.].  Meerdere kaarten pp.","van Burm, P.; Maertens, J.",,Grondmechanische kaart 15-3-5,,Grondmechanische kaart,,,15-3-5,,Meerdere kaarten
"(S.d.). De Water - Magazine over integraal waterbeheer, 1998(50). Directoraat-Generaal Rijkswaterstaat: Amsterdam.",,,"De Water - Magazine over integraal waterbeheer, 1998(50)",,,Directoraat-Generaal Rijkswaterstaat,Amsterdam,,,
"<b>Hoar, W.S.; Randall, D.J.</b> (1971). Environmental relations and behavior. <i>Fish physiology series</i>, 6. Academic Press: London. ISBN 978-0-12-350406-7. 1-559 pp.","Hoar, W.S.; Randall, D.J.",1971,Environmental relations and behavior,,Fish physiology series,Academic Press,London,6,,1-559
"<b>Mojica, K.D.A.</b> (2015). General discussion, <b><i>in</i></b>: Mojica, K.D.A. <i>Viral lysis of marine microbes in relation to vertical stratification.</i> pp. 225-232","Mojica, K.D.A.",2015,General discussion,Viral lysis of marine microbes in relation to vertical stratification,,,,,,225-232
"<b>Adhikari, B.; Verhoeven, R.; Troch, P.</b> (2008). Fair and sustainable irrigation water management in the Babai river basin (Nepal), <b><i>in</i></b>: <i>IWA 11th international specialized conference on watershed and river basin management, 4-5 September 2008, Budapest, Hungary.</i> pp. 2 pp.","Adhikari, B.; Verhoeven, R.; Troch, P.",2008,Fair and sustainable irrigation water management in the Babai river basin (Nepal),"IWA 11th international specialized conference on watershed and river basin management, 4-5 September 2008, Budapest, Hungary",,,,,,2 pp.
"<b>Ngo, Q.X.; Sayenko, E.M.; Lutaenko, K.A.</b> (2018). Bivalves composition and ecological aspects of the Ba Lai River, an estuary of the Mekong Delta, Vietnam. <i>Korean Journal of Malacology 34(3)</i>: 169-178. <a href=""https://hdl.handle.net/10.9710/kjm.2018.34.3.169"" target=""_blank"">https://hdl.handle.net/10.9710/kjm.2018.34.3.169</a>","Ngo, Q.X.; Sayenko, E.M.; Lutaenko, K.A.",2018,"Bivalves composition and ecological aspects of the Ba Lai River, an estuary of the Mekong Delta, Vietnam",,Korean Journal of Malacology,,,34,3,169-178
Skrifter som udi det Kiøbenhavnske Selskab af Lærdoms og Videnskabers Elskere ere fremlagte og oplæste i ....  ISSN 1398-1145,,,Skrifter som udi det Kiøbenhavnske Selskab af Lærdoms og Videnskabers Elskere ere fremlagte og oplæste i ...,,,,,,,
"<b>Walker, B.</b> (1982). De Armada. Timelife: [s.l.]. ISBN 90-6182-418-4. 176 pp.","Walker, B.",1982,De Armada,,,Timelife,,,,176
(2019). PIANC Yearbook 2018. PIANC: Brussels.,,2019,PIANC Yearbook 2018,,,PIANC,Brussels,,,
"(1975). Henri Nouvel (19 Mars 1905-3 Août 1974). <i>Crustaceana 29(2)</i>: 215-219, plate 1",,1975,Henri Nouvel (19 Mars 1905-3 Août 1974),,Crustaceana,,,29,2,"215-219, plate 1"
"<b>Seys, J.; Fockedey, N. (Ed.)</b> (2009). VLIZINE augustus - september - oktober 2009. <i>Nieuwsbrief VLIZINE</i>, 10(8-9-10). Vlaams Instituut voor de Zee (VLIZ): Oostende.","Seys, J.; Fockedey, N. (Ed.)",2009,VLIZINE augustus - september - oktober 2009,,Nieuwsbrief VLIZINE,Vlaams Instituut voor de Zee (VLIZ),Oostende,10,8-9-10,
"<b>Bonte, D.; Baert, L.; Maelfait, J.-P.</b> (2004). Spinnen, <b><i>in</i></b>: Provoost, S. <i>et al.</i> (Ed.) <i>Levende duinen: een overzicht van de biodiversiteit aan de Vlaamse kust. Mededelingen van het Instituut voor Natuurbehoud,</i> 22: pp. 320-343","Bonte, D.; Baert, L.; Maelfait, J.-P.",2004,Spinnen,Levende duinen: een overzicht van de biodiversiteit aan de Vlaamse kust,Mededelingen van het Instituut voor Natuurbehoud,,,,,320-343
General Relativity and Gravitation. SPRINGER/PLENUM PUBLISHERS: New York.  ISSN 0001-7701; e-ISSN 1572-9532,,0,General Relativity and Gravitation,,,SPRINGER/PLENUM PUBLISHERS,New York,,,
"<b>Benjaminsen, T.; Christensen, I.</b> (1979). The natural history of the Bottlenose Whale, <i>Hyperoodon ampullatus</i> (Forster), <b><i>in</i></b>: Winn, H.E. <i>et al.</i> (Ed.) <i>Cetaceans. Behavior of Marine Animals: Current Perspectives in Research,</i> 3: pp. 143-164","Benjaminsen, T.; Christensen, I.",1979,"The natural history of the Bottlenose Whale, <i>Hyperoodon ampullatus</i> (Forster)",Cetaceans,Behavior of Marine Animals: Current Perspectives in Research,,,,,143-164
"<b>Leroux, M.</b> (1990). Natural protection and voluntary extension of the tropical African forest cover, <b><i>in</i></b>: Paepe, R. <i>et al.</i> (Ed.) <i>Greenhouse Effect, Sea Level and Drought. Proceedings of the NATO Advanced Research Workshop on Geohydrological Management of Sea Level and Mitigation of Drought, Fuerteventura, Canary Islands (Spain), March 1-7, 1989. NATO ASI Series C: Mathematical and physical sciences,</i> 325: pp. 241-252. <a href=""http://hdl.handle.net/10.1007/978-94-009-0701-0_15"" target=""_blank"">hdl.handle.net/10.1007/978-94-009-0701-0_15</a>","Leroux, M.",1990,Natural protection and voluntary extension of the tropical African forest cover,"Greenhouse Effect, Sea Level and Drought. Proceedings of the NATO Advanced Research Workshop on Geohydrological Management of Sea Level and Mitigation of Drought, Fuerteventura, Canary Islands (Spain), March 1-7, 1989",NATO ASI Series C: Mathematical and Physical Sciences,,,,,241-252
Springer series in statistics.,,,Springer series in statistics,,,,,,,
