String,Authors,Year,Title,Book,Series,Publisher,City,Volume,Issue,Pagination,DOI
"Thomas, P.A. (1968). Studies on Indian Sponges-III. Two species of silicious sponges of the famliy Ophlitaspongiidae de Laubenfels (Class: Demospongiae Sollas, Order: Poecilosclerida Topsent). <em>Journal of the Marine Biological Association of India.</em> 10(2): 255-259.","Thomas, P.A.",1968,"Studies on Indian Sponges-III. Two species of silicious sponges of the famliy Ophlitaspongiidae de Laubenfels (Class: Demospongiae Sollas, Order: Poecilosclerida Topsent)",,Journal of the Marine Biological Association of India,The Marine Biological Association of India,Cochin,10,2,255-259,
"Tauber, P. (1879). Annulata Danica. En Kritisk Revision af de i Danmark Fundne Annulata Chaetognatha, Gephyrea, Balanoglossi, Discophoreae, Oligochaeta, Gymnocopa og Polychaeta. <em>Reitzel. K benhavn.</em> 1-143.","Tauber, P.",1879,"Annulata Danica. En Kritisk Revision af de i Danmark Fundne Annulata Chaetognatha, Gephyrea, Balanoglossi, Discophoreae, Oligochaeta, Gymnocopa og Polychaeta.",,Reitzel. K benhavn.,,,,,1-143,
"Powell, N. A., 1967. Polyzoa (Bryozoa) - Ascophora - from north New Zealand. Discovery Reports 34: 199-393","Powell, N. A.",1967,Polyzoa (Bryozoa) - Ascophora - from north New Zealand,,Discovery Reports,,,34,,199-394,
"Gerdes, D.; Vanhove, S.; Vincx, M.; Lee, H. (2001). Meiofauna response to iceberg disturbance on the Antarctic continental shelf at Kapp Norvegia (Weddell Sea). <em>Polar Biology.</em> 24(12): 926-933.","Gerdes, D.; Vanhove, S.; Vincx, M.; Lee, H.",2001,Meiofauna response to iceberg disturbance on the Antarctic continental shelf at Kapp Norvegia (Weddell Sea),,Polar Biology,,,24,12,926-933,10.1007/s003000100301
"Dumont, H.J. (1965). Sur cinq Cyclopides et un Harpacticide nouveaux pour la faune de la Belgique, et sur l'évolution de la faune du Lac d'Overmere. Biologisch Jaarboek Dodonaea 33:365-382, pls. 1-9.","Dumont, H.J.",1965,"Sur cinq Cyclopides et un Harpacticide nouveaux pour la faune de la Belgique, et sur l'évolution de la faune du Lac d'Overmere.",,Biologisch Jaarboek Dodonaea,,,33,,365-382,
"Sak, S., S. Karaytug & R. Huys (2008). S., S. Karaytug & R. Huys 2008 A review of Pseudoleptomesochrella Lang, 1965 (Copepoda, Harpacticoida, Ameiridae), including a redescription of P. halophila (Noodt, 1952) from the Black Sea and a key to species. Zootaxa 1758:45-60. Wilson: PDF","Sak, S., S. Karaytug & R. Huys",2008,"A review of Pseudoleptomesochrella Lang, 1965 (Copepoda, Harpacticoida, Ameiridae), including a redescription of P. halophila (Noodt, 1952) from the Black Sea and a key to species.",,Zootaxa,,,1758,,45-60,
"Huys, R. & T.C. Kihara. (2010). Systematics and phylogeny of Cristacoxidae (Copepoda, Harpacticoida): a review. <em>Zootaxa.</em> 2568:1-38.","Huys, R. & T.C. Kihara",2010,"Systematics and phylogeny of Cristacoxidae (Copepoda, Harpacticoida): a review.",,Zootaxa,,,2568,,1-38,
"De Troch, M., I. Vergaerde, C. Cnudde, P. Vanormelingen, W. Vyverman & M. Vincx. (2012). The taste of diatoms: the role of diatom growth phase characteristics and associated bacteria for benthic copepod grazing. <em>Aquatic Microbial Ecology.</em> 67(1): 47-58.","De Troch, M., I. Vergaerde, C. Cnudde, P. Vanormelingen, W. Vyverman & M. Vincx",2012,The taste of diatoms: the role of diatom growth phase characteristics and associated bacteria for benthic copepod grazing.,,Aquatic Microbial Ecology,,,67,1,47-58,10.3354/ame01587
"(2010). Bedreiging voor biodiversiteit. Indicatoren voor het Schelde-estuarium. <em>Opgemaakt in opdracht van Afdeling Maritieme Toegang, projectgroep EcoWaMorSe, Vlaams Nederlandse Scheldecommissie. VLIZ Information Sheets, 200. Vlaams Instituut voor de Zee (VLIZ): Oostende.</em> 7 pp.",,2010,"Bedreiging voor biodiversiteit. Indicatoren voor het Schelde-estuarium. Opgemaakt in opdracht van Afdeling Maritieme Toegang, projectgroep EcoWaMorSe, Vlaams Nederlandse Scheldecommissie",,VLIZ Information Sheets,Vlaams Instituut voor de Zee (VLIZ),Oostende,200,,7,
"Hampel, H.; Cattrijsse, A.; Vincx, M. (2003). Tidal, diel and semi-lunar changes in the faunal assemblage of an intertidal salt marsh creek. <em>Estuarine, Coastal and Shelf Science.</em> 56(3-4), 795-805.","Hampel, H.; Cattrijsse, A.; Vincx, M.",2003,"Tidal, diel and semi-lunar changes in the faunal assemblage of an intertidal salt marsh creek",,"Estuarine, Coastal and Shelf Science",,,56,3-4,795-805,10.1016/s0272-7714(02)00296-2
"Verseveldt, J. (1970). Report of some Octocorallia (Alcyonacea) from the northern Red Sea. <em>Israel Journal of Zoology.</em> 19(4): 209-229.","Verseveldt, J.",1970,Report of some Octocorallia (Alcyonacea) from the northern Red Sea,,Israel Journal of Zoology,,,19,4,209-229,
"Leloup, E.; Lefevere, S. (1952). Sur la présence dans les eaux de la côte belge du cirripède <i>Elminius modestus</i> Darwin, 1854, du copépode parasite <i>Mytilicola intestinalis</i> Steuer, 1902, et du polychète <i>Mercierella enigmatica</i> Fauvel, 1922. <em>Bulletin de l'Institut Royal des Sciences Naturelles de Belgique.</em> 28(48): 1-12, figs. 1-7, plate I.","Leloup, E.; Lefevere, S.",1952,"Sur la présence dans les eaux de la côte belge du cirripède <i>Elminius modestus</i> Darwin, 1854, du copépode parasite <i>Mytilicola intestinalis</i> Steuer, 1902, et du polychète <i>Mercierella enigmatica</i> Fauvel, 1922",,Bulletin de l'Institut Royal des Sciences Naturelles de Belgique,,,28,48,"1-12, figs. 1-7, plate I",
"Cottarelli, V., P.E. Saporito & A.C. Puccetti. (1983). Novolaophonte viatorum n. gen., n. sp. (Crustacea, Copepoda, Harpacticoida) di acque interstiziali litorali del Massachusetts. Cahiers de Biologie Marine 24(3):269-279, figs. 1-4. (English and French summaries).","Cottarelli, V., P.E. Saporito & A.C. Puccetti",1983,"Novolaophonte viatorum n. gen., n. sp. (Crustacea, Copepoda, Harpacticoida) di acque interstiziali litorali del Massachusetts.",,Cahiers de Biologie Marine,,,24,3,"269-279, figs. 1-4. (English and French summaries).",
"Maris, T.; Oosterlee, L.; Meire, P. (2015). Onderzoek naar de gevolgen van het Sigmaplan, baggeractiviteiten en havenuitbreiding in de Zeeschelde op het milieu. Geïntegreerd eindverslag van het onderzoek verricht in 2013. <em>ECOBE 015-R173. Universiteit Antwerpen: Antwerpen.</em>","Maris, T.; Oosterlee, L.; Meire, P.",2015,"Onderzoek naar de gevolgen van het Sigmaplan, baggeractiviteiten en havenuitbreiding in de Zeeschelde op het milieu. Geïntegreerd eindverslag van het onderzoek verricht in 2013",,ECOBE 015-R173. Universiteit Antwerpen: Antwerpen,,,,,[diff. pag.],
"Gourbault, N.; Vincx, M. (1985). Nématodes abyssaux (Campagne Walda du N/O ""Jean Charcot""). V. Espèces nouvelles de Selachinematidae, dépourvues d'anus. <em>Cahiers de Biologie Marine.</em> 26(1): 87-97.","Gourbault, N.; Vincx, M.",1985,"Nématodes abyssaux (Campagne Walda du N/O ""Jean Charcot""). V. Espèces nouvelles de Selachinematidae, dépourvues d'anus",,Cahiers de Biologie Marine,,,26,1,87-97,
"Bellan-Santini, D.; Karaman, G.; KrapSchickel, G.; Ledoyer, M.; Ruffo, S. (1993). The Amphipoda of the Mediterranean. Part 3: Gammaridea (Melphidippidae to Talitridae), Ingolfiellidea, Caprellidea. <em>Mémoires de l'Institut Océanographique: Monaco.</em> 13: 577-813.","Bellan-Santini, D.; Karaman, G.; KrapSchickel, G.; Ledoyer, M.; Ruffo, S.",1993,"The Amphipoda of the Mediterranean. Part 3: Gammaridea (Melphidippidae to Talitridae), Ingolfiellidea, Caprellidea",,Mémoires de l'Institut Océanographique: Monaco,,,13,,577-813,
"Ristau, D.A. (1978). Six new species of shallow-water marine demosponges from California. <em>Proceedings Biological Society Washington.</em> 91(3): 569-589.","Ristau, D.A.",1978,Six new species of shallow-water marine demosponges from California,,Proceedings Biological Society Washington,,,91,3,569-589,
"Wolf, M. A.; Sciuto, K.; Andreoli, C.; Moro, I. (2012). Ulva (Chlorophyta, Ulvales) Biodiversity in the North Adriatic Sea (Mediterranean, Italy): Cryptic Species and New Introductions. <em>Journal of Phycology.</em> 48(6): 1510-1521.","Wolf, M. A.; Sciuto, K.; Andreoli, C.; Moro, I.",2012,"Ulva (Chlorophyta, Ulvales) Biodiversity in the North Adriatic Sea (Mediterranean, Italy): Cryptic Species and New Introductions",,Journal of Phycology,,,48,6,1510-1521,10.1111/jpy.12005
"Lin, F.-J.; Kensley, B.; Chan, T.-Y. (2000). The rare axiid genus Oxyrhynchaxius parisi, 1971 (Decapoda: Thalassinidea), with a description of a new species from Australia. <em>Journal of Crustacean Biology.</em> 20 (Spec. issue 2): 199-206.","Lin, F.-J.; Kensley, B.; Chan, T.-Y.",2000,"The rare axiid genus Oxyrhynchaxius parisi, 1971 (Decapoda: Thalassinidea), with a description of a new species from Australia",,Journal of Crustacean Biology,,,20 (Spec. issue 2),,199-206,
"Gilardoni, C.; Etchegoin, J.; Cribb, T.; Pina, S.; Rodrigues, P.; Diez, M. E.; Cremonte, F. (2020). Cryptic speciation of the zoogonid digenean Diphterostomum flavum n. sp. demonstrated by morphological and molecular data. <em>Parasite.</em> 27: 44.","Gilardoni, C.; Etchegoin, J.; Cribb, T.; Pina, S.; Rodrigues, P.; Diez, M. E.; Cremonte, F.",2020,Cryptic speciation of the zoogonid digenean Diphterostomum flavum n. sp. demonstrated by morphological and molecular data,,Parasite,,,27,,44,10.1051/parasite/2020040
"Dozsa-Farkas, K. (1990). New enchytraeid species from sphagnum-bogs in Hungary (Oligochaeta, Enchytraeidae). <em>Acta Zoologica Hungarica.</em> 36(3-4): 265-274.","Dozsa-Farkas, K.",1990,"New enchytraeid species from sphagnum-bogs in Hungary (Oligochaeta, Enchytraeidae).",,Acta Zoologica Hungarica,,,36,3-4,265-274,
"Chen, H.-L. (1989). Leucosiidae (Crustacea, Brachyura). In: Forest, J. (ed.), Résultats des Campagnes MUSORSTOM, vol. 5. <em>Mémoires du Muséum national d'Histoire Naturelle, Paris, sec. A.</em> 144: 181-264; Pls. I-VI.","Chen, H.-L.",1989,"Leucosiidae (Crustacea, Brachyura). In: Forest, J. (ed.), Résultats des Campagnes MUSORSTOM, vol. 5",Résultats des Campagnes MUSORSTOM 5,"Mémoires du Muséum national d’Histoire Naturelle, Paris, sec. A",,,144,,181-264; Pls. I-VI,
"Valdés, Á. (2001). Deep-water phyllidiid nudibranchs (Gastropoda: Phyllidiidae) from the tropical south-west Pacific Ocean. <em>in: Bouchet, P. et al. (Ed.) Tropical deep-sea benthos. Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie.</em> 185: 331-368.","Valdés, Á.",2001,Deep-water phyllidiid nudibranchs (Gastropoda: Phyllidiidae) from the tropical south-west Pacific Ocean,Tropical Deep-Sea Benthos,"Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie",,,185,,331-368,
"Wells, J.B.J. (1981). Keys to aid in the identification of marine harpacticoid copepods. Amendment bulletin No. 3. Zool. Publ. Victoria Univ., Wellington, 75 : 1-13","Wells, J.B.J.",1981,Keys to Aid in the Identification of Marine Harpacticoid Copepods. Amendment bulletin no. 3.,,Zoology Publications from Victoria University of Wellington,,,75,,1-13. (vi-1981),
"Hoshino, T. (1977). Demosponges from the Kii channel and its environs, western Japan. <em>Proceedings of the Japanese Society of Systematic Zoology.</em> 13: 5-15.","Hoshino, T.",1977,"Demosponges from the Kii channel and its environs, western Japan",,Proceedings of the Japanese Society of Systematic Zoology,,,13,,5-15,
"Davoult, D.; Dewarumez, J.-M.; Glaçon, R. (1993). Nouvelles signalisations d'espèces macrobenthiques sur les côtes françaises de la Manche orientale et de la Mer du Nord: 4. Groupes divers [New macrobenthic species in the French part of the eastern Channel and of the North Sea: 4. Miscellaneous groups]. <em>Cah. Biol. Mar.</em> 34(1): 55-64.","Davoult, D.; Dewarumez, J.-M.; Glaçon, R.",1993,Nouvelles signalisations d'espèces macrobenthiques sur les côtes françaises de la Manche orientale et de la Mer du Nord: 4. Groupes divers [New macrobenthic species in the French part of the eastern Channel and of the North Sea: 4. Miscellaneous groups],,Cah. Biol. Mar.,,,34,1,55-64,
"Golani, D.; Fine, M. (2002). On the occurrence of <i>Hippocampus fuscus</i> in the eastern Mediterranean. <em>Journal of Fish Biology.</em> 60(3): 764-766.","Golani, D.; Fine, M.",2002,On the occurrence of <i>Hippocampus fuscus</i> in the eastern Mediterranean,,Journal of Fish Biology,,,60,3,764-766,10.1111/j.1095-8649.2002.tb01700.x
"Mienis, H. K.; Galili, E.; Rapoport, J. (1993). The Spiny Oyster, <i>Spondylus spinosus</i>, a well-established Indo-Pacific bivalve in the Eastern Mediterranean off Israel (Mollusca, Bivalvia, Spondylidae). <em>Zoology in the Middle East.</em> 9: 83-91.","Mienis, H. K.; Galili, E.; Rapoport, J.",1993,"The Spiny Oyster, <i>Spondylus spinosus</i>, a well-established Indo-Pacific bivalve in the Eastern Mediterranean off Israel (Mollusca, Bivalvia, Spondylidae)",,Zoology in the Middle East,,,9,,83-91,10.1080/09397140.1993.10637650
"Glémarec, M. (1966). Les Magelonidae des côtes de Bretagne: description de <i>Magelona wilsoni</i> n. sp. <em>Vie Milieu.</em> 17</i>: 1077-1085.","Glémarec, M.",1966,Les Magelonidae des côtes de Bretagne: description de <i>Magelona wilsoni</i> n. sp,,Vie Milieu,,,17,,1077-1085,
"Derycke, S.; Remerie, T.; Backeljau, T.; Vierstraete, A.; Vanfleteren, J.; Vincx, M.; Moens, T. (2008). Phylogeography of the Rhabditis ( Pellioditis ) marina species complex: evidence for long-distance dispersal, and for range expansions and restricted gene flow in the northeast Atlantic. <em>Molecular Ecology.</em> 17(14): 3306-3322.","Derycke, S.; Remerie, T.; Backeljau, T.; Vierstraete, A.; Vanfleteren, J.; Vincx, M.; Moens, T.",2008,"Phylogeography of the Rhabditis ( Pellioditis ) marina species complex: evidence for long-distance dispersal, and for range expansions and restricted gene flow in the northeast Atlantic",,Molecular Ecology,,,17,14,3306-3322,10.1111/j.1365-294x.2008.03846.x
"Fiers, F. (1987). Intercletodes interita n. gen., n. sp. and Orthopsyllus coralliophilus n. sp., two new copepods from the northern coast of Papua New Guinea. (Copepoda, Harpacticoida). Bulletin de l'Institut Royal des Sciences Naturelles de Belgique, Biologie 57:123-132, figs. 1-5, tab. 1.","Fiers, F.",1987,"Intercletodes interita n. gen., n. sp. and Orthopsyllus coralliophilus n. sp., two new copepods from the northern coast of Papua New Guinea. (Copepoda, Harpacticoida).",,"Bulletin de l'Institut Royal des Sciences Naturelles de Belgique, Biologie",,,57,,"123-132, figs. 1-5, tab. 1.",
"Kisielewski, J. (1988). New records of marine Gastrotricha from the French coasts of Manche and Atlantic. 2. Chaetonotida, with descriptions of four new species. <em>Cahiers de Biologie Marine. Station Biologique de Roscoff: Roscoff. ISSN 0007-9723.</em> 29(2): 187-213.","Kisielewski, J.",1988,"New records of marine Gastrotricha from the French coasts of Manche and Atlantic. 2. Chaetonotida, with descriptions of four new species",,Cahiers de Biologie Marine. Station Biologique de Roscoff: Roscoff. ISSN 0007-9723,,,29,2,187-213,
"Clark, A. M. (1989). An index of names of recent Asteroidea, part 1: Paxillosida and Notomyotida. <em>In: Jangoux, M.; Lawrence, J.M. (Ed.) (1996).  Echinoderm Studies.</em> 3: 225-347.","Clark, A. M.",1989,"An index of names of recent Asteroidea, part 1: Paxillosida and Notomyotida",Echinoderm Studies,,,,3,,225-347,
"Fauchald, K.; Jumars, P. A. (1979). The diet of worms: a study of polychaete feeding guilds. <em>Oceanography and Marine Biology, An Annual Review.</em> 17: 193-284.","Fauchald, K.; Jumars, P. A.",1979,The diet of worms: a study of polychaete feeding guilds,,"Oceanography and Marine Biology, An Annual Review",,,17,,193-284,
"McLaughlin, P.A.; Hogarth, P.J. (1998). Hermit crabs (Decapoda: Anomura: Paguridae) from the Seychelles. <em>Zoologische Verhandelingen.</em> 318: 3-48.","McLaughlin, P.A.; Hogarth, P.J.",1998,Hermit crabs (Decapoda: Anomura: Paguridae) from the Seychelles,,Zoologische Verhandelingen,,,318,,3-48,
"Ingels, J.; Kiriakoulakis, K.; Wolff, G. A.; Vanreusel, A. (2009). Nematode diversity and its relation to the quantity and quality of sedimentary organic matter in the deep Nazaré Canyon, Western Iberian Margin. <em>Deep Sea Research Part I: Oceanographic Research Papers.</em> 56(9): 1521-1539.","Ingels, J.; Kiriakoulakis, K.; Wolff, G. A.; Vanreusel, A.",2009,"Nematode diversity and its relation to the quantity and quality of sedimentary organic matter in the deep Nazaré Canyon, Western Iberian Margin",,Deep Sea Research Part I: Oceanographic Research Papers,,,56,9,1521-1539,10.1016/j.dsr.2009.04.010
"Van Aartsen, J. J. (1987). European Pyramidellidae: III. <i>Odostomia</i> and <i>Ondina</i>. <em>Bollettino Malacologico.</em> 23 (1-4): 1-34.","Van Aartsen, J. J.",1987,European Pyramidellidae: III. <i>Odostomia</i> and <i>Ondina</i>,,Bollettino Malacologico,,,23,1-4,1-34,
"Lendenfeld, R. von. (1894). Eine neue <i>Pachastrella</i>. <em>Sitzungsberichte der Kaiserlichen Akademie der Wissenschaften. Mathematisch-Naturwissenschaftliche Classe.</em> 103: 439-442, pl. I.","Lendenfeld, R. von",1894,Eine neue <i>Pachastrella</i>.,,Sitzungsberichte der Kaiserlichen Akademie der Wissenschaften. Mathematisch-Naturwissenschaftliche Classe,,,103,,"439-442, pl. I.",
"Topsent, E. (1899). Document sur la faune des Spongiaires des Côtes de Belgique. <em>Archives de Biologie.</em> 16: 105-115.","Topsent, E.",1899,Document sur la faune des Spongiaires des Côtes de Belgique.,,Archives de Biologie,,,16,,105-115,
"Corbera, J. (2002). Amphi-Atlantic distribution of the Mancocumatinae (Cumacea: Bodotriidae), with description of a new genus dwelling in marine lava caves of Tenerife (Canary Islands). <em>Zoological Journal of the Linnean Society.</em> 134(4), 453-461.","Corbera, J.",2002,"Amphi-Atlantic distribution of the Mancocumatinae (Cumacea: Bodotriidae), with description of a new genus dwelling in marine lava caves of Tenerife (Canary Islands)",,Zoological Journal of the Linnean Society,,,134,4,453-461,10.1046/j.1096-3642.2002.00016.x
"Remerie, T.; Calderon, J.; Deprez, T.; Mees, J.; Vanfleteren, J.; Vanreusel, A.; Vierstraete, A.; Vincx, M.; Wittmann, K.; Wooldridge, T.; Bulckaen, B. (2004). Phylogenetic relationships within the Mysidae (Crustacea, Peracarida, Mysida) based on nuclear 18S ribosomal RNA sequences. <em>Molecular Phylogenetics and Evolution.</em> 32(3): 770-777.","Remerie, T.; Calderon, J.; Deprez, T.; Mees, J.; Vanfleteren, J.; Vanreusel, A.; Vierstraete, A.; Vincx, M.; Wittmann, K.; Wooldridge, T.; Bulckaen, B.",2004,"Phylogenetic relationships within the Mysidae (Crustacea, Peracarida, Mysida) based on nuclear 18S ribosomal RNA sequences",,Molecular Phylogenetics and Evolution,,,32,3,770-777,10.1016/j.ympev.2004.03.007
"Dauvin, J. C. (1999). Mise à jour de la liste des espèces d'Amphipodes (Crustacea : Peracarida) présents en Manche. <em>Cahiers de Biologie Marine.</em> 40(2): 165-183.","Dauvin, J. C.",1999,Mise à jour de la liste des espèces d'Amphipodes (Crustacea : Peracarida) présents en Manche,,Cahiers de Biologie Marine,,,40,2,165-183,
"Amar, R. (1948). Une nouvelle espèce méditerranéenne du genre <i>Munna</i> (Isopoda Asellota). <em>Bulletin du Museum d'Histoire Naturelle de Marseille.</em> 8 (2-3): 62-73.","Amar, R.",1948,Une nouvelle espèce méditerranéenne du genre <i>Munna</i> (Isopoda Asellota).,,Bulletin du Museum d'Histoire Naturelle de Marseille,,,8,2-3,62-73,
"Adam, W. (1935). Notes sur les Gastéropodes:4. Sur la présence de <i>Helicella virgata</i> (da Costa 1778) en Belgique [Notes on the gasteropods: 4. On the occurrence of <i>Helicella virgata</i> (da Costa 1778) in Belgium]. <em>Bulletin du Musée Royal d'Histoire Naturelle de Belgique - Mededeelingen van het Koninklijk Natuurhistorisch Museum van België.</em> 11 (38): 1-2.","Adam, W.",1935,Notes sur les Gastéropodes:4. Sur la présence de <i>Helicella virgata</i> (da Costa 1778) en Belgique [Notes on the gasteropods: 4. On the occurrence of <i>Helicella virgata</i> (da Costa 1778) in Belgium],,Bulletin du Musée Royal d'Histoire Naturelle de Belgique - Mededeelingen van het Koninklijk Natuurhistorisch Museum van België,,,11,38,1-2,
"Pastor de Ward, C. T. (1984). Tres especies nuevas de nematodes marinos de vida libre (Chromadoridae y Comesomatidae) para la Ria Deseado, Santa Cruz, Argentina [Three new species of free-living marine nematodes (Chromadoridae and Comesomatidae) from the Ria Deseado, Santa Cruz, Argentina]. <em>Physis, Secc. A B C.</em> 42(102): 39-48.","Pastor de Ward, C. T.",1984,"Tres especies nuevas de nematodes marinos de vida libre (Chromadoridae y Comesomatidae) para la Ria Deseado, Santa Cruz, Argentina [Three new species of free-living marine nematodes (Chromadoridae and Comesomatidae) from the Ria Deseado, Santa Cruz, Argentina]",,"Physis, Secc. A B C",,,42,102,39-48,
"Torigoe K. & Inaba A. (2011). Revision on the classification of Recent Naticidae. <em>Bulletin of the Nishinomiya Shell Museum.</em> 7: 133 + 15 pp., 4 pls.",Torigoe K. & Inaba A.,2011,Revision on the classification of Recent Naticidae,,Bulletin of the Nishinomiya Shell Museum,,,7,,"133 + 15 pp., 4 pls",
"Mees, J.; Dewicke, A.; Hamerlynck, O. (1993). Seasonal Composition and Spatial Distribution of Hyperbenthic Communities Along Estuarine Gradients in the Westerschelde. <em>Netherlands Journal of Aquatic Ecology.</em> 27, 2-4, 359-376.","Mees, J.; Dewicke, A.; Hamerlynck, O.",1993,Seasonal Composition and Spatial Distribution of Hyperbenthic Communities Along Estuarine Gradients in the Westerschelde,,Netherlands Journal of Aquatic Ecology,,,27,2-4,359-376,
"Fricke, R. (1993). Pisces Teleostei: Callionymidae of New Caledonia with descriptions of new species. <em>in: Crosnier, A. (Ed.) Résultats des Campagnes MUSORSTOM 11. Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie.</em> 158: 361-376.","Fricke, R.",1993,Pisces Teleostei: Callionymidae of New Caledonia with descriptions of new species,Résultats des Campagnes MUSORSTOM 11,"Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie",,,158,,361-376,
"Bokn, T.; Lein, T. E. (1978). Long-term changes in fucoid association of the inner Oslofjord, Norway. <em>Norwegian Journal of Botany.</em> 25: 9-14.","Bokn, T.; Lein, T. E.",1978,"Long-term changes in fucoid association of the inner Oslofjord, Norway",,Norwegian Journal of Botany,,,25,,9-14,
"Pérès, J.-M. (1958). Ascidies récoltées sur les côtes méditerranéennes d'Israël. <em>The Bulletin of the Research Council of Israel.</em> 7: 143-150.","Pérès, J.-M.",1958,Ascidies récoltées sur les côtes méditerranéennes d'Israël,,The Bulletin of the Research Council of Israel,,,7,,143-150,
"Turk, T. (2000). The opistobranch mollusks (Cephalaspidea, Saccoglossa, Notaspidea, Anaspidea and Nudibranchia) of the Adriatic Sea with special reference to the Slovenian coast. <em>Annales Series Historia Naturalis.</em> 21: 161-172.","Turk, T.",2000,"The opistobranch mollusks (Cephalaspidea, Saccoglossa, Notaspidea, Anaspidea and Nudibranchia) of the Adriatic Sea with special reference to the Slovenian coast",,Annales Series Historia Naturalis,,,21,,161-172,
"De Smet, W.H.O. (1994). Proales christinae (Rotifera, Proalidae): a new species from the littoral of the North Sea. <em>Belgian Journal of Zoology.</em> 124(1): 21-25.","De Smet, W.H.O.",1994,"Proales christinae (Rotifera, Proalidae): a new species from the littoral of the North Sea",,Belgian Journal of Zoology.,,,124,1,21-25,
"d'Hondt, J. L. (1971). Note sur quelques gastrotriches Chaetonotidae. <em>Bulletin de La Société zoologique de France.</em> 96(2): 215-235; 1971.","d'Hondt, J. L.",1971,Note sur quelques gastrotriches Chaetonotidae.,,Bulletin de La Société zoologique de France,,,96,2,215-235,
"(2010). Status of species and habitats. Indicators for the Scheldt estuary. <em>Commissioned by the Maritime Access Division, project group EcoWaMorSe, Flemish-Dutch Scheldt Commission. VLIZ Information Sheets, 226. Flanders Marine Institute (VLIZ): Oostende.</em> 14 pp.",,2010,"Status of species and habitats. Indicators for the Scheldt estuary. Commissioned by the Maritime Access Division, project group EcoWaMorSe, Flemish-Dutch Scheldt Commission.",, VLIZ Information Sheets,Flanders Marine Institute (VLIZ),Oostende,226,,14,
"Derycke, S.; Backeljau, T.; Vlaeminck, C.; Vierstraete, A.; Vanfleteren, J.; Vincx, M.; Moens, T. (2007). Spatiotemporal analysis of population genetic structure in Geomonhystera disjuncta (Nematoda, Monhysteridae) reveals high levels of molecular diversity. <em>Marine Biology.</em> 151(5): 1799-1812.","Derycke, S.; Backeljau, T.; Vlaeminck, C.; Vierstraete, A.; Vanfleteren, J.; Vincx, M.; Moens, T.",2007,"Spatiotemporal analysis of population genetic structure in Geomonhystera disjuncta (Nematoda, Monhysteridae) reveals high levels of molecular diversity",,Marine Biology,,,151,5,1799-1812,10.1007/s00227-007-0609-0
"Mifsud, C.; Ovalis, P. (2003). A note on new discoveries and the distribution of a few Mollusca from the Eastern Mediterranean. <em>La Conchiglia.</em> 306: 20-25.","Mifsud, C.; Ovalis, P.",2003,A note on new discoveries and the distribution of a few Mollusca from the Eastern Mediterranean,,La Conchiglia,,,306,,20-25,
"Van Soest, R.W.M.; Desqueyroux-Faúndez, R.; Wright, A.D.; König, G.M. (1996). <i>Cymbastela hooperi</i> sp. nov. (Halichondrida: Axinellidae) from the Great Barrier Reef, Australia. <i>In</i>: Willenz, P. (Ed.), Recent Advances in Sponge Biodiversity Inventory and Documentation. <em>Bulletin de l'Institut royal des Sciences naturelles de Belgique. Biologie.</em> 66 (supplement): 103-108.","Van Soest, R.W.M.; Desqueyroux-Faúndez, R.; Wright, A.D.; König, G.M.",1996,"<i>Cymbastela hooperi</i> sp. nov. (Halichondrida: Axinellidae) from the Great Barrier Reef, Australia. <i>In</i>: Willenz, P. (Ed.), Recent Advances in Sponge Biodiversity Inventory and Documentation.",,Bulletin de l’Institut royal des Sciences naturelles de Belgique. Biologie,,,66,supplement,103-108,
"Marcus, Er. (1954). Turbellaria. Reports of the Lund University Expedition 1948-49. <em>Kungl Fysiograf Saellsk Handl NF.</em> 64(13): 115.","Marcus, Er.",1954,Turbellaria. Reports of the Lund University Expedition 1948-49.,,Kungl Fysiograf Saellsk Handl NF,,,64,13,115,
"Elofson, O. (1941). Zur Kenntnis der marinen Ostracoden Schwedens mit besonderer Beruecksichtigung des Skagerraks. <em>Zoologiska Bildrag från Uppsala.</em> 19: 215-534.","Elofson, O.",1941,Zur Kenntnis der marinen Ostracoden Schwedens mit besonderer Beruecksichtigung des Skagerraks,,Zoologiska Bildrag från Uppsala,,,19,,215-534,
"Wieser, W. (1955). A collection of marine nematodes from Japan. <em>Publ. Seto Mar. Biol. Lab.</em> IV (2-3): 159-181.","Wieser, W.",1955,A collection of marine nematodes from Japan,,Publ. Seto Mar. Biol. Lab.,,,IV,2-3,159-181,
"Gourbault, N.; Vincx, M. (1990). Chromadorida (Nematoda) from Guadeloupe and Polynesia with evidence of intersexuality. <em>Zoologica Scripta.</em> 19(1): 31-37.","Gourbault, N.; Vincx, M.",1990,Chromadorida (Nematoda) from Guadeloupe and Polynesia with evidence of intersexuality,,Zoologica Scripta,,,19,1,31-37,10.1111/j.1463-6409.1990.tb00238.x
