String,Authors,Year,Title,Book,Series,Publisher,City,Volume,Issue,Pagination
"De Troch, M.; Van Gansbeke, D.; Vincx, M. (2006). Resource availability and meiofauna in sediment of tropical seagrass beds: Local versus global trends. <em>Marine Environmental Research.</em> 61(1): 59-73.","De Troch, M.; Van Gansbeke, D.; Vincx, M.",2006,Resource availability and meiofauna in sediment of tropical seagrass beds: Local versus global trends,,Marine Environmental Research,,,61,1,59-73
"Gheskiere, T.; Vincx, M.; Pison, G.; Degraer, S. (2006). Are strandline meiofaunal assemblages affected by a once-only mechanical beach cleaning? Experimental findings. <em>Marine Environmental Research.</em> 61(3): 245-264.","Gheskiere, T.; Vincx, M.; Pison, G.; Degraer, S.",2006,Are strandline meiofaunal assemblages affected by a once-only mechanical beach cleaning? Experimental findings,,Marine Environmental Research,,,61,3,245-264
"Gheerardyn, H., F. Fiers, M. Vincx & M. Detroch. (2006). Paralaophonte harpagone sp. n. (Copepoda: Harpacticoida), a laophontid with an extremely specialised maxilliped. <em>Organisms Diversity & Evolution.</em> 6(4): 323-324.","Gheerardyn, H., F. Fiers, M. Vincx & M. Detroch",2006,"Paralaophonte harpagone sp. n. (Copepoda: Harpacticoida), a laophontid with an extremely specialised maxilliped",,Organisms Diversity & Evolution,,,6,4,323-324
"Verween, A.; Kerckhof, F.; Vincx, M.; Degraer, S. (2006). First European record of the invasive brackish water clam Rangia cuneata (G.B Sowerby I, 1831) (Mollusca: Bivalvia). <em>Aquatic Invasions.</em> 1(4): 198-203.","Verween, A.; Kerckhof, F.; Vincx, M.; Degraer, S.",2006,"First European record of the invasive brackish water clam Rangia cuneata (G.B Sowerby I, 1831) (Mollusca: Bivalvia).",,Aquatic Invasions,,,1,4,198-203
"Derycke, S.; Backeljau, T.; Vlaeminck, C.; Vierstraete, A.; Vanfleteren, J.; Vincx, M.; Moens, T. (2006). Seasonal dynamics of population genetic structure in cryptic taxa of the Pellioditis marina complex (Nematoda: Rhabditida). <em>Genetica.</em> 128(1-3): 307-321.","Derycke, S.; Backeljau, T.; Vlaeminck, C.; Vierstraete, A.; Vanfleteren, J.; Vincx, M.; Moens, T.",2006,Seasonal dynamics of population genetic structure in cryptic taxa of the Pellioditis marina complex (Nematoda: Rhabditida),,Genetica,,,128,1-3,307-321
"Ahn, K. (2006). Replacement Name for the Genus Moorea Ahn (Coleoptera: Staphylinidae). The Coleopterists Bulletin. 60(1): 36-36.","Ahn, K.",2006,Replacement Name for the Genus Moorea Ahn (Coleoptera: Staphylinidae),,The Coleopterists Bulletin,,,60,1,36-36
"Derycke, S.; Backeljau, T.; Vlaeminck, C.; Vierstraete, A.; Vanfleteren, J.; Vincx, M.; Moens, T. (2007). Spatiotemporal analysis of population genetic structure in Geomonhystera disjuncta (Nematoda, Monhysteridae) reveals high levels of molecular diversity. <em>Marine Biology.</em> 151(5): 1799-1812.","Derycke, S.; Backeljau, T.; Vlaeminck, C.; Vierstraete, A.; Vanfleteren, J.; Vincx, M.; Moens, T.",2007,"Spatiotemporal analysis of population genetic structure in Geomonhystera disjuncta (Nematoda, Monhysteridae) reveals high levels of molecular diversity",,Marine Biology,,,151,5,1799-1812
"Ashton, G. V.; Willis, K. J.; Cook, E. J.; Burrows, M. (2007). Distribution of the introduced amphipod, Caprella mutica Schurin, 1935 (Amphipoda: Caprellida: Caprellidae) on the west coast of Scotland and a review of its global distribution. <em>Hydrobiologia.</em> 590(1): 31-41.","Ashton, G. V.; Willis, K. J.; Cook, E. J.; Burrows, M.",2007,"Distribution of the introduced amphipod, Caprella mutica Schurin, 1935 (Amphipoda: Caprellida: Caprellidae) on the west coast of Scotland and a review of its global distribution",,Hydrobiologia,,,590,1,31-41
"Gheerardyn, H., M. De Troch, M. Vincx & F. Fiers. (2007). Spiniferaphonte, a new genus of Laophontidae (Copepoda: Harpacticoida), with notes on the occurrence of processes on the caudal rami. <em>Journal of Crustacean Biology.</em> 27(2): 309-318.","Gheerardyn, H., M. De Troch, M. Vincx & F. Fiers",2007,"Spiniferaphonte, a new genus of Laophontidae (Copepoda: Harpacticoida), with notes on the occurrence of processes on the caudal rami.",,Journal of Crustacean Biology,,,27,2,309-318
"Sebastian, S.; Raes, M.; De Mesel, I.; Vanreusel, A. (2007). Comparison of the nematode fauna from the Weddell Sea Abyssal Plain with two North Atlantic abyssal sites. <em>Deep Sea Research Part II: Topical Studies in Oceanography.</em> 54(16-17): 1727-1736.","Sebastian, S.; Raes, M.; De Mesel, I.; Vanreusel, A.",2007,Comparison of the nematode fauna from the Weddell Sea Abyssal Plain with two North Atlantic abyssal sites,,Deep Sea Research Part II: Topical Studies in Oceanography,,,54,16-17,1727-1736
"De Troch, M.., M. Grego, V.A. Chepurnov & M. Vincx. (2007). Food patch size, food concentration and grazing efficiency of the harpacticoid Paramphiascella fulvofasciata (Crustacea, Copepoda). <em>Journal of Experimental Marine Biology and Ecology.</em> 343(2): 210-216.","De Troch, M.., M. Grego, V.A. Chepurnov & M. Vincx",2007,"Food patch size, food concentration and grazing efficiency of the harpacticoid Paramphiascella fulvofasciata (Crustacea, Copepoda).",,Journal of Experimental Marine Biology and Ecology,,,343,2,210-216
"Derycke, S.; Hendrickx, F.; Backeljau, T.; Dhondt, S.; Camphijn, L.; Vincx, M.; Moens, T. (2007). Effects of sublethal abiotic stressors on population growth and genetic diversity of Pellioditis marina (Nematoda) from the Westerschelde estuary. <em>Aquatic Toxicology.</em> 82(2): 110-119.","Derycke, S.; Hendrickx, F.; Backeljau, T.; Dhondt, S.; Camphijn, L.; Vincx, M.; Moens, T.",2007,Effects of sublethal abiotic stressors on population growth and genetic diversity of Pellioditis marina (Nematoda) from the Westerschelde estuary,,Aquatic Toxicology,,,82,2,110-119
"Van Soest, R.W.M.; De Kluijver, M.J.; Van Bragt, P.H.; Faasse, M.; Nijland, R.; Beglinger, E.J.; de Weerdt, W.H.; de Voogd, N.J. (2007). Sponge invaders in Dutch coastal waters. <em>Journal of the Marine Biological Association of the United Kingdom.</em> 87 (6): 1733-1748.","Van Soest, R.W.M.; De Kluijver, M.J.; Van Bragt, P.H.; Faasse, M.; Nijland, R.; Beglinger, E.J.; de Weerdt, W.H.; de Voogd, N.J.",2007,Sponge invaders in Dutch coastal waters,,Journal of the Marine Biological Association of the United Kingdom,,,87,6,1733-1748
"Cevik, C.; Yokes, M.B.; Cavas, L.; Erkol, L.I.; Derici, O.B.; Verlaque, M. (2007). First report of <i>Caulerpa taxifolia</i> (Bryopsidales, Chlorophyta) on the Levantine coast (Turkey, Eastern Mediterranean). <em>Estuarine, Coastal and Shelf Science.</em> 74(3): 549-556.","Cevik, C.; Yokes, M.B.; Cavas, L.; Erkol, L.I.; Derici, O.B.; Verlaque, M.",2007,"First report of <i>Caulerpa taxifolia</i> (Bryopsidales, Chlorophyta) on the Levantine coast (Turkey, Eastern Mediterranean)",,"Estuarine, Coastal and Shelf Science",,,74,3,549-556
"Ghekiere, A.; Fockedey, N.; Verslycke, T.; Vincx, M.; Janssen, C. (2007). Marsupial development in the mysid Neomysis integer (Crustacea: Mysidacea) to evaluate the effects of endocrine-disrupting chemicals. <em>Ecotoxicology and Environmental Safety.</em> 66(1): 9-15.","Ghekiere, A.; Fockedey, N.; Verslycke, T.; Vincx, M.; Janssen, C.",2007,Marsupial development in the mysid Neomysis integer (Crustacea: Mysidacea) to evaluate the effects of endocrine-disrupting chemicals,,Ecotoxicology and Environmental Safety,,,66,1,9-15
"Derycke, S.; Fonseca, G.; Vierstraete, A.; Vanfleteren, J.; Vincx, M.; Moens, T. (2008). Disentangling taxonomy within the Rhabditis (Pellioditis) marina (Nematoda, Rhabditidae) species complex using molecular and morhological tools. <em>Zoological Journal of the Linnean Society.</em> 152(1): 1-15.","Derycke, S.; Fonseca, G.; Vierstraete, A.; Vanfleteren, J.; Vincx, M.; Moens, T.",2008,"Disentangling taxonomy within the Rhabditis (Pellioditis) marina (Nematoda, Rhabditidae) species complex using molecular and morhological tools",,Zoological Journal of the Linnean Society,,,152,1,1-15
"Derycke, S.; Remerie, T.; Backeljau, T.; Vierstraete, A.; Vanfleteren, J.; Vincx, M.; Moens, T. (2008). Phylogeography of the Rhabditis ( Pellioditis ) marina species complex: evidence for long-distance dispersal, and for range expansions and restricted gene flow in the northeast Atlantic. <em>Molecular Ecology.</em> 17(14): 3306-3322.","Derycke, S.; Remerie, T.; Backeljau, T.; Vierstraete, A.; Vanfleteren, J.; Vincx, M.; Moens, T.",2008,"Phylogeography of the Rhabditis ( Pellioditis ) marina species complex: evidence for long-distance dispersal, and for range expansions and restricted gene flow in the northeast Atlantic",,Molecular Ecology,,,17,14,3306-3322
"Munilla, T.; Soler Membrives, A. (2008). Check-list of the pycnogonids from Antarctic and sub-Antarctic waters: zoogeographic implications. <em>Antarctic Science.</em> 21(02): 99.","Munilla, T.; Soler Membrives, A.",2008,Check-list of the pycnogonids from Antarctic and sub-Antarctic waters: zoogeographic implications,,Antarctic Science,,,21,2,99
"Franco, M.; Steyaert, M.; Cabral, H.; Tenreiro, R.; Chambel, L.; Vincx, M.; Costa, M.; Vanaverbeke, J. (2008). Impact of discards of beam trawl fishing on the nematode community from the Tagus estuary (Portugal). <em>Marine Pollution Bulletin.</em> 56(10): 1728-1736.","Franco, M.; Steyaert, M.; Cabral, H.; Tenreiro, R.; Chambel, L.; Vincx, M.; Costa, M.; Vanaverbeke, J.",2008,Impact of discards of beam trawl fishing on the nematode community from the Tagus estuary (Portugal),,Marine Pollution Bulletin,,,56,10,1728-1736
"Park, J.; Jeon, M.; Ahn, K. (2008). Description of Heterota sunjaei sp. nov. from Korean seashores and an annotated catalog of the littoral genus Heterota (Coleoptera: Staphylinidae: Aleocharinae). Can Entomol. 140(01): 111-118.","Park, J.; Jeon, M.; Ahn, K.",2008,Description of Heterota sunjaei sp. nov. from Korean seashores and an annotated catalog of the littoral genus Heterota (Coleoptera: Staphylinidae: Aleocharinae),,Can Entomol,,,140,01,111-118
"Sak, S., S. Karaytug & R. Huys. (2008). Ciplakastacus gen. nov., a primitive genus of Leptastacidae (Copepoda, Harpacticoida) from the Mediterranean coast of Turkey. <em>Journal of Natural History.</em> 42(37-38): 2443-2459.","Sak, S., S. Karaytug & R. Huys",2008,"Ciplakastacus gen. nov., a primitive genus of Leptastacidae (Copepoda, Harpacticoida) from the Mediterranean coast of Turkey",,Journal of Natural History,,,42,37-38,2443-2459
"Abollo, E.; Ramilo, A.; Casas, S. M.; Comesaña, P.; Cao, A.; Carballal, M. J.; Villalba, A. (2008). First detection of the protozoan parasite <i>Bonamia exitiosa</i> (Haplosporidia) infecting flat oyster <i>Ostrea edulis</i> grown in European waters. <em>Aquaculture.</em> 274: 201-207.","Abollo, E.; Ramilo, A.; Casas, S. M.; Comesaña, P.; Cao, A.; Carballal, M. J.; Villalba, A.",2008,First detection of the protozoan parasite <i>Bonamia exitiosa</i> (Haplosporidia) infecting flat oyster <i>Ostrea edulis</i> grown in European waters,,Aquaculture,,,274,,201-207
"Moodley, L.; Steyaert, M.; Epping, E.; Middelburg, J. J.; Vincx, M.; Van Avesaath, P.; Moens, T.; Soetaert, K. (2008). Biomass-specific respiration rates of benthic meiofauna: Demonstrating a novel oxygen micro-respiration system. <em>Journal of Experimental Marine Biology and Ecology.</em> 357(1): 41-47.","Moodley, L.; Steyaert, M.; Epping, E.; Middelburg, J. J.; Vincx, M.; Van Avesaath, P.; Moens, T.; Soetaert, K.",2008,Biomass-specific respiration rates of benthic meiofauna: Demonstrating a novel oxygen micro-respiration system,,Journal of Experimental Marine Biology and Ecology,,,357,1,41-47
"Gheerardyn, H., M. De Troch, S. Ndaro, M. Raes, M. Vincx & A. Vanreusel. (2008). Community structure and microhabitat preferences of harpacticoid copepods in a tropical reef lagoon (Zanzibar Island, Tanzania). <em>Journal of the Marine Biological Association of the UK.</em> 88(4): 747-758.","Gheerardyn, H., M. De Troch, S. Ndaro, M. Raes, M. Vincx & A. Vanreusel",2008,"Community structure and microhabitat preferences of harpacticoid copepods in a tropical reef lagoon (Zanzibar Island, Tanzania).",,Journal of the Marine Biological Association of the UK,,,88,4,747-758
"Hyams-kaphzan, O.; Almogi-labin, A.; Sivan, D.; Benjamini, C. (2008). Benthic foraminifera assemblage change along the southeastern Mediterranean inner shelf due to fall-off of Nile-derived siliciclastics. <i>Neues Jahrbuch für Geologie und Paläontologie - Abhandlungen</i>. 248(3): 315-344.","Hyams-kaphzan, O.; Almogi-labin, A.; Sivan, D.; Benjamini, C.",2008,Benthic foraminifera assemblage change along the southeastern Mediterranean inner shelf due to fall-off of Nile-derived siliciclastics,,Neues Jahrbuch für Geologie und Paläontologie - Abhandlungen,,,248,3,315-344
"De Troch, M., J.L. Melgo-Ebarle,  L. Angsinco-Jimenez, H. Gheerardyn & M. Vincx. (2008). Diversity and habitat selectivity of harpacticoid copepods from sea grass beds in Pujada Bay, the Philippines. <em>Journal of the Marine Biological Association of the United Kingdom.</em> 88(3):515-526.","De Troch, M., J.L. Melgo-Ebarle,  L. Angsinco-Jimenez, H. Gheerardyn & M. Vincx",2008,"Diversity and habitat selectivity of harpacticoid copepods from sea grass beds in Pujada Bay, the Philippines",,Journal of the Marine Biological Association of the United Kingdom,,,88,3,515-526
"Franco, M.; Soetaert, K.; Costa, M.; Vincx, M.; Vanaverbeke, J. (2008). Uptake of phytodetritus by meiobenthos using 13C labelled diatoms and Phaeocystis in two contrasting sediments from the North Sea. <em>Journal of Experimental Marine Biology and Ecology.</em> 362(1): 1-8.","Franco, M.; Soetaert, K.; Costa, M.; Vincx, M.; Vanaverbeke, J.",2008,Uptake of phytodetritus by meiobenthos using 13C labelled diatoms and Phaeocystis in two contrasting sediments from the North Sea,,Journal of Experimental Marine Biology and Ecology,,,362,1,1-8
"Franco, M. A.; Soetaert, K.; Van Oevelen, D.; Van Gansbeke, D.; Costa, M.; Vincx, M.; Vanaverbeke, J. (2008). Density, vertical distribution and trophic responses of metazoan meiobenthos to phytoplankton deposition in contrasting sediment types. <em>Marine Ecology Progress Series.</em> 358: 51-62.","Franco, M. A.; Soetaert, K.; Van Oevelen, D.; Van Gansbeke, D.; Costa, M.; Vincx, M.; Vanaverbeke, J.",2008,"Density, vertical distribution and trophic responses of metazoan meiobenthos to phytoplankton deposition in contrasting sediment types",,Marine Ecology Progress Series,,,358,,51-62
"Van Hoey, G.; Guilini, K.; Rabaut, M.; Vincx, M.; Degraer, S. (2008). Ecological implications of the presence of the tube-building polychaete Lanice conchilega on soft-bottom benthic ecosystems. <em>Marine Biology.</em> 154(6): 1009-1019.","Van Hoey, G.; Guilini, K.; Rabaut, M.; Vincx, M.; Degraer, S.",2008,Ecological implications of the presence of the tube-building polychaete Lanice conchilega on soft-bottom benthic ecosystems,,Marine Biology,,,154,6,1009-1019
"Fonseca, G.; Derycke, S.; Moens, T. (2008). Integrative taxonomy in two free-living nematode species complexes. <em>Biological Journal of the Linnean Society.</em> 94(4): 737-753.","Fonseca, G.; Derycke, S.; Moens, T.",2008,Integrative taxonomy in two free-living nematode species complexes,,Biological Journal of the Linnean Society,,,94,4,737-753
"Lipej, L.; Mavrič, B.; Žiža, V.; Dulčić, J. (2008). The largescaled terapon Terapon theraps : a new Indo-Pacific fish in the Mediterranean Sea. <em>Journal of Fish Biology.</em> 73(7): 1819-1822.","Lipej, L.; Mavrič, B.; Žiža, V.; Dulčić, J.",2008,The largescaled terapon Terapon theraps : a new Indo-Pacific fish in the Mediterranean Sea,,Journal of Fish Biology,,,73,7,1819-1822
"Golani, D.; Appelbaum-Golani, B.; Gon, O. (2008). <i>Apogon smithi</i> (Kotthaus, 1970) (Teleostei: Apogonidae), a Red Sea cardinalfish colonizing the Mediterranean Sea. <em>Journal of Fish Biology.</em> 72(6): 1534-1538.","Golani, D.; Appelbaum-Golani, B.; Gon, O.",2008,"<i>Apogon smithi</i> (Kotthaus, 1970) (Teleostei: Apogonidae), a Red Sea cardinalfish colonizing the Mediterranean Sea",,Journal of Fish Biology,,,72,6,1534-1538
"Vanaverbeke, J.; Vincx, M. (2008). Short-term changes in nematode communities from an abandoned intense sand extraction site on the Kwintebank (Belgian Continental Shelf) two years post-cessation. <em>Marine Environmental Research.</em> 66(2): 240-248.","Vanaverbeke, J.; Vincx, M.",2008,Short-term changes in nematode communities from an abandoned intense sand extraction site on the Kwintebank (Belgian Continental Shelf) two years post-cessation,,Marine Environmental Research,,,66,2,240-248
"Rabaut, Marijn; Vincx, Magda; Degraer, Steven. (2008). Do <i>Lanice conchilega</i> (sandmason) aggregations classify as reefs? Quantifying habitat modifying effects. <em>Helgoland Marine Research.</em> 63(1): 37-46.","Rabaut, Marijn; Vincx, Magda; Degraer, Steven",2008,Do <i>Lanice conchilega</i> (sandmason) aggregations classify as reefs? Quantifying habitat modifying effects,,Helgoland Marine Research,,,63,1,37-46
"De Troch, M.; Chepurnov, V.; Vincx, M.; Ólafsson, E. (2008). The effect of Fucus vesiculosus on the grazing of harpacticoid copepods on diatom biofilms. <em>Journal of Sea Research.</em> 60(3): 139-143.","De Troch, M.; Chepurnov, V.; Vincx, M.; Ólafsson, E.",2008,The effect of Fucus vesiculosus on the grazing of harpacticoid copepods on diatom biofilms,,Journal of Sea Research,,,60,3,139-143
"Rabaut, M.; Braeckman, U.; Hendrickx, F.; Vincx, M.; Degraer, S. (2008). Experimental beam-trawling in Lanice conchilega reefs: Impact on the associated fauna. <em>Fisheries Research.</em> 90(1-3): 209-216.","Rabaut, M.; Braeckman, U.; Hendrickx, F.; Vincx, M.; Degraer, S.",2008,Experimental beam-trawling in Lanice conchilega reefs: Impact on the associated fauna,,Fisheries Research,,,90,1-3,209-216
"Rabaut, M.; Degraer, S.; Schrijvers, J.; Derous, S.; Bogaert, D.; Maes, F.; Vincx, M.; Cliquet, A. (2009). Policy analysis of the ‘MPA-process' in temperate continental shelf areas. <em>Aquatic Conservation: Marine and Freshwater Ecosystems.</em> 19(5): 596-608.","Rabaut, M.; Degraer, S.; Schrijvers, J.; Derous, S.; Bogaert, D.; Maes, F.; Vincx, M.; Cliquet, A.",2009,Policy analysis of the ‘MPA-process' in temperate continental shelf areas,,Aquatic Conservation: Marine and Freshwater Ecosystems,,,19,5,596-608
"Ingels, J.; Kiriakoulakis, K.; Wolff, G. A.; Vanreusel, A. (2009). Nematode diversity and its relation to the quantity and quality of sedimentary organic matter in the deep Nazaré Canyon, Western Iberian Margin. <em>Deep Sea Research Part I: Oceanographic Research Papers.</em> 56(9): 1521-1539.","Ingels, J.; Kiriakoulakis, K.; Wolff, G. A.; Vanreusel, A.",2009,"Nematode diversity and its relation to the quantity and quality of sedimentary organic matter in the deep Nazaré Canyon, Western Iberian Margin",,Deep Sea Research Part I: Oceanographic Research Papers,,,56,9,1521-1539
"Galassi, D.M.P., R. Huys & J.W. Reid. (2009). Diversity, ecology and evolution of groundwater copepods. <em>Freshwater Biology.</em> 54(4): 691-708.","Galassi, D.M.P., R. Huys & J.W. Reid",2009,"Diversity, ecology and evolution of groundwater copepods.",,Freshwater Biology,,,54,4,691-708
"Bussotti, S.; Guidetti, P. (2009). Do Mediterranean fish assemblages associated with marine caves and rocky cliffs differ?. <em>Estuarine, Coastal and Shelf Science.</em> 81(1): 65-73.","Bussotti, S.; Guidetti, P.",2009,Do Mediterranean fish assemblages associated with marine caves and rocky cliffs differ?,,"Estuarine, Coastal and Shelf Science",,,81,1,65-73
"Rosso, A. (2009). The first catenicellid (Bryozoa, Ascophora) from Mediterranean shallow waters: a hidden resident or a new immigrant. <em>Journal of Natural History.</em> 43(35): 2209-2226.","Rosso, A.",2009,"The first catenicellid (Bryozoa, Ascophora) from Mediterranean shallow waters: a hidden resident or a new immigrant",,Journal of Natural History,,,43,35,2209-2226
"Armenteros, M.; Ruiz-Abierno, A.; Vincx, M.; Decraemer, W. (2009). A morphometric analysis of the genus Terschellingia (Nematoda: Linhomoeidae) with redefinition of the genus and key to the species. <em>Journal of the Marine Biological Association of the United Kingdom.</em> 89(6): 1257-1267.","Armenteros, M.; Ruiz-Abierno, A.; Vincx, M.; Decraemer, W.",2009,A morphometric analysis of the genus Terschellingia (Nematoda: Linhomoeidae) with redefinition of the genus and key to the species,,Journal of the Marine Biological Association of the United Kingdom,,,89,6,1257-1267
"Huys, R. & W. Lee. (2009). Proposal of Marbefia, gen. n. and Inermiphonte, gen. n., including updated keys to the species of Pseudonychocamptus Lang, 1944 and Paralaophonte Lang, 1948 (Copepoda, Harpacticoida, Laophontidae). <em>ZooKeys.</em> 23: 1-38.","Huys, R. & W. Lee",2009,"Proposal of Marbefia, gen. n. and Inermiphonte, gen. n., including updated keys to the species of Pseudonychocamptus Lang, 1944 and Paralaophonte Lang, 1948 (Copepoda, Harpacticoida, Laophontidae)",,ZooKeys,,,23,,1-38
"Heiner, I.; Boesgaard, T. M.; Kristensen, R. M. (2009). First time discovery of Loricifera from Australian waters and marine caves. <em>Marine Biology Research.</em> 5(6): 529-546.","Heiner, I.; Boesgaard, T. M.; Kristensen, R. M.",2009,First time discovery of Loricifera from Australian waters and marine caves,,Marine Biology Research,,,5,6,529-546
"Van Colen, C.; Montserrat, F.; Verbist, K.; Vincx, M.; Steyaert, M.; Vanaverbeke, J.; Herman, P.; Degraer, S.; Ysebaert, T. (2009). Tidal flat nematode responses to hypoxia and subsequent macrofauna-mediated alterations of sediment properties. <em>Marine Ecology Progress Series.</em> 381: 189-197.","Van Colen, C.; Montserrat, F.; Verbist, K.; Vincx, M.; Steyaert, M.; Vanaverbeke, J.; Herman, P.; Degraer, S.; Ysebaert, T.",2009,Tidal flat nematode responses to hypoxia and subsequent macrofauna-mediated alterations of sediment properties,,Marine Ecology Progress Series,,,381,,189-197
"Gheerardyn, H., M. De Troch, M. Vincx & A. Vanreusel. (2009). Diversity and community structure of harpacticoid copepods associated with cold-water coral substrates in the Porcupine Seabight (North-East Atlantic). <em>Helgoland Marine Research.</em> 64(1): 53-62.","Gheerardyn, H., M. De Troch, M. Vincx & A. Vanreusel",2009,Diversity and community structure of harpacticoid copepods associated with cold-water coral substrates in the Porcupine Seabight (North-East Atlantic),,Helgoland Marine Research,,,64,1,53-62
"Harmelin, J.-G.; Bitar, G.; Zibrowius, H. (2009). Smittinidae (Bryozoa, Cheilostomata) from coastal habitats of Lebanon (Mediterranean sea), including new and non-indigenous species. <em>Zoosystema.</em> 31(1): 163-187.","Harmelin, J.-G.; Bitar, G.; Zibrowius, H.",2009,"Smittinidae (Bryozoa, Cheilostomata) from coastal habitats of Lebanon (Mediterranean sea), including new and non-indigenous species",,Zoosystema,,,31,1,163-187
"El-Rashidy, H.H. & G.A. Boxshall. (2009). Parasites Gained: Alien Parasites Switching to Native Hosts. <em>Journal of Parasitology.</em> 95(6): 1326-1329.","El-Rashidy, H.H. & G.A. Boxshall",2009,Parasites Gained: Alien Parasites Switching to Native Hosts.,,Journal of Parasitology,,,95,6,1326-1329
"Gheerardyn, H., M. De Troch, M. Vincx & A. Vanreusel. (2009). Harpacticoida (Crustacea: Copepoda) associated with cold-water coral substrates in the Porcupine Seabight (NE Atlantic): species composition, diversity and reflections on the origin of the fauna. <em>Scientia Marina.</em> 73(4): 747-760.","Gheerardyn, H., M. De Troch, M. Vincx & A. Vanreusel",2009,"Harpacticoida (Crustacea: Copepoda) associated with cold-water coral substrates in the Porcupine Seabight (NE Atlantic): species composition, diversity and reflections on the origin of the fauna",,Scientia Marina,,,73,4,747-760
"Aydin, I.; Bakir, K.; Galili, B.S. (2009). The first record of the Jinga shrimp, <i>Metapenaeus affinis</i> (H. Milne Edwards, 1837) (Decapoda, Penaeidae) from the Mediterranean Sea. <em>Crustaceana.</em> 82(8): 1091-1095.","Aydin, I.; Bakir, K.; Galili, B.S.",2009,"The first record of the Jinga shrimp, <i>Metapenaeus affinis</i> (H. Milne Edwards, 1837) (Decapoda, Penaeidae) from the Mediterranean Sea",,Crustaceana,,,82,8,1091-1095
"Merckx, B.; Goethals, P.; Steyaert, M.; Vanreusel, A.; Vincx, M.; Vanaverbeke, J. (2009). Predictability of marine nematode biodiversity. <em>Ecological Modelling.</em> 220(11): 1449-1458.","Merckx, B.; Goethals, P.; Steyaert, M.; Vanreusel, A.; Vincx, M.; Vanaverbeke, J.",2009,Predictability of marine nematode biodiversity,,Ecological Modelling,,,220,11,1449-1458
"Schockaert, E. R.; Curini-Galletti, M.; De Ridder, W.; Volonterio, O.; Artois, T. (2009). A new family of lithophoran Proseriata (Platyhelminthes), with the description of seven new species from the Indo-Pacific and South America, and the proposal of three new genera. <em>Zoological Journal of the Linnean Society.</em> 155(4): 759-773.","Schockaert, E. R.; Curini-Galletti, M.; De Ridder, W.; Volonterio, O.; Artois, T.",2009,"A new family of lithophoran Proseriata (Platyhelminthes), with the description of seven new species from the Indo-Pacific and South America, and the proposal of three new genera",,Zoological Journal of the Linnean Society,,,155,4,759-773
"Follesa, M. C.; Mulas, A.; Porcu, C.; Cau, A. (2009). First record of Chilomycterus reticulatus (Osteichthyes: Diodontidae) in the Mediterranean Sea. <em>Journal of Fish Biology.</em> 74(7): 1677-1681.","Follesa, M. C.; Mulas, A.; Porcu, C.; Cau, A.",2009,First record of Chilomycterus reticulatus (Osteichthyes: Diodontidae) in the Mediterranean Sea,,Journal of Fish Biology,,,74,7,1677-1681
"Dalyan, C.; Eryilmaz, L. (2009). The Arabian scad <i>Trachurus indicus</i>, a new Indo‐Pacific species in the Mediterranean Sea. <em>Journal of Fish Biology.</em> 74(7): 1615-1619.","Dalyan, C.; Eryilmaz, L.",2009,"The Arabian scad <i>Trachurus indicus</i>, a new Indo‐Pacific species in the Mediterranean Sea",,Journal of Fish Biology,,,74,7,1615-1619
"Moreira, J.; Díaz-Agras, G.; Candás, M.; Señarís, M. P.; Urgorri, V. (2009). Leptostracans (Crustacea: Phyllocarida) from the Ría de Ferrol (Galicia, NW Iberian Peninsula), with description of a new species of <em>Nebalia</em> Leach, 1814. <em>Scientia Marina.</em> 73(2): 269-285.","Moreira, J.; Díaz-Agras, G.; Candás, M.; Señarís, M. P.; Urgorri, V.",2009,"Leptostracans (Crustacea: Phyllocarida) from the Ría de Ferrol (Galicia, NW Iberian Peninsula), with description of a new species of <em>Nebalia</em> Leach, 1814",,Scientia Marina,,,73,2,269-285
"Kerckhof, F. (2001). Het mosdiertje <i>Bugula simplex</i> Hincks, 1886 (Bryozoa, Cheilostomatida) nieuw voor de Belgische fauna [The bryozoan <i>Bugula simplex</i> Hincks, 1886 (Bryozoa, Cheilostomatida) new species for the Belgian fauna]. <em>De Strandvlo.</em> 21(1): 36-39.","Kerckhof, F.",2001,"Het mosdiertje <i>Bugula simplex</i> Hincks, 1886 (Bryozoa, Cheilostomatida) nieuw voor de Belgische fauna [The bryozoan <i>Bugula simplex</i> Hincks, 1886 (Bryozoa, Cheilostomatida) new species for the Belgian fauna]",,De Strandvlo,,,21,1,36-39
"Houart, R.; Lan, T. C. (2001). Description of <i>Scabrotrophon chunfui</i> n. sp. (Gastropoda: Muricidae) from Northeast Taiwan and comments on <i>Nipponotrophon</i> Kuroda & Habe, 1971 and <i>Scabrotrophon</i> McLean, 1996. <em>Novapex.</em> 2 (2): 37-42.","Houart, R.; Lan, T. C.",2001,"Description of <i>Scabrotrophon chunfui</i> n. sp. (Gastropoda: Muricidae) from Northeast Taiwan and comments on <i>Nipponotrophon</i> Kuroda & Habe, 1971 and <i>Scabrotrophon</i> McLean, 1996",,Novapex,,,2,2,37-42
