String,Authors,Year,Title,bookTitle,SeriesTitle,publishers,City,Volume,Issue,Pagination
"<b>Buizer, D.A.G.</b> (1977). Schilden van de inktvis<i>Sepiella japonica</i> Sasaki op het strand bij Wijk Aan Zee gevonden. <i>Het Zeepaard 37(1)</i>: 6-9","Buizer, D.A.G.",1977,Schilden van de inktvis<i>Sepiella japonica</i> Sasaki op het strand bij Wijk Aan Zee gevonden,,Het Zeepaard,,,37,1,6-9
"<b>Armenteros, M.; González-Sansón, G.; Lalana, G.</b> (2003). Composición y abundancia del meiobentos en un sector costero del sublitoral de la Habana, Cuba. <i>Rev. Invest. Mar. 24</i>: 3-10","Armenteros, M.; González-Sansón, G.; Lalana, G.",2003,"Composición y abundancia del meiobentos en un sector costero del sublitoral de la Habana, Cuba",,Revista de investigaciones marinas,,,24,,3-10
"<b>Nguyen, L.P.</b> (2002). Temporal evolution of C/N ratio and d<sup>15</sup>N of willow leaves decomposing in Scheldt water. MSc Thesis. Universiteit Antwerpen/Vrije Universiteit Brussel: Brussel.  VII, 70 pp.","Nguyen, L.P.",2002,Temporal evolution of C/N ratio and d<sup>15</sup>N of willow leaves decomposing in Scheldt water,,,"Universiteit Antwerpen, Vrije Universiteit Brussel",Brussel,,,"VII, 70"
"<b>Ax, P.</b> (1956). Les turbellariés des étangs côtiers du littoral méditerranéen de la France Méridionale. <i>Vie et Milieu</i>, 5. [S.n.]: Paris.  215 pp.","Ax, P.",1956,Les turbellariés des étangs côtiers du littoral méditerranéen de la France Méridionale,,Vie et Milieu,,Paris,5,,215
(1927). Statistique des pêches maritimes: Année 1925. <i>Statistique des Pêches Maritimes</i>. [S.n.]: [s.l.].  186 pp.,,1927,Statistique des pêches maritimes: Année 1925,,Statistique des Pêches Maritimes,,,,,186
"(2016). 46<sup>th</sup> WEFTA conference, 12-14 october 2016, Split, Croatia: book of abstracts. [S.n.]: [s.l.]. 199 pp.",,2016,"46<sup>th</sup> WEFTA conference, 12-14 october 2016, Split, Croatia: book of abstracts",,,,,,,199
Journal of International Trade & Economic Development: Abingdon.  ISSN 0963-8199; e-ISSN 1469-9559,,0,Journal of International Trade & Economic Development,,,,Abingdon,,,
"<b>Afdeling Maritieme Toegang</b> (2004). Westerschelde en Zeeschelde: baggerwerken 2004. Vlaamse Overheid; Departement Mobiliteit en Openbare Werken, Afdeling Maritieme Toegang: Antwerpen.  2 + tabellen pp.",Afdeling Maritieme Toegang,2004,Westerschelde en Zeeschelde: baggerwerken 2004,,,"Vlaamse Overheid; Departement Mobiliteit en Openbare Werken, Afdeling Maritieme Toegang",Antwerpen,,,2 + tabellen
"<b>Albano, P.G.</b> (2011). <i>Mimachlamys varia</i> (Mollusca, Bivalvia) epibiontic on <i>Galathea strigosa</i> (Decapoda, Galatheidae) in the North Adriatic Sea. <i>Crustaceana 84(1)</i>: 107-115. <a href=""https://hdl.handle.net/10.1163/001121610x546742"" target=""_blank"">https://hdl.handle.net/10.1163/001121610x546742</a>","Albano, P.G.",2011,"<i>Mimachlamys varia</i> (Mollusca, Bivalvia) epibiontic on <i>Galathea strigosa</i> (Decapoda, Galatheidae) in the North Adriatic Sea",,Crustaceana,,,84,1,107-115
"<b>Bartsch, I.</b> (1997). <i>Copidognathus nautilei</i> (Acari: Halacaridae), a new mite from a hydrothermal vent field in the Mid-Atlantic Ridge. <i>Cah. Biol. Mar. 38(1)</i>: 29-33","Bartsch, I.",1997,"<i>Copidognathus nautilei</i> (Acari: Halacaridae), a new mite from a hydrothermal vent field in the Mid-Atlantic Ridge",,Cahiers de Biologie Marine,,,38,1,29-33
Science Series (Los Angeles). Natural History Museum of Los Angeles County: Los Angeles.  ISSN 0076-0943,,1930,Science Series (Los Angeles),,,Natural History Museum of Los Angeles County,Los Angeles,,,
"<b>McGarr, A.; Vorhis, R.C.</b> (1968). The Alaska earthquake, March 27, 1964: effects on the hydrologic regimen: seismic seiches from the March 1964 Alaska Earthquake. <i>U. S. Geological Survey Professional Paper</i>, 544-E. United States Government Printing Office: Washington.  43 + appendices pp.","McGarr, A.; Vorhis, R.C.",1968,"The Alaska earthquake, March 27, 1964: effects on the hydrologic regimen: seismic seiches from the March 1964 Alaska Earthquake",,U. S. Geological Survey Professional Paper,United States Government Printing Office,Washington,544-E,,43 + appendices
"<b>Chertoprud, E.S.; Garlitska, L.A.; Azovsky, A.L.</b> (2010). Large-scale patterns in marine harpacticoid (Crustacea, Copepoda) diversity and distribution. <i>Mar. Biodiv. 40(4)</i>: 301-315","Chertoprud, E.S.; Garlitska, L.A.; Azovsky, A.L.",2010,"Large-scale patterns in marine harpacticoid (Crustacea, Copepoda) diversity and distribution",,Marine Biodiversity,,,40,4,301-315
"<b>Subelj, L.; Fiala, D.; Bajec, M.</b> (2014). Network-based statistical comparison of citation topology of bibliographic databases. <i>NPG Scientific Reports 4(6496)</i>: 10 pp. <a href=""http://hdl.handle.net/10.1038/srep06496"" target=""_blank"">http://hdl.handle.net/10.1038/srep06496</a>","Subelj, L.; Fiala, D.; Bajec, M.",2014,Network-based statistical comparison of citation topology of bibliographic databases,,Scientific Reports (Nature Publishing Group),,,4,6496,10 pp
"<b>Nash, C.H.; Richardson, J.S.; Hinch, S.G.</b> (1999). Spatial autocorrelation and fish production in freshwaters: a comment on Randall et al. (1995). <i>Can. J. Fish. Aquat. Sci. 56(9)</i>: 1696-1699","Nash, C.H.; Richardson, J.S.; Hinch, S.G.",1999,Spatial autocorrelation and fish production in freshwaters: a comment on Randall et al. (1995),,Canadian Journal of Fisheries and Aquatic Sciences = Journal canadien des sciences halieutiques et aquatiques,,,56,9,1696-1699
"<b>Reeves, R.R.; Smith, B.D.; Kasuya, T.</b> (2000). Biology and conservation of freshwater cetaceans in Asia. <i>Occasional Paper of the IUCN Species Survival Commission</i>, 23. IUCN: Gland. ISBN 2-8317-0513-4. 152 pp.","Reeves, R.R.; Smith, B.D.; Kasuya, T.",2000,Biology and conservation of freshwater cetaceans in Asia,,Occasional Paper of the IUCN Species Survival Commission,IUCN,Gland,23,,152
"<b>Gilles, R.; Péqueux, A.</b> (1977). Effect of salinity on the free amino acids pool of the red alga <i>Porphyridium purpureum</i> (= <i>P. cruentum</i>). <i>Comp. Biochem. Physiol., A. Comp. Physiol. 57(1)</i>: 183-185. <a href=""http://dx.doi.org/10.1016/0300-9629(77)90371-1"" target=""_blank"">dx.doi.org/10.1016/0300-9629(77)90371-1</a>","Gilles, R.; Péqueux, A.",1977,Effect of salinity on the free amino acids pool of the red alga <i>Porphyridium purpureum</i> (= <i>P. cruentum</i>),,Comparative Biochemistry and Physiology. A. Comparative Physiology,,,57,1,183-185
"<b>Ibikunle, O.; Cuthbertson, A.; McCarter, J.; Samsami, F.</b> (2015). Measurement of density and porosity profiles within mixed sediment deposits using an electrical resistivity technique, <b><i>in</i></b>: Toorman, E.A. <i>et al.</i> (Ed.) <i>INTERCOH2015: 13th International Conference on Cohesive Sediment Transport Processes. Leuven, Belgium, 7-11 September 2015. VLIZ Special Publication,</i> 74: pp. 46-48","Ibikunle, O.; Cuthbertson, A.; McCarter, J.; Samsami, F.",2015,Measurement of density and porosity profiles within mixed sediment deposits using an electrical resistivity technique,"INTERCOH2015: 13th International Conference on Cohesive Sediment Transport Processes. Leuven, Belgium, 7-11 September 2015",VLIZ Special Publication,,,,,46-48
(1975). Opbrengsten vorige week. <i>Visserijblad (Oostende) 42(37)</i>: 9,,1975,Opbrengsten vorige week,,Het Visserijblad,,,42,37,9
"<b>Verdonschot, P.F.M.; Wang, H.; Pinder, A.M.; Nijboer, R. (Ed.)</b> (2006). Aquatic oligochaete biology IX: Selected papers from the 9th symposium on aquatic Oligochaeta, 6-10 October 2003, Wageningen, the Netherlands. <i>Developments in Hydrobiology</i>, 186. Springer: Dordrecht. ISBN 978-94-007-9795-6; e-ISBN 978-1-4020-5368-9. IX, 222 pp. <a href=""https://hdl.handle.net/10.1007/1-4020-5368-1"" target=""_blank"">https://hdl.handle.net/10.1007/1-4020-5368-1</a>","Verdonschot, P.F.M.; Wang, H.; Pinder, A.M.; Nijboer, R. (Ed.)",2006,"Aquatic oligochaete biology IX: Selected papers from the 9th symposium on aquatic Oligochaeta, 6-10 October 2003, Wageningen, the Netherlands",,Developments in Hydrobiology,Springer,Dordrecht,186,,"IX, 222"
"<b>Le Goff, J.; Reijmer, J.J.G.; Cerepi, A.; Loisy, C.; Swennen, R.; Heba, G.; Cavailhes, T.; De Graaf, S.</b> (2019). The dismantling of the Apulian carbonate platform during the late Campanian - early Maastrichtian in Albania. <i>Cretac. Res. 96</i>: 83-106. <a href=""https://hdl.handle.net/10.1016/j.cretres.2018.11.013"" target=""_blank"">https://hdl.handle.net/10.1016/j.cretres.2018.11.013</a>","Le Goff, J.; Reijmer, J.J.G.; Cerepi, A.; Loisy, C.; Swennen, R.; Heba, G.; Cavailhes, T.; De Graaf, S.",2019,The dismantling of the Apulian carbonate platform during the late Campanian - early Maastrichtian in Albania,,Cretaceous Research,,,96,,83-106
"<b>Colombera, D.; Sibuet, M.; Venier, G.</b> (1976). Constance du nombre chromosomique chez les échinodermes. <i>Cah. Biol. Mar. 17(4)</i>: 433-438","Colombera, D.; Sibuet, M.; Venier, G.",1976,Constance du nombre chromosomique chez les échinodermes,,Cahiers de Biologie Marine,,,17,4,433-438
"<b>En, C.</b> (2001). A method of coding and decoding in underwater image transmission. <i>Mar. Sci. Bull./Haiyang Tongbao 3(2)</i>: 13-18","En, C.",2001,A method of coding and decoding in underwater image transmission,,Marine Science Bulletin = Haiyang Tongbao,,,3,2,13-18
"<b>Marthoz, A.</b> (1954). Le problème de l'énergie électrique au Katanga. <i>Energie (Brux.) mai-juin</i>: 2255-2310","Marthoz, A.",1954,Le problème de l'énergie électrique au Katanga,,Energie (Bruxelles),,,mai-juin,,2255-2310
"<b>Runhaar, J.; Graafland, M.A.; Beugelink, G.P.</b> (1997). Evaluatie van het landelijk verdrogingsbeleid. <i>Milieu (Meppel) 12(3)</i>: 115-125","Runhaar, J.; Graafland, M.A.; Beugelink, G.P.",1997,Evaluatie van het landelijk verdrogingsbeleid,,Milieu: Tijdschrift voor Milieukunde,,,12,3,115-125
"<b>Bourrelly, P.; Leboime, R.</b> (1946). Notes sur quelques algues d'eau douce de Madagascar (mission H. Humbert, 1937). <i>Biol. Jb. Dodonaea 13</i>: 75-111","Bourrelly, P.; Leboime, R.",1946,"Notes sur quelques algues d'eau douce de Madagascar (mission H. Humbert, 1937)",,Biologisch Jaarboek (Dodonaea),,,13,,75-111
"<b>Mortensen, S.H.; Strand, Ø.</b> (2000). Releases and recaptures of Manila clams (<i>Ruditapes philippinarum</i>) introduced to Norway. <i>Sarsia 85</i>: 87-91","Mortensen, S.H.; Strand, Ø.",2000,Releases and recaptures of Manila clams (<i>Ruditapes philippinarum</i>) introduced to Norway,,Sarsia,,,85,,87-91
"<b>Maul, G.E.</b> (1964). Report on the fishes taken in Madeiran and Canarian waters during the summer-autumn cruises of the <i>Discovery II</i> 1959 and 1961: II. The identity of the North Atlantic fanfish, <i>Pteraclis</i>. <i>Bol. Mus. Munic. Funchal 18</i>: 114-120","Maul, G.E.",1964,"Report on the fishes taken in Madeiran and Canarian waters during the summer-autumn cruises of the <i>Discovery II</i> 1959 and 1961: II. The identity of the North Atlantic fanfish, <i>Pteraclis</i>",,Boletim do Museu Municipal do Funchal,,,18,,114-120
"<b>Giamarchi, A.; Feng, S.; Rodat-Despoix, L.; Xu, X.; Bubenshchikova, E.; Newby, L.J.; Hao, J.; Gaudioso, C.; Crest, M.; Lupas, A.N.; Honoré, E.; Williamson, M.P.; Obara, T.; Ong, A.C.M.; Delmas, P.</b> (2010). A polycystin-2 (TRPP2) dimerization domain essential for the function of heteromeric polycystin complexes. <i>EMBO J. 29(7)</i>: 1176-1191. <a href=""http://hdl.handle.net/10.1038/emboj.2010.18"" target=""_blank"">http://hdl.handle.net/10.1038/emboj.2010.18</a>","Giamarchi, A.; Feng, S.; Rodat-Despoix, L.; Xu, X.; Bubenshchikova, E.; Newby, L.J.; Hao, J.; Gaudioso, C.; Crest, M.; Lupas, A.N.; Honoré, E.; Williamson, M.P.; Obara, T.; Ong, A.C.M.; Delmas, P.",2010,A polycystin-2 (TRPP2) dimerization domain essential for the function of heteromeric polycystin complexes,,The EMBO Journal,,,29,7,1176-1191
"<b>Li, J.; Vincx, M.; Herman, P.M.J.</b> (1996). A model of nematode dynamics in the Westerschelde Estuary. <i>Ecol. Model. 90(3)</i>: 271-284. <a href=""http://hdl.handle.net/10.1016/0304-3800(95)00154-9"" target=""_blank"">http://hdl.handle.net/10.1016/0304-3800(95)00154-9</a>","Li, J.; Vincx, M.; Herman, P.M.J.",1996,A model of nematode dynamics in the Westerschelde Estuary,,Ecological Modelling,,,90,3,271-284
"<b>García Bernal, M.C.</b> (2001). Los comerciantes Yucatecos en el tráfico Atlántico a finales del siglo XVI (1590-1600), <b><i>in</i></b>: Parmentier, J. <i>et al.</i> (Ed.) <i><i>Orbis in Orbem</i>. Liber amicorum John Everaert.</i> pp. 53-76","García Bernal, M.C.",2001,Los comerciantes Yucatecos en el tráfico Atlántico a finales del siglo XVI (1590-1600),<i>Orbis in Orbem</i>. Liber amicorum John Everaert,,,,,,53-76
"<b>Lisovski, S.; Schmaljohann, H.; Bridge, E.S.; Bauer, S.; Farnsworth, A.; Gauthreaux, S.A.; Hahn, S.; Hallworth, M.T.; Hewson, C.M.; Kelly, J.F.; Liechti, F.; Marra, P.P.; Rakhimberdiev, E.; Ross, J.D.; Seavy, N.E.; Sumner, M.D.; Taylor, C.M.; Winkler, D.W.; Wotherspoon, S.J.; Wunder, M.B.</b> (2018). Inherent limits of light-level geolocation may lead to over-interpretation. <i>Curr. Biol. 28(3)</i>: R99-R100. <a href=""https://doi.org/10.1016/j.cub.2017.11.072"" target=""_blank"">https://doi.org/10.1016/j.cub.2017.11.072</a>","Lisovski, S.; Schmaljohann, H.; Bridge, E.S.; Bauer, S.; Farnsworth, A.; Gauthreaux, S.A.; Hahn, S.; Hallworth, M.T.; Hewson, C.M.; Kelly, J.F.; Liechti, F.; Marra, P.P.; Rakhimberdiev, E.; Ross, J.D.; Seavy, N.E.; Sumner, M.D.; Taylor, C.M.; Winkler, D.W.; Wotherspoon, S.J.; Wunder, M.B.",2018,Inherent limits of light-level geolocation may lead to over-interpretation,,Current Biology,,,28,3,R99-R100
International Journal of Anthropology. Angelo Pontecorboli: Firenze.  ISSN 0393-9383; e-ISSN 1824-3096,,1986,International Journal of Anthropology,,,Angelo Pontecorboli,Firenze,,,
"<b>Mauchline, J.</b> (1971). The fauna of the Clyde Sea area: Crustacea : Mysidacea, with a key to the species. Scottish Marine Biological Association: Millport.  26 pp.","Mauchline, J.",1971,"The fauna of the Clyde Sea area: Crustacea : Mysidacea, with a key to the species",,,Scottish Marine Biological Association,Millport,,,26
"<b>Davis, J.A.; Wille, M.; Hecht, A.; Sorgeloos, P.</b> (2005). Optimal first feed organism for South African mud crab <i>Scylla serrata</i> (Forskål) larvae. <i>Aquacult. Int. 13(3)</i>: 187-201. <a href=""https://dx.doi.org/10.1007/s10499-004-1496-8"" target=""_blank"">https://dx.doi.org/10.1007/s10499-004-1496-8</a>","Davis, J.A.; Wille, M.; Hecht, A.; Sorgeloos, P.",2005,Optimal first feed organism for South African mud crab <i>Scylla serrata</i> (Forskål) larvae,,Aquaculture International,,,13,3,187-201
"(1999). Huijbergen. <i>Topografische kaart van Nederland</i>, 49(G noord). Topografische Dienst: Emmen.  1 map pp.",,1999,Huijbergen,,Topografische kaart van Nederland,Topografische Dienst,Emmen,49,G noord,1 map
Journal of Evidence-Based Psychotherapies: Cluj.  ISSN 2360-0853,,0,Journal of Evidence-Based Psychotherapies,,,,Cluj,,,
"<b>Bowles, F.J.; Frake, A.A.; Mann, R.H.K.</b> (1990). A comparison of efficiency between two electric fishing techniques on a section of the River Avon, Hampshire, <b><i>in</i></b>: Cowx, I.G. (Ed.) <i>Developments in electric fishing.</i> pp. 229-235","Bowles, F.J.; Frake, A.A.; Mann, R.H.K.",1990,"A comparison of efficiency between two electric fishing techniques on a section of the River Avon, Hampshire",Developments in electric fishing,,,,,,229-235
"<b>Hostyn, N.</b> (1980). Het Portje van Hoerah. <i>De Plate 9(12)</i>: 18-19","Hostyn, N.",1980,Het Portje van Hoerah,,"De Plate: Tijdschrift Heemkundige Kring ""De Plate""",,,9,12,18-19
"<b>Tilmans, W.M.K.</b> (1992). Coast erosion management: the Kelantan case. WL | Delft Hydraulics: Delft.  38 pp.","Tilmans, W.M.K.",1992,Coast erosion management: the Kelantan case,,,WL | Delft Hydraulics,Delft,,,38
<b>MarCom Working Group 12</b> (1989). Analysis of rubble mound breakwaters - subgroup C : risk analysis in breakwater design. <i>PIANC Report</i>. PIANC = AIPCN: Brussels.,MarCom Working Group 12,1989,Analysis of rubble mound breakwaters - subgroup C : risk analysis in breakwater design,,PIANC Report,PIANC = AIPCN,Brussels,,,
"<b>Calleja, M.C.; Persoone, G.</b> (1993). The influence of solvents on the acute toxicity of some lipophilic chemicals to aquatic invertebrates. <i>Chemosphere 26(11)</i>: 2007-2022","Calleja, M.C.; Persoone, G.",1993,The influence of solvents on the acute toxicity of some lipophilic chemicals to aquatic invertebrates,,Chemosphere,,,26,11,2007-2022
"<b>Dalpadado, P.; Bogstad, B.; Gjøsaeter, H.; Mehl, S.; Skjoldal, H.R.</b> (2002). Zooplankton-fish interactions in the Barents Sea, <b><i>in</i></b>: Sherman, K. <i>et al.</i> <i>Large marine ecosystems of the North Atlantic: changing states and sustainability. Large Marine Ecosystems Series,</i> : pp. 269-291","Dalpadado, P.; Bogstad, B.; Gjøsaeter, H.; Mehl, S.; Skjoldal, H.R.",2002,Zooplankton-fish interactions in the Barents Sea,Large marine ecosystems of the North Atlantic: Changing states and sustainability,Large Marine Ecosystems Series,,,,,269-291
"<b>Rees, G.; Roald, L.; Dixon, J. (Ed.)</b> (1993). Flow regimes from international experimental and network data (FRIEND): volume II. Hydrological data. Institute of Hydrology: Wallingford. ISBN 0-948540-55-9. different pagination pp.","Rees, G.; Roald, L.; Dixon, J. (Ed.)",1993,Flow regimes from international experimental and network data (FRIEND): volume II. Hydrological data,,,Institute of Hydrology,Wallingford,,,different pagination
"<b>Vereshchaka, A.L.; Anokhina, L.L.</b> (2015). Biodiversity and diel variation of the benthohyponeuston: a case study of the Northeast Black Sea. <i>Est., Coast. and Shelf Sci. 167(B)</i>: 487-498. <a href=""http://hdl.handle.net/10.1016/j.ecss.2015.10.030"" target=""_blank"">hdl.handle.net/10.1016/j.ecss.2015.10.030</a>","Vereshchaka, A.L.; Anokhina, L.L.",2015,Biodiversity and diel variation of the benthohyponeuston: a case study of the Northeast Black Sea,,"Estuarine, Coastal and Shelf Science",,,167,B,487-498
"Developmental and Comparative Immunology. Elsevier: New York,.  ISSN 0145-305X; e-ISSN 0145-305X",,1977,Developmental and Comparative Immunology,,,Elsevier,"New York,",,,
"<b>Vanden Broucke, G.; Van Hee, J.; Delanghe, F.</b> (1984). Eenboots semi-pelagische visserij in kombinatie met het bokkensysteem voor middenslagtreilers. <i>Mededelingen van het Rijksstation voor Zeevisserij (CLO Gent)</i>, 189 - TZ/102, 1982. Rijkscentrum voor Landbouwkundig Onderzoek: Gent.  9 + Bijlagen pp.","Vanden Broucke, G.; Van Hee, J.; Delanghe, F.",1984,Eenboots semi-pelagische visserij in kombinatie met het bokkensysteem voor middenslagtreilers,,Mededelingen van het Rijksstation voor Zeevisserij (CLO Gent),Rijkscentrum voor Landbouwkundig Onderzoek,Gent,"189 - TZ/102, 1982",,9 + Bijlagen
"<b>Dubois, Ph.; Albeck, S.; Weiner, S.; Addadi, L.</b> (1994). Intrastereomic proteins from the asteroid <i>Asterias rubens</i>:  Separation, partial characterization, and interactions with growing calcite crystals, <b><i>in</i></b>: David, B. <i>et al.</i> (Ed.) <i>Echinoderms through time: Proceedings of the Eighth International Echinoderm Conference Dijon, France 6-10 September 1993.</i> pp. 283-283","Dubois, Ph.; Albeck, S.; Weiner, S.; Addadi, L.",1994,"Intrastereomic proteins from the asteroid <i>Asterias rubens</i>:  Separation, partial characterization, and interactions with growing calcite crystals","Echinoderms through time: Proceedings of the Eighth International Echinoderm Conference Dijon, France 6-10 September 1993",,,,,,283-283
"<b>Chia, F.-S.</b> (1971). Oviposition, fecundity, and larval development of three sacoglossan opisthobranchsfrom the Northumberland coast, England. <i>Veliger 13(4)</i>: 319–325","Chia, F.-S.",1971,"Oviposition, fecundity, and larval development of three sacoglossan opisthobranchsfrom the Northumberland coast, England",,The Veliger,,,13,4,319–325
(2002). De wadverkenner [CD-ROM]. EcoMare/Expert Center for Taxonomic Identification ETI: Amsterdam. ISBN 90-75000-39-1. 1 cd-rom pp.,,2002,De wadverkenner [CD-ROM],,,"EcoMare, Expert Center for Taxonomic Identification ETI",Amsterdam,,,1 cd-rom
"<b>Van Bogaert, T.; Platteau, J.; Demuynck, E.; De Waegemaeker, J.; Vanderheiden, S.; Dauwe, S.; Pirlet, H.</b> (2018). Agriculture, <b><i>in</i></b>: Devriese, L. <i>et al.</i> (Ed.) <i>Knowledge Guide Coast and Sea 2018 - Compendium for Coast and Sea.</i> pp. 143-153","Van Bogaert, T.; Platteau, J.; Demuynck, E.; De Waegemaeker, J.; Vanderheiden, S.; Dauwe, S.; Pirlet, H.",2018,Agriculture,Knowledge Guide Coast and Sea 2018 - Compendium for Coast and Sea,,,,,,143-153
"<b>von Lukowicz, M.</b> (1992). Do we still need aquaculture research? Experiences in Bavaria, <b><i>in</i></b>: <i>Progress in aquaculture research: proceedings of the 4th German-Isreali Status Seminar held on October 30-31, 1990. Spec. Publ. Eur. Aquacult. Soc,</i> 17: pp. 329-335","von Lukowicz, M.",1992,Do we still need aquaculture research? Experiences in Bavaria,"Progress in aquaculture research: Proceedings of the 4th Status Seminar held on October 30-31, 1990 in GKSS-Forschungszentrum Geesthacht GmbH",Spec. Publ. Eur. Aquacult. Soc,,,,,329-335
"<b>Claeys, G.; D'Heygers, O.; Sterling, A.</b> (1969). Verslag van enkele tijberekeningen in verband met de stormvloedkering op de Schelde te Oosterweel. <i>WL Rapporten</i>, 252_8. Waterbouwkundig Laboratorium: Antwerpen.  36 + bijlagen pp.","Claeys, G.; D'Heygers, O.; Sterling, A.",1969,Verslag van enkele tijberekeningen in verband met de stormvloedkering op de Schelde te Oosterweel,,WL Rapporten,Waterbouwkundig Laboratorium,Antwerpen,252_8,,36 + bijlagen
"<b>Chappuis, P.A.</b> (1949). Les Asellides d'Europe et pays limitrophes. <i>Arch. zool. exp. gén., Notes Rev. 86</i>: 78-94","Chappuis, P.A.",1949,Les Asellides d'Europe et pays limitrophes,,"Archives de Zoologie Expérimentale et Générale, Notes et Revue",,,86,,78-94
"<b>Fedotov, A. ; San'kov, V.; De Batist, M.; Kazansky, A.; Parfeevets, A.; Mirosh-Nitchenko, A.; Pouls, T.</b> (2006). Chronology of the Baikal Rift System. <i>Eos, Trans. (Wash. D.C.) 87(25)</i>: 246. <a href=""http://dx.doi.org/10.1029/2006EO250005"" target=""_blank"">dx.doi.org/10.1029/2006EO250005</a>","Fedotov, A. ; San'kov, V.; De Batist, M.; Kazansky, A.; Parfeevets, A.; Mirosh-Nitchenko, A.; Pouls, T.",2006,Chronology of the Baikal Rift System,,"Eos, Transactions, American Geophysical Union",,,87,25,246
"<b>Pietsch, T.W.</b> (1984). A review of the frogfish genus <i>Rhycerus</i> with the description of a new species from Western and South Australia. <i>Copeia 1984(1)</i>: 68-72","Pietsch, T.W.",1984,A review of the frogfish genus <i>Rhycerus</i> with the description of a new species from Western and South Australia,,Copeia,,,1984,1,68-72
"<b>Mullins, J.</b> (2005). Storm soothers. <i>New Sci. 187(2516)</i>: 8","Mullins, J.",2005,Storm soothers,,New Scientist,,,187,2516,8
"<b>Van Hoey, G.; Delahaut, V.; Derweduwen, J.; Devries, L.; Dewitte, B.; Hostens, K.; Robbens, J.</b> (2011). Biological and chemical effects of the disposal of dredged material in the Belgian Part of the North Sea (licensing period 2010-2011). <i>ILVO Mededeling</i>, 109. ILVO: Oostende.  120 pp.","Van Hoey, G.; Delahaut, V.; Derweduwen, J.; Devries, L.; Dewitte, B.; Hostens, K.; Robbens, J.",2011,Biological and chemical effects of the disposal of dredged material in the Belgian Part of the North Sea (licensing period 2010-2011),,ILVO Mededeling,ILVO,Oostende,109,,120
"<b>Vander Eecken, J.</b> (2000). Beheersmonitoring in erkende natuurreservaten: het voorbeeld van het moenebroekreservaat (geraardsbergen). Universiteit Gent, Vakgroep Biologie: Gent.  VI,83,bijlagen pp.","Vander Eecken, J.",2000,Beheersmonitoring in erkende natuurreservaten: het voorbeeld van het moenebroekreservaat (geraardsbergen),,,"Universiteit Gent, Vakgroep Biologie",Gent,,,"VI,83,bijlagen"
"<b>UNESCO/WMO/IAEA</b> (2006). The state of the resource, <b><i>in</i></b>: UNESCO <i>Water: a shared responsibility. UN World Water Development Report,</i> 2: pp. 118-156",UNESCO/WMO/IAEA,2006,The state of the resource,Water: a shared responsibility,UN World Water Development Report,,,,,118-156
"<b>Mezrin, M.Yu.; Starokoltsev, E.V.; Fujiyoshi, Y.; Yoshizaki, M.</b> (2003). Contribution of different scales to integral moisture transport based on aircraft observations over the Sea of Japan. <i>Atmos. Res. 69(1-2)</i>: 109-124","Mezrin, M.Yu.; Starokoltsev, E.V.; Fujiyoshi, Y.; Yoshizaki, M.",2003,Contribution of different scales to integral moisture transport based on aircraft observations over the Sea of Japan,,Atmospheric Research,,,69,1-2,109-124
"<b>Böttger-Schnack, R.; Huys, R.</b> (1997). Morphological observations on <i>Oncaea mediterranea</i> (Claus, 1863) (Copepoda, Poecilostomatoida) with a comparison of Red Sea and eastern Mediterranean populations. <i>Bull. Nat. Hist. Mus., Zool. Ser. 63(2)</i>: 137-147","Böttger-Schnack, R.; Huys, R.",1997,"Morphological observations on <i>Oncaea mediterranea</i> (Claus, 1863) (Copepoda, Poecilostomatoida) with a comparison of Red Sea and eastern Mediterranean populations",,Bulletin of the Natural History Museum: Zoology Series,,,63,2,137-147
"<b>Knaeps, E.; Raymaekers, D.; Sterckx, S.; Bertels, L.; Odermatt, D.</b> (2010). Monitoring inland waters with the APEX sensor, a wavelet approach, <b><i>in</i></b>: <i>Proceedings of the 2010 IEEE 2nd Workshop on Hyperspectral Image and Signal Processing: Evolution in Remote Sensing (WHISPERS), 14–16 June 2010, Reykjavik, Iceland.</i> pp. 4","Knaeps, E.; Raymaekers, D.; Sterckx, S.; Bertels, L.; Odermatt, D.",2010,"Monitoring inland waters with the APEX sensor, a wavelet approach","Proceedings of the 2010 IEEE 2nd Workshop on Hyperspectral Image and Signal Processing: Evolution in Remote Sensing (WHISPERS), 14–16 June 2010, Reykjavik, Iceland",,,,,,4
"<b>Chan, H.Y.; Xu, W.Z.; Shin, P.K.S.; Cheung, S.G.</b> (2008). Prolonged exposure to low dissolved oxygen affects early development and swimming behaviour in the gastropod <i>Nassarius festivus</i> (Nassariidae). <i>Mar. Biol. (Berl.) 153(4)</i>: 735-743. <a href=""http://hdl.handle.net/10.1007/s00227-007-0850-6"" target=""_blank"">http://hdl.handle.net/10.1007/s00227-007-0850-6</a>","Chan, H.Y.; Xu, W.Z.; Shin, P.K.S.; Cheung, S.G.",2008,Prolonged exposure to low dissolved oxygen affects early development and swimming behaviour in the gastropod <i>Nassarius festivus</i> (Nassariidae),,Marine Biology,,,153,4,735-743
