String,Authors,Year,Title,Book,Series,Publisher,City,Volume,Issue,Pagination,DOI,,
"Coussement, M. (1977). Nieuwe gegevens omtrent de Rotatoria-fauna van het Donkmeer in Oost-Vlaanderen. <em>Natuurwet. Tijdschr.</em> 58(3): 138-146.","Coussement, M.",1977,Nieuwe gegevens omtrent de Rotatoria-fauna van het Donkmeer in Oost-Vlaanderen.,,Natuurwet. Tijdschr.,,,58,3,138-146,,,
"Bartsch, I. (1977). Interstitielle Fauna von Galapagos: 20. Halacaridae (Acari). <em>Mikrof. Meeresb.</em> 65: 1-108.","Bartsch, I.",1977,Interstitielle Fauna von Galapagos: 20. Halacaridae (Acari),,Mikrof. Meeresb.,,,65,,1-108,,,
"Kensley, B. (1977). The South African Museum's Meiring Naude cruises, Part 2. Crustacea, Decapoda, Anomura and Brachyura. <em>Annals of the South African Museum.</em> 72(9): 161-188.","Kensley, B.",1977,"The South African Museum's Meiring Naude cruises, Part 2. Crustacea, Decapoda, Anomura and Brachyura",,Annals of the South African Museum,,,72,9,161-188,,,
"Alekseev, V. M.; Rassadnikova, I. V. (1977). A new species and a taxonomic analysis of the genus Leptolaimus (Nematoda, Araeolaimida). <em>ZooL. Zhurn.</em> 56(12): 1766-1774.","Alekseev, V. M.; Rassadnikova, I. V.",1977,"A new species and a taxonomic analysis of the genus Leptolaimus (Nematoda, Araeolaimida)",,ZooL. Zhurn.,,,56,12,1766-1774,,,
"Vader, W. (1977). Habitat and distribution of Perforatella rubiginosa (Gastropoda, Pulmonata) in the freshwater tidal region of the Scheldt estuary, Belgium. <em>Hydrobiologia.</em> 52(1): 23-28.","Vader, W.",1977,"Habitat and distribution of Perforatella rubiginosa (Gastropoda, Pulmonata) in the freshwater tidal region of the Scheldt estuary, Belgium",,Hydrobiologia,,,52,1,23-28,,,
"Lorenzen, S. (1977). Revision der Xyalidae (freilebende Nematoden) auf der Grundlage einer kritischen Analyse von 56 Arten aus Nord- und Ostsee. <em>Veroff. Inst. Meeresforsch. Bremerh.</em> 16: 197-261.","Lorenzen, S.",1977,Revision der Xyalidae (freilebende Nematoden) auf der Grundlage einer kritischen Analyse von 56 Arten aus Nord- und Ostsee,,Veroff. Inst. Meeresforsch. Bremerh.,,,16,,197-261,,,
"Decraemer, W.; Coomans, A. (1978). Scientific Report on the Belgian Expedition to the Great Barrier Reef in 1967. Nematodes XIII. A Description of Four New Species and a Redescription of Four Known Species from in and around Mangroves on Lizard Island. <em>Marine and Freshwater Research.</em> 29(4): 509-541.","Decraemer, W.; Coomans, A.",1978,Scientific Report on the Belgian Expedition to the Great Barrier Reef in 1967. Nematodes XIII. A Description of Four New Species and a Redescription of Four Known Species from in and around Mangroves on Lizard Island,,Marine and Freshwater Research,,,29,4,509-541,10.1071/mf9780509,,
"Ristau, D.A. (1978). Six new species of shallow-water marine demosponges from California. <em>Proceedings Biological Society Washington.</em> 91(3): 569-589.","Ristau, D.A.",1978,Six new species of shallow-water marine demosponges from California,,Proceedings Biological Society Washington,,,91,3,569-589,,,
"Decraemer, W.; Coomans, A. (1978). Scientific Report on the Belgian Expedition to The Great Barrier Reef in 1967. Nematodes XII. Ecological Notes on the Nematode Fauna in and around Mangroves on Lizard Island. <em>Aust. J. Mar. Freshwater Res.</em> 29, 497-508.","Decraemer, W.; Coomans, A.",1978,Scientific Report on the Belgian Expedition to The Great Barrier Reef in 1967. Nematodes XII. Ecological Notes on the Nematode Fauna in and around Mangroves on Lizard Island,,Aust. J. Mar. Freshwater Res.,,,29,,497-508,10.1071/MF9780497,,
"Volkmer-Ribeiro, C.; de Rosa Barbosa, R. (1978). A new genus and species of neotropical freshwater sponges. <em>Iheringia. Série Zoologia.</em> 52: 103-107.","Volkmer-Ribeiro, C.; de Rosa Barbosa, R.",1978,A new genus and species of neotropical freshwater sponges.,,Iheringia. Série Zoologia,,,52,,103-107,,,
"Decraemer, W. (1978). Scientific Report on the Belgian Expedition to the Great Barrier reef in 1967 Nematodes XIV Prototricama dherdei sp. nov. and Desmolorenzenia cooleni sp. nov. with a discussion of the genus Prototricoma Timm (Nematoda, Desmoscolecida). <em>Annales Soc. r. Zool. Belg.</em> T. 107 fasc. 3-4 : 109-123.","Decraemer, W.",1978,"Scientific Report on the Belgian Expedition to the Great Barrier reef in 1967 Nematodes XIV Prototricama dherdei sp. nov. and Desmolorenzenia cooleni sp. nov. with a discussion of the genus Prototricoma Timm (Nematoda, Desmoscolecida)",,Annales Soc. r. Zool. Belg.,,,107,3-4,109-123,,,
"Ben Tuvia, A. (1978). Immigration of fishes through the Suez Canal. <em>Fishery Bulletin.</em> 76(1): 249-255.","Ben Tuvia, A.",1978,Immigration of fishes through the Suez Canal,,Fishery Bulletin,,,76,1,249-255,,,
"Cantone, G.; Fassari, G.; Brigandi, S. (1978). Ricerche sui Policheti della Tunisia. <em>Animalia.</em> 5(1): 51-78.","Cantone, G.; Fassari, G.; Brigandi, S.",1978,Ricerche sui Policheti della Tunisia,,Animalia,,,5,1,51-78,,,
"Jensen, P. (1978). Four Nematoda Araeolaimida from the Öresund, Denmark, with remarks on the oesophageal structures in Aegialolaimus. <em>Cahiers de Biologie Marine. Station Biologique de Roscoff.</em> 19: 221-231.","Jensen, P",1978,"Four Nematoda Araeolaimida from the Öresund, Denmark, with remarks on the oesophageal structures in Aegialolaimus",,Cahiers de Biologie Marine. Station Biologique de Roscoff,,,19,,221-231,,,
"Devaney, D. M. (1978). A review of the genus Ophiomastix (Ophiuroidea: Ophiocomidae), Part II of a series of studies on Ophiocomid Brittlestars. <em>Micronesica.</em> 14(2): 273-359.","Devaney, D. M.",1978,"A review of the genus Ophiomastix (Ophiuroidea: Ophiocomidae), Part II of a series of studies on Ophiocomid Brittlestars",,Micronesica,,,14,2,273-359,,,
"Fauchald, K.; Jumars, P. A. (1979). The diet of worms: a study of polychaete feeding guilds. <em>Oceanography and Marine Biology, An Annual Review.</em> 17: 193-284.","Fauchald, K.; Jumars, P. A.",1979,The diet of worms: a study of polychaete feeding guilds,,"Oceanography and Marine Biology, An Annual Review",,,17,,193-284,,,
"Relini Orsi, L.; Mori, M. (1979). Due reperti mediterranei di <i>Thalamita gloriensis</i> Crosnier, 1962 (Crustacea: Decapoda: Portunidae). <em>Oebalia.</em> 5: 7-13.","Relini Orsi, L.; Mori, M.",1979,"Due reperti mediterranei di <i>Thalamita gloriensis</i> Crosnier, 1962 (Crustacea: Decapoda: Portunidae)",,Oebalia,,,5,,7-13,,,
"Cormaci, M.; Furnari, G. (1979). Flora algale marina della Sicilia orientale: Rhodophyceae, Phaeophyceae, Chlorophyceae. <em>Informatore Botanico Italiano.</em> 11: 221-250.","Cormaci, M.; Furnari, G.",1979,"Flora algale marina della Sicilia orientale: Rhodophyceae, Phaeophyceae, Chlorophyceae",,Informatore Botanico Italiano,,,11,,221-250,,,
"Mouneimne, N. (1979). Poissons nouveaux pour les cotes libanaises. <em>Cybium.</em> 6: 105-110.","Mouneimne, N.",1979,Poissons nouveaux pour les cotes libanaises,,Cybium,,,6,,105-110,,,
"Farnham, W. F.; Irvine, L. M. (1979). Discovery of members of the red algal family Solieriaceae in the British Isles. <em>British Phycological Journal.</em> 14: 123.","Farnham, W. F.; Irvine, L. M.",1979,Discovery of members of the red algal family Solieriaceae in the British Isles,,British Phycological Journal,,,14,,123,,,
"Holmquist, C. (1979). <i>Mysis costata</i> Holmes, 1900, and its relations (Crustacea, Mysidacea). <em>Zoologische Jahrbücher. Abteilung für Systematik, Ökologie und Geographie der Tiere.</em> 106(4): 471-499.","Holmquist, C.",1979,"<i>Mysis costata</i> Holmes, 1900, and its relations (Crustacea, Mysidacea)",,"Zoologische Jahrbücher. Abteilung für Systematik, Ökologie und Geographie der Tiere",,,106,4,471-499,,,
"Berry, P.F. (1979). A new species of deep-water palinurid lobster (Crustacea, Decapoda, Palinuridae) from the East coast of southern Africa. <em>Annals of the South African Museum.</em> 78: 93-100.","Berry, P.F.",1979,"A new species of deep-water palinurid lobster (Crustacea, Decapoda, Palinuridae) from the East coast of southern Africa",,Annals of the South African Museum,,,78,,93-100,,,
"Rigby, J.K.; Keyes, R.Jr.; Horowitz, A. (1979). Two new Mississippian sponges from northeastern Alabama. <em>Journal of Paleontology.</em> 53(3): 709-719.","Rigby, J.K.; Keyes, R.Jr.; Horowitz, A.",1979,Two new Mississippian sponges from northeastern Alabama.,,Journal of Paleontology,,,53,3,709-719,,,
"Dinet, A.; Vivier, M.-H. (1979). Le méiobenthos abyssal du Golfe de Gascogne 2. Les peuplements de nématodes et leur diversité spécifique. <em>Cahiers de Biologie Marine.</em> 20(1): 109-123.","Dinet, A.; Vivier, M.-H.",1979,Le méiobenthos abyssal du Golfe de Gascogne 2. Les peuplements de nématodes et leur diversité spécifique,,Cahiers de Biologie Marine,,,20,1,109-123,,,
"Nichols, J. A. (1979). The occurence of the subfamily Xyalinae (Nematoda, Monhysteroidea) in the Georgia Bay with a description of two new species. <em>Cah. Biol. Mar.</em> 20(2): 151-159.","Nichols, J. A.",1979,"The occurence of the subfamily Xyalinae (Nematoda, Monhysteroidea) in the Georgia Bay with a description of two new species",,Cah. Biol. Mar.,,,20,2,151-159,,,
"Lambshead, P. J. D.; Platt, H. M. (1979). <i>Bathyeurystomina</i>, a new genus of freeliving marine nematodes (Enchelidiidae) from the Rockal Trough. <em>Cahiers de Biologie Marine.</em> 20(3): 371-380.","Lambshead, P. J. D.; Platt, H. M.",1979,"<i>Bathyeurystomina</i>, a new genus of freeliving marine nematodes (Enchelidiidae) from the Rockal Trough",,Cahiers de Biologie Marine,,,20,3,371-380,,,
"van Aartsen, J. J.; Carrozza, F. (1979). <i>Chrysallida fischeri</i> (Hornung & Mermod, 1925): a Red Sea species found at the Israeli mediterranean coast. <em>Bollettino Malacologico.</em> 15(1-2): 29-30.","van Aartsen, J. J.; Carrozza, F.",1979,"<i>Chrysallida fischeri</i> (Hornung & Mermod, 1925): a Red Sea species found at the Israeli mediterranean coast",,Bollettino Malacologico,,,15,1-2,29-30,,,
"Bon, M. (1980). Agaricales rares ou nouvelles de la Zone Maritime Picarde. <em>Bulletin de la Société Mycologique de France.</em> 96: 155-174.","Bon, M.",1980,Agaricales rares ou nouvelles de la Zone Maritime Picarde.,,Bulletin de la Société Mycologique de France,,,96,,155-174,,,
"Pichot, Y.; Comps, M.; Tige, G.; Grizel, H.; Rabouin, M.-A. (1980). Recherches sur Bonamia ostreae gen. n., sp. n., parasite nouveau de l'huître plate Ostrea edulis L. <em>Rev. Trav. Inst. Pech. Marit.</em> 43(1): 131-140.","Pichot, Y.; Comps, M.; Tige, G.; Grizel, H.; Rabouin, M.-A",1980,"Recherches sur Bonamia ostreae gen. n., sp. n., parasite nouveau de l'huître plate Ostrea edulis L.",,Rev. Trav. Inst. Pech. Marit.,,,43,1,131-140,,,
"Gaino, E. (1980). Indagine ultrastrutturale sugli ovociti maturi di <i>Chondrilla nucula</i> Schmidt (Porifera, Demospongiae). <em>Cahiers de Biologie Marine.</em> 21 (1): 11-22, pls I-IV.","Gaino, E.",1980,"Indagine ultrastrutturale sugli ovociti maturi di <i>Chondrilla nucula</i> Schmidt (Porifera, Demospongiae).",,Cahiers de Biologie Marine,,,21,1,"11-22, pls I-IV.",,,
"Mienis, H. K. (1980). A record of the Indo-Pacific species <i>Trapezium oblongum</i> from the Mediterranean coast of Israel. <em>Levantina.</em> 27: 313-314.","Mienis, H. K.",1980,A record of the Indo-Pacific species <i>Trapezium oblongum</i> from the Mediterranean coast of Israel,,Levantina,,,27,,313-314,,,
"Baker, A. N. (1980). Euryalinid Ophiuroidea (Echinodermata) from Australia, New Zealand, and the south-west Pacific Ocean. <em>New Zealand Journal of Zoology.</em> 7, 11-83.","Baker, A. N.",1980,"Euryalinid Ophiuroidea (Echinodermata) from Australia, New Zealand, and the south-west Pacific Ocean",,New Zealand Journal of Zoology,,,7,,11-83,,,
"Karaman, G. S. (1980). Revision of some genera of family Corophiidae with description of three new genera. <em>Poljoprivreda I Sumarstvo, Titograd.</em> 26(3): 13-24.","Karaman, G. S.",1980,Revision of some genera of family Corophiidae with description of three new genera,,"Poljoprivreda I Sumarstvo, Titograd",,,26,3,13-24,,,
"Kensley, B. (1980). Decapod and isopod crustaceans from the west coast of southern Africa, including seamounts Vema and Trip. <em>Annals of the South African Museum.</em> 83(2): 13-32.","Kensley, B.",1980,"Decapod and isopod crustaceans from the west coast of southern Africa, including seamounts Vema and Trip",,Annals of the South African Museum,,,83,2,13-32,,,
"Fischthal, J. H. (1980). Some Digenetic Trematodes of Marine Fishes from Israel's Mediterranean Coast and Their Zoogeography, Especially Those from Red Sea Immigrant Fishes. <em>Zoologica Scripta.</em> 9(1-4): 11-23.","Fischthal, J. H.",1980,"Some Digenetic Trematodes of Marine Fishes from Israel's Mediterranean Coast and Their Zoogeography, Especially Those from Red Sea Immigrant Fishes",,Zoologica Scripta,,,9,1-4,11-23,10.1111/j.1463-6409.1980.tb00647.x,,
"Bayer, F.M. (1981). Key to the genera of Octocorallia exclusive of Pennatulacea (Coelenterata: Anthozoa), with diagnoses of new taxa. <em>Proc. Biol. Soc. Wash.</em> 94(3): 902-947.","Bayer, F.M.",1981,"Key to the genera of Octocorallia exclusive of Pennatulacea (Coelenterata: Anthozoa), with diagnoses of new taxa",,Proc. Biol. Soc. Wash.,,,94,3,902-947,,,
"Kaas, P. & Van Belle, R. A. (1981). The genus <i>Lepidochitona</i> Gray, 1821 in the Northeastern Atlantic Ocean, the Mediterranean sea and the Black Sea. <em>Zoologische Verhandelingen.</em> 185: 1-43.","Kaas, P. & Van Belle, R. A.",1981,"The genus <i>Lepidochitona</i> Gray, 1821 in the Northeastern Atlantic Ocean, the Mediterranean sea and the Black Sea.",,Zoologische Verhandelingen,,,185,,1-43,,,
"Van Soest, R.W.M.; Sass, D.B. (1981). Amsterdam expeditions to the West Indian Islands, report 13. Marine sponges from an island cave on San Salvador Island, Bahamas. <em>Bijdragen tot de Dierkunde.</em> 51 (2): 332-344.","Van Soest, R.W.M.; Sass, D.B.",1981,"Amsterdam expeditions to the West Indian Islands, report 13. Marine sponges from an island cave on San Salvador Island, Bahamas",,Bijdragen tot de Dierkunde,,,51,2,332-344,,,
"Anderson, M. (1981). <i>Ergenstrema labrosi</i> sp. nov. on the gills of the thick lipped grey mullet <i>Chelon labrosus</i> at Plymouth. <em>J. Mar. Biol. Ass. U.K.</em> 61: 827-832.","Anderson, M.",1981,<i>Ergenstrema labrosi</i> sp. nov. on the gills of the thick lipped grey mullet <i>Chelon labrosus</i> at Plymouth,,J. Mar. Biol. Ass. U.K.,,,61,,827-832,,,
"Leloup, E. (1981). Chitons du sud-oust de l'Ocean Indien. <em>Bulletin de l'Institut royal des Sciences naturelles de Belgique: Biologie - Bulletin van het Koninklijk Belgisch Instituut voor Natuurwetenschappen: Biologie.</em> 53 (10): 1-4.","Leloup, E.",1981,Chitons du sud-oust de l'Ocean Indien,,Bulletin de l'Institut royal des Sciences naturelles de Belgique: Biologie - Bulletin van het Koninklijk Belgisch Instituut voor Natuurwetenschappen: Biologie,,,53,10,1-4,,,
"Baker, H.R. (1981). Phallodrilus tempestatis n.sp., a new marine tubificid (Annelida: Oligochaeta) from British Columbia. <em>Canadian Journal of Zoology.</em> 59(8): 1475-1478.","Baker, H.R.",1981,"Phallodrilus tempestatis n.sp., a new marine tubificid (Annelida: Oligochaeta) from British Columbia",,Canadian Journal of Zoology,,,59,8,1475-1478,10.1139/z81-200,,
"Koeman, R.; Van den Hoek, C. (1981). The taxonomy of Ulva(Chlorophyceae) in the Netherlands. <em>British Phycological Journal.</em> 16(1): 9-53.","Koeman, R.; Van den Hoek, C.",1981,The taxonomy of Ulva(Chlorophyceae) in the Netherlands,,British Phycological Journal,,,16,1,9-53,10.1080/00071618100650031,,
"Bouwman, L.A. (1981). A survey of nematodes from the Ems Estuary Part I: Systematics. <em>Zool. Jb. (Syst.).</em> 108: 335-385.","Bouwman, L.A.",1981,A survey of nematodes from the Ems Estuary Part I: Systematics,,Zool. Jb. (Syst.),,,108,,335-385,,,
"Benwell, M. P. (1981). A New Species of Gonionchus (Nematoda: Xyalidae) from the Firth of Clyde, with a Redescription of Enoploides spiculohamatus Schulz (Nematoda: Enoplidae). <em>Cahiers de Biologie Marine.</em> 22: 177-183.","Benwell, M. P.",1981,"A New Species of Gonionchus (Nematoda: Xyalidae) from the Firth of Clyde, with a Redescription of Enoploides spiculohamatus Schulz (Nematoda: Enoplidae)",,Cahiers de Biologie Marine,,,22,,177-183,,,
"Itô, Tatsunori. (1981). Descriptions and records of marine harpacticoid copepods from Hokkaido, VIII. Journal of the Faculty of Science, Hokkaido University, Series 6, Zoology 22(4):422-450. (ix-1981)","Itô, Tatsunori",1981,"Descriptions and records of marine harpacticoid copepods from Hokkaido, VIII.",,"Journal of the Faculty of Science, Hokkaido University, Series 6, Zoology",,,22,4,422-450. (ix-1981),,,
"Ball, I.R.; Reynoldson, T.B. (1981). British Planarians: Platyhelminthes: Tricladida: keys and notes for identification of the species. <em>Synopses of the British fauna (New Series), 19. Cambridge University Press: Cambridge. ISBN 0-521-28272-1.</em> 141 pp.","Ball, I.R.; Reynoldson, T.B.",1981,British Planarians: Platyhelminthes: Tricladida: keys and notes for identification of the species,,"Synopses of the British fauna (New Series), 19. ",Cambridge University Press,Cambridge,,,141,,,
"Martens, P.M.; Schockaert, E.R. (1981). Sand dwelling Turbellaria from the Netherlands Delta area. <em>Hydrobiologia.</em> 84:113-127.","Martens, P.M.; Schockaert, E.R.",1981,Sand dwelling Turbellaria from the Netherlands Delta area.,,Hydrobiologia,,,84,,113-127,,,
"Verlaque, M. (1981). Contribution à la flore des algues marines de Méditerranée: Especes nouveiles pour la Méditerranée occidentale. <em>Botanica Marina.</em> 24: 559-568.","Verlaque, M.",1981,Contribution à la flore des algues marines de Méditerranée: Especes nouveiles pour la Méditerranée occidentale.,,Botanica Marina,,,24,,559-568,,,
"Lavaleye, M. S. S.; Barash, A. (1981). First record of the Indo-Pacific species <i>Kleinella (Actaeopyramis) fulva</i> (A. Adams, 1851) (Gastropoda Pyramidellidae) from the Mediterranean. <em>Basteria.</em> 45: 87-89.","Lavaleye, M. S. S.; Barash, A.",1981,"First record of the Indo-Pacific species <i>Kleinella (Actaeopyramis) fulva</i> (A. Adams, 1851) (Gastropoda Pyramidellidae) from the Mediterranean.",,Basteria,,,45,,87-89,,,
"Volkmer-Ribeiro, C.; Mothes De Moraes, B. (1981). <i>Drulia ctenosclera</i>, a new species of neotropical spongillid. <em>Iheringia. Série Zoologia.</em> 60: 117-121.","Volkmer-Ribeiro, C.; Mothes De Moraes, B.",1981,"<i>Drulia ctenosclera</i>, a new species of neotropical spongillid.",,Iheringia. Série Zoologia,,,60,,117-121,,,
"Blome, D. (1982). Systematik der Nematoda eines Sandstrandes der Nordseeinsel Sylt. <em>Mikrofauna des Meeresbodens.</em> 86: 1-194.","Blome, D.",1982,Systematik der Nematoda eines Sandstrandes der Nordseeinsel Sylt,,Mikrofauna des Meeresbodens,,,86,,194,,,
"Bellan-Santini, D.; Karaman, G.; Krapp-Schickel, G.; Ledoyer, M.; Myers, A.A.; Ruffo, S.; Schiecke, U. (1982). The Amphipoda of the Mediterranean. Part 1: Gammaridae (Acanthonotozomatidae to Gammaridae). <em>Mémoires de l'Institut océanographique, Monaco.</em> 13: 1-364.","Bellan-Santini, D.; Karaman, G.; Krapp-Schickel, G.; Ledoyer, M.; Myers, A.A.; Ruffo, S.; Schiecke, U.",1982,The Amphipoda of the Mediterranean. Part 1: Gammaridae (Acanthonotozomatidae to Gammaridae),,"Mémoires de l'Institut océanographique, Monaco",,,13,,364,,,
"Fiers, F. (1982). New Canuellidae from the northern coast of Papua New Guinea (Copepoda: Harpacticoida). <em>Bulletin de l'Institut Royal des Sciences Naturelles de Belgique, Biologie or Mededelingen van het Koninklijk Natuurhistorisch Museum van België.</em> 54(4):1-32, pls. 1-17, tab. 1. (30-xi-1982, French summary).","Fiers, F.",1982,New Canuellidae from the northern coast of Papua New Guinea (Copepoda: Harpacticoida).,,"Bulletin de l'Institut Royal des Sciences Naturelles de Belgique, Biologie or Mededelingen van het Koninklijk Natuurhistorisch Museum van België.",,,54,4,"1-32, pls. 1-17, tab. 1. (30-xi-1982, French summary)",,,
"Barash, A.; Danin, Z. (1982). Mediterranean Mollusca of Israel and Sinai. Composition and distribution. <em>Israel Journal of Zoology.</em> 31: 86-118.","Barash, A.; Danin, Z.",1982,Mediterranean Mollusca of Israel and Sinai. Composition and distribution,,Israel Journal of Zoology,,,31,,86-118,10.1080/00212210.1982.10688524,,
"Wouters, K. (1982). The ostracod fauna of the East Anglian Coralline Crag, Letter to The Editor. <em>Proceedings of the Geological Association.</em> 93: 314-315.","Wouters, K.",1982,"The ostracod fauna of the East Anglian Coralline Crag, Letter to The Editor",,Proceedings of the Geological Association,,,93,,314-315,,,
"Vincx, M.; Sharma, J.; Smol, N. (1982). On the Identity and Nomenclature of Paracanthonchus caecus (Bastian, 1865), with a Redefinition of the Genus Paracanthonchus Micoletzky (Nematoda, Cyatholaimidae). <em>Zoologica Scripta.</em> 11(4): 243-263.","Vincx, M.; Sharma, J.; Smol, N.",1982,"On the Identity and Nomenclature of Paracanthonchus caecus (Bastian, 1865), with a Redefinition of the Genus Paracanthonchus Micoletzky (Nematoda, Cyatholaimidae)",,Zoologica Scripta,,,11,4,243-263,10.1111/j.1463-6409.1982.tb00537.x,,
"Vanosmael, C.; Willems, K. A.; Claeys, D.; Vincx, M.; Heip, C. (1982). Macrobenthos of a sublittoral sandbank in the southern bight of the North Sea. <em>Journal of the Marine Biological Association of the United Kingdom.</em> 62: 521-534.","Vanosmael, C.; Willems, K. A.; Claeys, D.; Vincx, M.; Heip, C.",1982,Macrobenthos of a sublittoral sandbank in the southern bight of the North Sea,,Journal of the Marine Biological Association of the United Kingdom,,,62,,521-534,,,
"Willems, K. A.; Vincx, M.; Claeys, D.; Vansomael, C.; Heip, C. (1982). Meiobenthos of a sublittoral sandbank in the southern bight of the North Sea. <em>Journal of the Marine Biological Association of the UK.</em> 62: 535-548.","Willems, K. A.; Vincx, M.; Claeys, D.; Vansomael, C.; Heip, C.",1982,Meiobenthos of a sublittoral sandbank in the southern bight of the North Sea,,Journal of the Marine Biological Association of the UK,,,62,,535-548,,,
"Rigby, J.K.; Horrocks, R.D.; Cys, J.M. (1982). A new Hexactinellid Brachiosponge from the Upper Permian of West Texas. <em>Journal of Paleontology.</em> 56(2): 315-323.","Rigby, J.K.; Horrocks, R.D.; Cys, J.M.",1982,A new Hexactinellid Brachiosponge from the Upper Permian of West Texas.,,Journal of Paleontology,,,56,2,315-323,,,
"Golani, D.; Ben-Tuvia, A. (1982). First records of the Indo-Pacific daggertooth pike-conger, <i>Muraenesox cinereus</i>, in the eastern Mediterranean and in the Gulf of Elat (Gulf of Aqaba). <em>Israel Journal of Zoology.</em> 31: 54-57.","Golani, D.; Ben-Tuvia, A.",1982,"First records of the Indo-Pacific daggertooth pike-conger, <i>Muraenesox cinereus</i>, in the eastern Mediterranean and in the Gulf of Elat (Gulf of Aqaba).",,Israel Journal of Zoology,,,31,,54-57,,,
"De Masi, F.; Gargiulo, G.M. (1982). Grateloupia doryphora (Mont.) Howe (Rhodophyta, Crytonemiales) en Méditerranée. <em>Allionia.</em> 25: 105-108.","De Masi, F.; Gargiulo, G.M.",1982,"Grateloupia doryphora (Mont.) Howe (Rhodophyta, Crytonemiales) en Méditerranée",,Allionia,,,25,,105-108,,,
"Koeman R.P.T. ; van den Hoek, C. (1982). The taxonomy of Enteromorpha Link, 1820, (Chlorophyceae) in the Netherlands. I. The section Enteromorpha. <em>Arch. Hydrobiol. Suppl.</em> 63(32): 279-330.","Koeman R.P.T. ; van den Hoek, C.",1982,"The taxonomy of Enteromorpha Link, 1820, (Chlorophyceae) in the Netherlands. I. The section Enteromorpha",,Arch. Hydrobiol. Suppl.,,,63,32,279-330,,,
"Cottarelli, V., P.E. Saporito & A.C. Puccetti. (1983). Novolaophonte viatorum n. gen., n. sp. (Crustacea, Copepoda, Harpacticoida) di acque interstiziali litorali del Massachusetts. Cahiers de Biologie Marine 24(3):269-279, figs. 1-4. (English and French summaries).","Cottarelli, V., P.E. Saporito & A.C. Puccetti",1983,"Novolaophonte viatorum n. gen., n. sp. (Crustacea, Copepoda, Harpacticoida) di acque interstiziali litorali del Massachusetts.",,Cahiers de Biologie Marine,,,24,3,"269-279, figs. 1-4. (English and French summaries).",,,
"Ben-Tuvia, A. (1983). An Indo-Pacific goby <i>Oxyurichthys papuensis</i> in the Eastern Mediterranean. <em>Israel Journal of Zoology.</em> 32: 37-43.","Ben-Tuvia, A.",1983,An Indo-Pacific goby <i>Oxyurichthys papuensis</i> in the Eastern Mediterranean,,Israel Journal of Zoology,,,32,,37-43,,,
"Vincx, M. (1983). Redescription and ontogenetic study of Desmodora schulzi Gerlach 1950. <em>Biol. Jb. Dodonaea.</em> 51:171-179.","Vincx, M.",1983,Redescription and ontogenetic study of Desmodora schulzi Gerlach 1950,,Biol. Jb. Dodonaea,,,51,,171-179,,,
"Volkmer-Ribeiro, C.; Becker Maciel, S. (1983). New freshwater sponges from Amazonian waters. <em>Amazoniana.</em> 8 (2): 255-264.","Volkmer-Ribeiro, C.; Becker Maciel, S.",1983,New freshwater sponges from Amazonian waters.,,Amazoniana,,,8,2,255-264,,,
"de Weerdt, W.H. (1983). De geweispons en haar familieleden. <em>Het Zeepaard.</em> 43(2): 38-48.","de Weerdt, W.H.",1983,De geweispons en haar familieleden,,Het Zeepaard,,,43,2,38-48,,,
"van Aartsen, J. J.; Carrozza, F. (1983). Two more Red Sea species recorded for the first time from the Mediterranean coast of Israel. <em>Bollettino Malacologico.</em> 19(1-4): 37-40.","van Aartsen, J. J.; Carrozza, F.",1983,Two more Red Sea species recorded for the first time from the Mediterranean coast of Israel,,Bollettino Malacologico,,,19,1-4,37-40,,,
"Mienis, H. K.; Singer, B. (1983). <i>Cypraea gracilis</i>: an interesting addition to the mollusc fauna of the Mediterranean coast of Israel. <em>Levantina.</em> 46: 535-537.","Mienis, H. K.; Singer, B.",1983,<i>Cypraea gracilis</i>: an interesting addition to the mollusc fauna of the Mediterranean coast of Israel,,Levantina,,,46,,535-537,,,
"Heip, C.; Herman, R.; Vincx, M. (1983). Subtidal meiofauna of the North Sea: A review. <em>Biol. Jb. Dodonaea.</em> 51: 116-170.","Heip, C.; Herman, R.; Vincx, M.",1983,Subtidal meiofauna of the North Sea: A review,,Biol. Jb. Dodonaea,,,51,,116-170,,,
"Moreno, J.A.; Hoyos, A. (1983). <i>Carcharhinus acarenatus</i> nov. sp., nouveau requin Carcharhinidae de l'Atlantique Nord-Oriental et de la Méditerranée Occidentale. <em>Cybium.</em> 7(1): 57-64.","Moreno, J.A.; Hoyos, A.",1983,"<i>Carcharhinus acarenatus</i> nov. sp., nouveau requin Carcharhinidae de l'Atlantique Nord-Oriental et de la Méditerranée Occidentale.",,Cybium,,,7,1,57-64,,,
"Vincx, M.; Coomans, A. (1983). Daptonema williamsi sp.n. (Nematoda, Xyalidae) from the Solomon Islands. <em>Zoologica Scripta.</em> 12(4): 237-244.","Vincx, M.; Coomans, A.",1983,"Daptonema williamsi sp.n. (Nematoda, Xyalidae) from the Solomon Islands",,Zoologica Scripta,,,12,4,237-244,10.1111/j.1463-6409.1983.tb00507.x,,
"Diapoulis, A.; Bogdanos, C. (1983). Preliminary study of soft substrate macrozoobenthos & marine flora in the Bay of Gera (Lesvos Island, Greece). <em>Thalassographica.</em> 6: 127-139.","Diapoulis, A.; Bogdanos, C.",1983,"Preliminary study of soft substrate macrozoobenthos & marine flora in the Bay of Gera (Lesvos Island, Greece)",,Thalassographica,,,6,,127-139,,,
